domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;497 10;27 502;6800;498;6836;9398;1;24;0.021921;428722;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;1/1;1;507 0;31 504;6944;509;6974;10689;1;35;0.0176755;604737;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;2/1;1;7 14;507 496;6928;509;6982;10816;1;37;0.0176829;611664;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;3/1;1;31 2;476 497;6730;496;6736;10717;1;32;0.013837;774520;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;4/1;1;489 511;35 18;6746;495;6758;7835;1;33;0.00973945;804460;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;5/1;1;9 508;461 1;6878;508;6884;12184;1;34;0.0168904;721358;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;6/1;1;499 1;43 472;6534;480;6588;8794;1;34;0.0129395;679623;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;7/1;1;480 0;27 466;6472;477;6538;10407;1;36;0.0163771;635462;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;8/1;1;19 510;487 57;6492;475;6534;7391;1;36;0.0104844;704949;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;9/1;1;36 490;497 15;6594;482;6636;6551;1;36;0.00967891;676833;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;10/1;1;507 20;43 483;6492;478;6576;8314;1;36;0.0124929;665496;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;11/1;1;22 461;507 15;6634;486;6640;7162;1;36;0.00840973;851633;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;12/1;1;508 473;35 1;6618;489;6714;10333;1;36;0.0163749;631027;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;13/1;1;491 3;29 487;6688;491;6730;10024;1;36;0.0150861;664455;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;14/1;1;78 17;507 508;6626;491;6626;508;1;36;0.000534582;950275;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;15/1;1;18 26;497 489;6642;488;6696;9980;1;36;0.0172001;580229;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;16/1;1;499 494;4 56;6702;495;6702;506;1;36;0.000583002;867922;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;17/1;1;41 505;497 4;6834;502;6840;10351;1;34;0.0155306;666492;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;18/1;1;472 26;27 506;6580;484;6604;10790;1;39;0.0168827;639117;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;19/1;1;511 21;9 475;6836;502;6836;504;1;39;0.000587833;857386;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;20/1;1;39 5;481 509;6808;504;6808;526;1;39;0.000582661;902755;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;21/1;1;511 22;14 496;6866;502;6896;8141;1;39;0.0143462;567467;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;22/1;1;22 497;501 21;6694;489;6754;5154;1;39;0.00722924;712939;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;23/1;1;497 501;22 1;6900;505;6930;9003;1;39;0.0136079;661603;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;24/1;1;24 506;484 11;6790;499;6814;10743;1;40;0.0165084;650761;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;25/1;1;503 39;2 485;6794;501;6794;519;1;40;0.000579715;895268;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;26/1;1;510 23;44 488;6520;477;6586;5432;1;40;0.00837031;648961;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;27/1;1;478 24;22 508;6664;489;6694;9285;1;40;0.0143839;645515;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;28/1;1;494 40;26 511;6582;481;6642;6830;1;40;0.00969845;704236;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;29/1;1;493 491;10 5;6792;500;6876;8718;1;40;0.0138787;628156;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;30/1;1;502 37;27 491;6566;482;6608;9393;1;40;0.0142731;658091;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;31/1;1;7 511;486 49;6638;486;6680;7077;1;40;0.0103072;686606;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;32/1;1;6 70;499 506;6674;493;6674;506;1;40;0.000567315;891921;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;33/1;1;0 492;509 66;6794;509;6794;512;1;40;0.00058452;875932;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;34/1;1;14 7;435 510;6714;503;6714;655;1;40;0.000855618;765529;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;35/1;1;10 470;500 27;6672;490;6672;494;1;40;0.000632265;781318;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;36/1;1;48 6;507 479;6566;483;6626;9610;1;40;0.0192249;499874;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;37/1;1;485 487;6 40;6578;482;6596;9709;1;41;0.0135499;716537;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;38/1;1;501 20;8 478;6762;495;6774;7499;1;41;0.00822522;911709;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;39/1;1;32 495;501 14;6686;489;6734;6938;1;41;0.0101583;682989;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;40/1;1;505 9;60 510;6790;501;6790;508;1;41;0.000578708;877817;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;41/1;1;511 468;33 16;6588;484;6624;9083;1;41;0.0156584;580071;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;42/1;1;507 20;1 499;6976;508;6988;7252;1;41;0.00818074;886473;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;43/1;1;22 511;510 75;6624;489;6630;8767;1;34;0.0109321;801949;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;44/1;1;496 9;14 472;6672;489;6714;8904;1;37;0.0133417;667382;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;45/1;1;497 3;9 485;6808;501;6886;9254;1;37;0.013819;669657;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;46/1;1;459 31;1 510;6622;485;6658;7174;1;37;0.0102685;698644;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;47/1;1;19 509;489 57;6508;476;6544;7426;1;37;0.0105138;706309;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;48/1;1;67 15;497 508;6650;493;6650;504;1;37;0.000527515;955423;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;49/1;1;12 46;484 501;6540;480;6588;8764;1;37;0.0136837;640472;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;50/1;1;40 12;483 490;6552;480;6564;8606;1;41;0.0114765;749883;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;51/1;1;498 26;4 456;6660;494;6660;506;1;41;0.000548711;922161;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;52/1;1;453 481;2 3;6584;480;6596;7852;1;41;0.00932524;842016;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;53/1;1;19 14;487 471;6508;478;6568;8313;1;41;0.0139592;595522;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;54/1;1;485 476;6 15;6634;487;6682;8848;1;41;0.0129196;684853;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;55/1;1;511 506;6 28;6962;510;6992;8957;1;41;0.0138555;646458;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;56/1;1;508 69;11 495;6674;497;6674;522;1;41;0.00063035;828111;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;57/1;1;494 482;1 43;6686;494;6692;9562;1;34;0.01313;728258;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;58/1;1;488 511;32 35;6584;480;6608;5413;1;34;0.00725166;746450;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;59/1;1;477 32;3 502;6620;485;6686;6978;1;34;0.0105689;660239;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;60/1;1;27 505;482 1;6860;505;6866;10236;1;34;0.0151146;677226;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;61/1;1;35 488;494 1;6706;492;6736;10186;1;39;0.0168525;604422;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;62/1;1;461 8;31 510;6740;502;6740;512;1;39;0.000603753;848029;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;63/1;1;75 4;504 496;6636;493;6642;11095;1;34;0.0168839;657134;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;64/1;1;2 32;511 452;6770;509;6770;526;1;34;0.000565549;930070;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;65/1;1;18 44;509 503;6746;496;6776;10524;1;39;0.018533;567852;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;66/1;1;490 43;9 497;6626;484;6644;7003;1;39;0.00919152;761898;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;67/1;1;499 497;7 29;6792;497;6822;8518;1;39;0.0134973;631091;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;68/1;1;16 25;499 506;6754;495;6826;7136;1;39;0.0105285;677781;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;69/1;1;30 19;505 506;6770;498;6836;10135;1;39;0.0165182;613567;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;70/1;1;511 482;31 11;6684;491;6750;8705;1;39;0.0137281;634103;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;71/1;1;31 5;469 499;6692;494;6692;505;1;39;0.000563413;896323;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;72/1;1;4 1;435 511;6824;510;6824;661;1;39;0.000758578;871367;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;73/1;1;31 494;471 3;6670;491;6670;496;1;39;0.000570197;869875;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;74/1;1;499 484;7 29;6740;494;6752;8433;1;42;0.0130061;648387;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;75/1;1;16 41;506 506;6760;496;6796;9575;1;42;0.014714;650740;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;76/1;1;13 495;470 25;6528;479;6582;8148;1;42;0.012759;638607;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;77/1;1;46 20;503 493;6558;482;6612;9733;1;42;0.0154815;628686;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;78/1;1;17 33;481 492;6476;476;6548;8328;1;42;0.0131038;635543;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;79/1;1;506 499;9 77;6658;497;6658;531;1;42;0.000605996;876243;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;80/1;1;496 4;56 506;6780;503;6786;513;1;42;0.000570181;899714;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;81/1;1;506 500;51 22;6600;484;6636;8496;1;42;0.0161464;526185;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;82/1;1;502 20;9 494;6826;495;6838;5805;1;42;0.00660542;878823;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;83/1;1;466 26;14 504;6588;484;6624;9536;1;42;0.014507;657337;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;84/1;1;27 504;493 48;6484;474;6532;7154;1;42;0.0105965;675127;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;85/1;1;480 509;17 26;6682;486;6700;6788;1;42;0.00911505;744702;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;86/1;1;482 20;30 501;6618;486;6648;9711;1;42;0.0153664;631965;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;87/1;1;490 1;49 507;6824;506;6824;510;1;42;0.00059305;859961;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;88/1;1;484 491;4 27;6656;487;6698;8047;1;42;0.0129555;621127;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;89/1;1;19 500;503 37;6692;491;6734;9333;1;42;0.014972;623363;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;90/1;1;12 14;486 487;6632;488;6716;8673;1;42;0.0133424;650033;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;91/1;1;5 67;505 499;6728;500;6728;521;1;42;0.000634883;820624;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;92/1;1;50 505;502 11;6748;496;6760;10118;1;42;0.0132018;766411;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;93/1;1;488 14;27 498;6684;489;6714;7540;1;42;0.0106453;708293;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;94/1;1;455 509;11 14;6726;495;6726;497;1;42;0.000566383;877498;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;95/1;1;51 25;505 502;6586;483;6622;9611;1;42;0.0168924;568955;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;96/1;1;480 500;29 29;6514;477;6550;7161;1;42;0.0104836;683069;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;97/1;1;492 30;3 481;6694;490;6700;8524;1;42;0.00998289;853861;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;98/1;1;26 42;497 501;6546;479;6594;6841;1;42;0.0108525;630360;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;99/1;1;50 497;510 22;6590;481;6626;6178;1;42;0.008906;693689;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;0/2;2;497 10;27 502;6800;498;6836;9398;1;42;0.0144912;648534;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;1/2;2;507 0;31 504;6944;509;6974;10689;1;42;0.0175477;609140;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;2/2;2;7 14;507 496;6928;509;6982;10816;1;42;0.0180846;598079;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;3/2;2;31 2;476 497;6730;496;6736;10717;1;34;0.013937;768961;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;4/2;2;489 511;35 18;6746;495;6758;7835;1;38;0.0102123;767215;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;5/2;2;9 508;461 1;6878;508;6884;12184;1;34;0.0172263;707290;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;6/2;2;499 1;43 472;6534;480;6588;8794;1;36;0.0139638;629772;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;7/2;2;480 0;27 466;6472;477;6538;10407;1;36;0.0171088;608283;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;8/2;2;19 510;487 57;6492;475;6534;7391;1;36;0.0110284;670177;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;9/2;2;36 490;497 15;6594;482;6636;6551;1;36;0.0100138;654197;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;10/2;2;507 20;43 483;6492;478;6576;8314;1;36;0.0124177;669527;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;11/2;2;22 461;507 15;6634;486;6640;7162;1;38;0.0088155;812433;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;12/2;2;508 473;35 1;6618;489;6714;10333;1;38;0.0171807;601431;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;13/2;2;491 3;29 487;6688;491;6730;10024;1;39;0.0158963;630588;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;14/2;2;78 17;507 508;6626;491;6626;509;2;39;0.00059059;861850;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;15/2;2;18 26;497 489;6642;488;6696;9980;1;39;0.016587;601674;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;16/2;2;499 494;4 56;6702;495;6702;507;2;39;0.000583634;868695;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;17/2;2;41 505;497 4;6834;502;6840;10351;1;34;0.0147567;701444;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;18/2;2;472 26;27 506;6580;484;6604;10790;1;42;0.0170129;634224;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;19/2;2;511 21;9 475;6836;502;6836;505;2;42;0.000671595;751941;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;20/2;2;39 5;481 509;6808;504;6808;527;2;42;0.000639626;823919;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;21/2;2;511 22;14 496;6866;502;6896;8141;1;42;0.0131747;617929;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;22/2;2;22 497;501 21;6694;489;6754;5154;1;42;0.00785436;656196;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;23/2;2;497 501;22 1;6900;505;6930;9003;1;42;0.0140737;639705;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;24/2;2;24 506;484 11;6790;499;6814;10743;1;42;0.0164706;652251;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;25/2;2;503 39;2 485;6794;501;6794;520;2;42;0.000614408;846343;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;26/2;2;510 23;44 488;6520;477;6586;5432;1;42;0.00798893;679941;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;27/2;2;478 24;22 508;6664;489;6694;9285;1;42;0.0147703;628625;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;28/2;2;494 40;26 511;6582;481;6642;6830;1;42;0.00982072;695468;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;29/2;2;493 491;10 5;6792;500;6876;8718;1;42;0.0135032;645627;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;30/2;2;502 37;27 491;6566;482;6608;9393;1;43;0.0143601;654102;BELA*;? Unchecked;v1.6.0-6-g188ab49
