domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;497 10;27 502;6800;498;6836;9398;0;19;0.029102;322933;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;1/1;1;507 0;31 504;6944;509;6974;10689;0;19;0.0284656;375506;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;2/1;1;7 14;507 496;6928;509;6982;10816;0;22;0.0284464;380224;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;3/1;1;31 2;476 497;6730;496;6736;10717;0;22;0.0230664;464615;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;4/1;1;489 511;35 18;6746;495;6758;7835;0;23;0.0185449;422489;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;5/1;1;9 508;461 1;6878;508;6884;12184;0;23;0.0265556;458810;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;6/1;1;499 1;43 472;6534;480;6588;8794;0;26;0.022854;384790;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;7/1;1;480 0;27 466;6472;477;6538;10407;0;27;0.0256668;405465;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;8/1;1;19 510;487 57;6492;475;6534;7391;0;27;0.019278;383389;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;9/1;1;36 490;497 15;6594;482;6636;6551;0;27;0.0179493;364973;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;10/1;1;507 20;43 483;6492;478;6576;8314;0;27;0.0215923;385045;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;11/1;1;22 461;507 15;6634;486;6640;7162;0;27;0.0176752;405200;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;12/1;1;508 473;35 1;6618;489;6714;10333;0;27;0.0265723;388864;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;13/1;1;491 3;29 487;6688;491;6730;10024;0;27;0.0251832;398043;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;14/1;1;78 17;507 508;6626;491;6626;508;0;27;0.00100734;504297;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;15/1;1;18 26;497 489;6642;488;6696;9980;0;27;0.028142;354630;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;16/1;1;499 494;4 56;6702;495;6702;506;0;27;0.00100179;505097;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;17/1;1;41 505;497 4;6834;502;6840;10351;0;23;0.0267786;386540;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;18/1;1;472 26;27 506;6580;484;6604;10790;0;27;0.0271895;396845;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;19/1;1;511 21;9 475;6836;502;6836;504;0;27;0.000830377;606953;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;20/1;1;39 5;481 509;6808;504;6808;526;0;27;0.0020696;254156;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;21/1;1;511 22;14 496;6866;502;6896;8141;0;27;0.0216212;376528;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;22/1;1;22 497;501 21;6694;489;6754;5154;0;27;0.0117239;439613;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;23/1;1;497 501;22 1;6900;505;6930;9003;0;27;0.0233829;385025;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;24/1;1;24 506;484 11;6790;499;6814;10743;0;28;0.0251193;427679;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;25/1;1;503 39;2 485;6794;501;6794;519;0;28;0.000753315;688955;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;26/1;1;510 23;44 488;6520;477;6586;5432;0;28;0.0182163;298194;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;27/1;1;478 24;22 508;6664;489;6694;9285;0;28;0.023117;401653;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;28/1;1;494 40;26 511;6582;481;6642;6830;0;28;0.0176461;387055;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;29/1;1;493 491;10 5;6792;500;6876;8718;0;28;0.0222662;391535;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;30/1;1;502 37;27 491;6566;482;6608;9393;0;28;0.021129;444555;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;31/1;1;7 511;486 49;6638;486;6680;7077;0;28;0.0190061;372355;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;32/1;1;6 70;499 506;6674;493;6674;506;0;28;0.00119169;424608;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;33/1;1;0 492;509 66;6794;509;6794;512;0;28;0.00124322;411833;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;34/1;1;14 7;435 510;6714;503;6714;655;0;28;0.00194849;336158;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;35/1;1;10 470;500 27;6672;490;6672;494;0;28;0.00168612;292980;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;36/1;1;48 6;507 479;6566;483;6626;9610;0;28;0.0275432;348907;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;37/1;1;485 487;6 40;6578;482;6596;9709;0;29;0.0237783;408314;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;38/1;1;501 20;8 478;6762;495;6774;7499;0;29;0.0167662;447270;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;39/1;1;32 495;501 14;6686;489;6734;6938;0;29;0.0188696;367682;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;40/1;1;505 9;60 510;6790;501;6790;508;0;29;0.000713056;712427;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;41/1;1;511 468;33 16;6588;484;6624;9083;0;29;0.0246553;368400;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;42/1;1;507 20;1 499;6976;508;6988;7252;0;29;0.017507;414234;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;43/1;1;22 511;510 75;6624;489;6630;8767;0;23;0.020673;424079;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;44/1;1;496 9;14 472;6672;489;6714;8904;0;26;0.0225132;395502;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;45/1;1;497 3;9 485;6808;501;6886;9254;0;26;0.0230993;400619;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;46/1;1;459 31;1 510;6622;485;6658;7174;0;26;0.0189321;378934;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;47/1;1;19 509;489 57;6508;476;6544;7426;0;26;0.019448;381838;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;48/1;1;67 15;497 508;6650;493;6650;504;0;26;0.0012373;407339;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;49/1;1;12 46;484 501;6540;480;6588;8764;0;26;0.0239574;365816;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;50/1;1;40 12;483 490;6552;480;6564;8606;0;23;0.0209382;411019;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;51/1;1;498 26;4 456;6660;494;6660;506;0;23;0.000724936;697993;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;52/1;1;453 481;2 3;6584;480;6596;7852;0;26;0.0220715;355753;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;53/1;1;19 14;487 471;6508;478;6568;8313;0;26;0.0220585;376861;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;54/1;1;485 476;6 15;6634;487;6682;8848;0;26;0.0225078;393108;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;55/1;1;511 506;6 28;6962;510;6992;8957;0;27;0.0239158;374523;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;56/1;1;508 69;11 495;6674;497;6674;522;0;27;0.00119374;437282;mA*;? Unchecked;v1.6.0-6-g188ab49
maps;octile;57/1;1;494 482;1 43;6686;494;6692;9562;0;23;0.0248266;385151;mA*;? Unchecked;v1.6.0-6-g188ab49
