domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;16 489;478 19;6548;493;6686;221571;1;469;0.692514;319952;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;1/1;1;17 479;474 11;6508;483;6598;221577;1;545;0.610985;362655;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;2/1;1;501 486;43 3;6662;496;6740;221819;1;557;0.594223;373293;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;3/1;1;10 487;449 4;6586;488;6616;220827;1;559;0.580841;380185;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;4/1;1;1 506;466 44;6498;491;6654;218840;1;559;0.572196;382456;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;5/1;1;3 1;465 509;6928;512;6952;221809;1;559;0.592046;374648;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;6/1;1;474 13;6 476;6532;490;6664;221975;1;561;0.581957;381428;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;7/1;1;495 507;19 1;6964;520;7048;222670;1;561;0.582665;382158;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;8/1;1;500 1;78 498;6658;500;6676;219685;1;561;0.577966;380100;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;9/1;1;499 29;41 501;6552;491;6666;221588;1;561;0.582132;380649;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;10/1;1;511 510;22 65;6670;495;6706;219110;1;561;0.573172;382276;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;11/1;1;3 439;493 7;6628;494;6652;222374;1;561;0.583967;380799;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;12/1;1;6 433;497 0;6642;495;6666;222619;1;564;0.587409;378985;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;13/1;1;504 507;1 56;6834;509;6870;221571;1;564;0.581193;381235;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;14/1;1;1 493;497 56;6708;500;6732;220898;1;564;0.607385;363687;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;15/1;1;21 493;474 8;6662;498;6740;221961;1;564;0.582683;380929;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;16/1;1;473 37;18 502;6470;484;6584;222474;1;564;0.58644;379363;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;17/1;1;5 505;434 10;6666;498;6684;219720;1;564;0.575727;381639;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;18/1;1;77 506;500 6;6692;502;6704;222689;1;564;0.580911;383344;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;19/1;1;24 481;477 15;6472;485;6586;221666;1;564;0.580927;381573;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;20/1;1;21 11;461 506;6710;498;6728;221596;1;564;0.582884;380172;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;21/1;1;15 511;448 7;6772;506;6784;221059;1;564;0.578468;382146;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;22/1;1;498 499;28 37;6548;491;6674;220746;1;564;0.579966;380619;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;23/1;1;62 21;511 504;6626;494;6692;222782;1;564;0.581145;383350;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;24/1;1;8 13;441 499;6592;491;6622;219904;1;564;0.577756;380618;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;25/1;1;47 483;507 1;6660;495;6738;222804;1;564;0.593096;375662;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;26/1;1;1 36;499 502;6844;509;6910;222572;1;564;0.582676;381982;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;27/1;1;14 507;476 16;6758;501;6818;221549;1;564;0.579916;382037;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;28/1;1;507 20;16 497;6818;511;6938;222430;1;564;0.585554;379862;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;29/1;1;504 463;12 35;6632;494;6644;221961;1;564;0.625026;355123;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;30/1;1;5 463;475 1;6548;491;6674;221921;1;564;0.584573;379630;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;31/1;1;64 8;490 509;6714;502;6720;222633;1;564;0.589225;377840;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;32/1;1;4 7;468 485;6636;495;6738;220400;1;564;0.577552;381611;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;33/1;1;8 471;503 19;6758;503;6806;222494;1;564;0.58642;379411;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;34/1;1;44 30;496 503;6538;490;6640;222577;1;564;0.593273;375168;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;35/1;1;26 37;496 486;6496;486;6592;222126;1;564;0.584294;380161;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;36/1;1;502 5;12 483;6812;509;6926;222007;1;564;0.582789;380939;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;37/1;1;31 9;501 458;6496;480;6556;220580;1;564;0.578292;381433;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;38/1;1;486 27;3 467;6590;493;6650;221990;1;564;0.582944;380808;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;39/1;1;491 58;9 507;6616;492;6676;222718;1;564;0.585392;380459;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;40/1;1;484 48;24 508;6440;482;6572;222410;1;564;0.584349;380611;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;41/1;1;474 495;34 11;6600;491;6642;221991;1;564;0.581918;381481;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;42/1;1;18 502;479 2;6844;509;6898;222352;1;564;0.586555;379081;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;43/1;1;485 501;0 21;6770;506;6896;222587;1;564;0.581074;383061;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;44/1;1;3 511;502 57;6806;505;6842;220844;1;564;0.610413;361795;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;45/1;1;8 493;489 38;6630;495;6714;221137;1;564;0.581216;380473;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;46/1;1;2 73;502 505;6728;504;6752;222688;1;564;0.583104;381901;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;47/1;1;497 478;9 16;6728;500;6800;222523;1;564;0.584111;380960;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;48/1;1;27 17;484 506;6718;500;6784;222352;1;564;0.582492;381725;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;49/1;1;493 504;3 13;6870;516;7020;222684;1;564;0.58467;380871;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;50/1;1;502 482;10 31;6724;499;6766;222080;1;564;0.584359;380041;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;51/1;1;480 3;0 456;6612;491;6678;221221;1;564;0.583078;379402;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;52/1;1;33 1;508 490;6790;507;6898;222471;1;564;0.585497;379970;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;53/1;1;457 4;10 510;6848;510;6872;222783;1;564;0.58543;380546;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;54/1;1;502 509;9 15;6912;520;7068;222549;1;564;0.584598;380687;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;55/1;1;11 497;469 23;6572;493;6686;220833;1;564;0.581281;379907;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;56/1;1;489 26;23 486;6500;489;6638;221737;1;564;0.585883;378466;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;57/1;1;32 15;480 498;6622;495;6694;221979;1;602;0.592063;374925;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;58/1;1;22 35;497 500;6610;495;6730;222521;1;603;0.598257;371949;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;59/1;1;40 498;472 0;6708;501;6734;222396;1;603;0.582645;381700;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;60/1;1;465 492;21 7;6626;495;6686;222534;1;603;0.584649;380629;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;61/1;1;498 495;42 25;6524;489;6638;220646;1;603;0.583271;378290;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;62/1;1;39 25;499 489;6480;488;6624;222264;1;603;0.584644;380170;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;63/1;1;472 5;7 492;6730;498;6796;222377;1;603;0.58814;378102;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;64/1;1;497 487;25 20;6588;497;6738;221920;1;603;0.585779;378846;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;65/1;1;460 507;7 10;6782;502;6812;222663;1;603;0.584704;380813;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;octile;66/1;1;500 493;2 43;6780;504;6816;221971;1;603;0.587983;377513;BELA0;? Unchecked;v1.6.0-6-g188ab49
