domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;483 492;2 40;6618;505;6762;19344;0;68;0.115275;167807;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;1/1;1;17 49;508 480;6634;501;6694;17471;0;65;0.0910916;191796;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;2/1;1;64 504;502 12;6672;504;6744;16983;0;65;0.081552;208248;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;3/1;1;31 4;502 456;6518;499;6686;19084;0;67;0.0913353;208944;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;4/1;1;16 509;506 51;6732;509;6846;16451;0;67;0.0787691;208851;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;5/1;1;478 510;10 7;6902;519;7006;17981;0;67;0.0868684;206991;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;6/1;1;50 9;505 473;6460;494;6640;18187;0;67;0.0871604;208661;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;7/1;1;5 472;465 1;6550;499;6718;17256;0;67;0.0821467;210063;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;8/1;1;0 75;511 491;6774;517;6810;20451;0;72;0.10168;201131;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;9/1;1;6 27;508 487;6860;520;6968;20651;0;72;0.103135;200233;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;10/1;1;494 22;6 507;6820;517;6994;14914;0;72;0.0675753;220702;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;11/1;1;504 461;24 21;6560;497;6662;17133;0;72;0.0827961;206930;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;12/1;1;25 488;494 9;6666;504;6816;15170;0;72;0.0689892;219889;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;13/1;1;1 12;479 491;6702;512;6900;17998;0;72;0.0865327;207991;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;14/1;1;504 43;10 508;6800;513;6914;15904;0;72;0.0704538;225736;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;15/1;1;508 2;40 489;6742;513;6906;20162;0;72;0.0990957;203460;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;16/1;1;442 511;18 10;6706;508;6748;18143;0;72;0.0865969;209511;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;17/1;1;14 11;471 499;6708;505;6810;15990;0;72;0.0719917;222109;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;18/1;1;486 11;12 493;6716;511;6890;16439;0;72;0.0795308;206700;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;19/1;1;1 16;485 453;6588;499;6678;18567;0;72;0.0883031;210264;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;20/1;1;487 492;7 30;6648;507;6810;17994;0;72;0.0920446;195492;K*;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;21/1;1;13 9;500 450;6634;501;6718;17305;0;72;0.0824056;209998;K*;? Unchecked;v1.6.0-41-gaecfa37
