domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;34 14;504 471;6528;507;6750;195612;0;490;1.14719;170514;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;1/1;1;23 488;509 28;6700;517;6886;196225;0;491;1.26332;155325;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;2/1;1;7 503;487 42;6644;513;6842;194740;0;491;1.04507;186341;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;3/1;1;482 29;1 506;6718;522;6964;196582;0;492;1.04632;187879;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;4/1;1;495 467;8 27;6630;510;6768;196121;0;492;1.07037;183227;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;5/1;1;28 461;508 13;6592;510;6772;196502;0;492;1.05314;186587;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;6/1;1;59 503;508 31;6516;505;6714;195995;0;492;1.05254;186212;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;7/1;1;511 497;28 10;6802;529;7054;195991;0;492;1.04052;188359;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;8/1;1;495 457;12 21;6574;507;6718;196178;0;492;1.04165;188333;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;9/1;1;498 20;10 464;6656;517;6830;195495;0;492;1.08135;180788;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;10/1;1;502 501;5 45;6794;522;6944;195598;0;492;1.04174;187761;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;11/1;1;496 36;1 460;6646;513;6754;195826;0;492;1.05378;185832;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;12/1;1;0 7;443 502;6722;520;6872;194321;0;492;1.03754;187291;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;13/1;1;498 483;25 5;6672;520;6924;196216;0;492;1.04359;188021;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;14/1;1;509 480;2 24;6894;530;7032;196336;0;492;1.06356;184602;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;15/1;1;43 469;497 1;6496;507;6730;196537;0;492;1.05219;186788;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;16/1;1;498 508;69 5;6746;519;6842;194793;0;492;1.05404;184806;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;17/1;1;508 478;5 44;6766;520;6868;195797;0;492;1.04017;188236;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;18/1;1;505 510;0 58;6858;528;6996;195383;0;492;1.04044;187789;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;19/1;1;492 0;27 471;6570;513;6822;194684;0;492;1.04816;185739;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;20/1;1;504 12;40 471;6476;503;6710;193813;0;492;1.0354;187187;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;21/1;1;24 505;482 23;6652;514;6844;195483;0;492;1.05324;185601;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;22/1;1;14 505;479 30;6610;511;6826;194936;0;492;1.04737;186119;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;23/1;1;506 7;12 484;6848;530;7064;195966;0;492;1.04557;187424;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;24/1;1;29 32;487 494;6452;507;6722;195981;0;492;1.04143;188184;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;25/1;1;494 37;23 509;6604;513;6850;196298;0;492;1.04654;187569;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;26/1;1;8 474;499 18;6734;521;6914;196220;0;492;1.05616;185786;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;27/1;1;35 25;500 505;6660;521;6906;196498;0;492;1.04182;188611;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;28/1;1;24 470;484 9;6450;505;6714;196048;0;492;1.05142;186461;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;29/1;1;454 504;13 14;6664;520;6868;196392;0;492;1.04496;187942;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;30/1;1;26 13;504 493;6712;522;6964;196297;0;492;1.04179;188423;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;31/1;1;499 1;12 508;7018;544;7240;196479;0;493;1.05311;186569;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;32/1;1;13 464;495 14;6620;513;6806;196202;0;493;1.05316;186299;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;33/1;1;25 508;507 54;6636;515;6834;195290;0;493;1.04604;186695;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;34/1;1;435 8;9 510;6724;515;6802;196550;0;493;1.04224;188584;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;35/1;1;511 501;7 33;6912;534;7092;195981;0;493;1.07688;181990;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;36/1;1;22 487;462 8;6550;507;6718;195417;0;493;1.04613;186800;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;37/1;1;505 3;3 481;6932;537;7142;196202;0;493;1.04833;187157;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;38/1;1;4 502;467 35;6522;510;6780;194091;0;493;1.04412;185889;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;39/1;1;18 490;501 16;6726;522;6960;196297;0;493;1.05245;186514;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;40/1;1;503 6;1 426;6700;515;6778;194167;0;493;1.06583;182174;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;41/1;1;489 21;15 471;6540;506;6732;195381;0;493;1.04131;187630;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;42/1;1;12 472;499 20;6678;516;6852;196166;0;493;1.05127;186598;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;43/1;1;500 476;3 53;6662;514;6764;195673;0;493;1.0413;187912;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;44/1;1;47 484;492 4;6580;511;6766;196434;0;493;1.04754;187520;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;45/1;1;22 473;504 12;6664;516;6868;196434;0;493;1.0754;182661;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;46/1;1;6 459;498 20;6676;518;6832;196166;0;493;1.05153;186554;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;47/1;1;3 32;469 491;6496;503;6718;194796;0;493;1.03831;187609;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;48/1;1;486 509;18 45;6536;506;6764;194787;0;493;1.03886;187500;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;49/1;1;454 16;0 497;6626;515;6838;196506;0;493;1.04279;188443;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;50/1;1;15 1;510 457;6774;523;6942;195410;0;493;1.08388;180287;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;51/1;1;0 503;446 21;6604;508;6760;193544;0;493;1.03763;186525;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;52/1;1;509 479;2 30;6866;528;6992;196242;0;493;1.0401;188677;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;53/1;1;491 479;0 23;6734;521;6914;196404;0;493;1.04144;188588;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;54/1;1;467 1;13 492;6726;520;6900;196107;0;493;1.03997;188570;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;55/1;1;498 33;13 481;6642;512;6804;195905;0;493;1.07569;182120;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;56/1;1;503 460;7 14;6744;523;6906;196440;0;493;1.04114;188677;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;57/1;1;474 511;56 2;6762;521;6834;195570;0;493;1.04046;187965;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;58/1;1;478 4;17 479;6594;516;6840;195567;0;493;1.03895;188236;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;59/1;1;491 501;26 25;6620;517;6866;195576;0;493;1.03998;188058;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;60/1;1;507 487;15 30;6748;520;6916;195824;0;493;1.04158;188007;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;61/1;1;14 506;487 33;6622;515;6874;195186;0;493;1.05048;185807;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;62/1;1;441 510;20 4;6744;520;6828;196395;0;493;1.05696;185811;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;63/1;1;509 15;46 491;6612;514;6840;194745;0;493;1.03921;187397;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;64/1;1;8 16;435 508;6628;511;6742;194258;0;493;1.0333;187998;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;65/1;1;8 4;475 501;6838;531;7042;195735;0;493;1.03614;188908;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;66/1;1;497 37;34 506;6542;512;6800;196006;0;493;1.04279;187964;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;67/1;1;47 508;509 51;6448;505;6714;195320;0;493;1.05079;185879;K0;? Unchecked;v1.6.0-41-gaecfa37
