domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;octile;0/1;1;34 14;504 471;6528;507;6750;195612;0;264;0.430505;454378;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;1/1;1;23 488;509 28;6700;517;6886;196222;0;315;0.383854;511189;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;2/1;1;7 503;487 42;6644;513;6842;194738;0;320;0.377604;515720;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;3/1;1;482 29;1 506;6718;522;6964;196582;0;322;0.382988;513286;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;4/1;1;495 467;8 27;6630;510;6768;196120;0;324;0.373266;525416;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;5/1;1;28 461;508 13;6592;510;6772;196502;0;324;0.379089;518353;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;6/1;1;59 503;508 31;6516;505;6714;195993;0;325;0.373561;524662;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;7/1;1;511 497;28 10;6802;529;7054;195984;0;325;0.375768;521556;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;8/1;1;495 457;12 21;6574;507;6718;196177;0;326;0.3772;520087;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;9/1;1;498 20;10 464;6656;517;6830;195496;0;326;0.37692;518667;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;10/1;1;502 501;5 45;6794;522;6944;195596;0;326;0.373258;524024;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;11/1;1;496 36;1 460;6646;513;6754;195819;0;326;0.37726;519056;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;12/1;1;0 7;443 502;6722;520;6872;194324;0;326;0.372037;522324;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;13/1;1;498 483;25 5;6672;520;6924;196216;0;326;0.396647;494687;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;14/1;1;509 480;2 24;6894;530;7032;196336;0;326;0.374442;524343;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;15/1;1;43 469;497 1;6496;507;6730;196534;0;326;0.380004;517189;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;16/1;1;498 508;69 5;6746;519;6842;194796;0;326;0.373261;521876;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;17/1;1;508 478;5 44;6766;520;6868;195804;0;326;0.374294;523129;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;18/1;1;505 510;0 58;6858;528;6996;195389;0;326;0.380564;513420;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;19/1;1;492 0;27 471;6570;513;6822;194691;0;326;0.383784;507293;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;20/1;1;504 12;40 471;6476;503;6710;193800;0;326;0.377244;513726;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;21/1;1;24 505;482 23;6652;514;6844;195485;0;326;0.374686;521731;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;22/1;1;14 505;479 30;6610;511;6826;194932;0;326;0.375911;518559;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;23/1;1;506 7;12 484;6848;530;7064;195965;0;326;0.376093;521055;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;24/1;1;29 32;487 494;6452;507;6722;195981;0;326;0.375942;521306;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;25/1;1;494 37;23 509;6604;513;6850;196301;0;326;0.378252;518969;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;26/1;1;8 474;499 18;6734;521;6914;196220;0;326;0.376527;521131;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;27/1;1;35 25;500 505;6660;521;6906;196499;0;326;0.375426;523402;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;28/1;1;24 470;484 9;6450;505;6714;196052;0;326;0.37748;519371;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;29/1;1;454 504;13 14;6664;520;6868;196393;0;326;0.37484;523938;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;30/1;1;26 13;504 493;6712;522;6964;196301;0;326;0.379545;517201;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;31/1;1;499 1;12 508;7018;544;7240;196478;0;326;0.377703;520192;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;32/1;1;13 464;495 14;6620;513;6806;196196;0;326;0.380022;516275;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;33/1;1;25 508;507 54;6636;515;6834;195289;0;326;0.373055;523486;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;34/1;1;435 8;9 510;6724;515;6802;196549;0;327;0.376357;522241;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;35/1;1;511 501;7 33;6912;534;7092;195980;0;327;0.417167;469788;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;36/1;1;22 487;462 8;6550;507;6718;195418;0;327;0.376968;518395;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;37/1;1;505 3;3 481;6932;537;7142;196200;0;327;0.375768;522131;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;38/1;1;4 502;467 35;6522;510;6780;194107;0;327;0.37297;520436;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;39/1;1;18 490;501 16;6726;522;6960;196293;0;327;0.377617;519820;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;40/1;1;503 6;1 426;6700;515;6778;194165;0;327;0.373084;520433;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;41/1;1;489 21;15 471;6540;506;6732;195374;0;327;0.375976;519645;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;42/1;1;12 472;499 20;6678;516;6852;196167;0;327;0.387593;506117;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;43/1;1;500 476;3 53;6662;514;6764;195673;0;327;0.379012;516271;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;44/1;1;47 484;492 4;6580;511;6766;196433;0;327;0.37504;523765;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;45/1;1;22 473;504 12;6664;516;6868;196434;0;327;0.378051;519596;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;46/1;1;6 459;498 20;6676;518;6832;196163;0;327;0.375624;522232;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;47/1;1;3 32;469 491;6496;503;6718;194790;0;327;0.373801;521106;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;48/1;1;486 509;18 45;6536;506;6764;194795;0;327;0.373248;521891;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;49/1;1;454 16;0 497;6626;515;6838;196506;0;327;0.378087;519738;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;50/1;1;15 1;510 457;6774;523;6942;195407;0;327;0.374077;522371;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;51/1;1;0 503;446 21;6604;508;6760;193547;0;327;0.373096;518759;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;52/1;1;509 479;2 30;6866;528;6992;196242;0;327;0.375365;522803;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;53/1;1;491 479;0 23;6734;521;6914;196400;0;327;0.380023;516811;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;54/1;1;467 1;13 492;6726;520;6900;196112;0;327;0.376801;520466;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;55/1;1;498 33;13 481;6642;512;6804;195904;0;327;0.377486;518971;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;56/1;1;503 460;7 14;6744;523;6906;196439;0;327;0.375237;523506;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;57/1;1;474 511;56 2;6762;521;6834;195569;0;327;0.382046;511900;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;58/1;1;478 4;17 479;6594;516;6840;195566;0;353;0.379859;514839;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;59/1;1;491 501;26 25;6620;517;6866;195575;0;353;0.373434;523721;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;60/1;1;507 487;15 30;6748;520;6916;195826;0;353;0.375491;521520;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;61/1;1;14 506;487 33;6622;515;6874;195188;0;353;0.374921;520611;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;62/1;1;441 510;20 4;6744;520;6828;196393;0;353;0.378655;518659;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;63/1;1;509 15;46 491;6612;514;6840;194753;0;353;0.375044;519280;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;64/1;1;8 16;435 508;6628;511;6742;194247;0;353;0.378517;513179;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;65/1;1;8 4;475 501;6838;531;7042;195738;0;353;0.374034;523316;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;66/1;1;497 37;34 506;6542;512;6800;195996;0;353;0.380431;515195;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;67/1;1;47 508;509 51;6448;505;6714;195320;0;353;0.373947;522320;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;68/1;1;25 4;498 509;6942;539;7146;196531;0;353;0.376996;521307;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;69/1;1;505 456;2 31;6730;518;6820;196246;0;353;0.374413;524143;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;70/1;1;64 502;502 16;6612;510;6756;196290;0;353;0.385801;508786;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;71/1;1;442 499;1 3;6724;521;6874;196590;0;353;0.378103;519937;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
maps;octile;72/1;1;8 24;479 501;6654;518;6900;195811;0;353;0.374061;523473;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
