domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;16 489;478 19;932;934;934;221574;0;396;0.746871;296670;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;1/1;1;17 479;474 11;925;925;925;221654;0;396;0.779401;284390;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;2/1;1;501 486;43 3;941;941;941;221749;0;397;0.667973;331973;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;3/1;1;10 487;449 4;922;922;922;220719;0;397;0.661155;333839;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;4/1;1;1 506;466 44;927;927;927;219181;0;397;0.655614;334314;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;5/1;1;3 1;465 509;970;970;970;221632;0;399;0.658251;336699;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;6/1;1;474 13;6 476;931;931;931;221941;0;399;0.691831;320802;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;7/1;1;495 507;19 1;982;982;982;222491;0;401;0.661804;336189;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;8/1;1;500 1;78 498;919;919;919;219074;0;401;0.65393;335012;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;9/1;1;499 29;41 501;930;930;930;221525;0;401;0.663112;334069;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;10/1;1;511 510;22 65;934;934;934;219429;0;401;0.661748;331590;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;11/1;1;3 439;493 7;922;922;922;222387;0;401;0.670832;331509;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;12/1;1;6 433;497 0;924;924;924;222586;0;401;0.670372;332034;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;13/1;1;504 507;1 56;954;954;954;221281;0;401;0.658535;336020;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;14/1;1;1 493;497 56;933;933;933;220509;0;401;0.716189;307892;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;15/1;1;21 493;474 8;938;938;938;221769;0;401;0.662111;334943;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;16/1;1;473 37;18 502;920;920;920;222363;0;401;0.666474;333641;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;17/1;1;5 505;434 10;924;924;924;219387;0;401;0.659659;332576;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;18/1;1;77 506;500 6;923;923;923;222545;0;401;0.664086;335115;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;19/1;1;24 481;477 15;919;919;919;221617;0;401;0.663019;334254;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;20/1;1;21 11;461 506;935;935;935;221336;0;401;0.658716;336011;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;21/1;1;15 511;448 7;937;937;937;220515;0;401;0.661052;333582;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;22/1;1;498 499;28 37;932;932;932;220825;0;401;0.696278;317150;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;23/1;1;62 21;511 504;932;932;932;222658;0;401;0.662538;336068;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;24/1;1;8 13;441 499;919;919;919;219736;0;401;0.660218;332823;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;25/1;1;47 483;507 1;942;942;942;222674;0;401;0.666881;333903;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;26/1;1;1 36;499 502;964;964;964;222473;0;401;0.664812;334640;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;27/1;1;14 507;476 16;953;953;953;221506;0;401;0.662992;334101;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;28/1;1;507 20;16 497;968;968;968;222291;0;401;0.667659;332941;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;29/1;1;504 463;12 35;920;920;920;221714;0;401;0.658718;336584;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;30/1;1;5 463;475 1;932;932;932;222074;0;401;0.713898;311072;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;31/1;1;64 8;490 509;927;927;927;222440;0;401;0.662312;335854;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;32/1;1;4 7;468 485;942;942;942;220575;0;401;0.658535;334948;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;33/1;1;8 471;503 19;947;947;947;222346;0;401;0.667237;333234;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;34/1;1;44 30;496 503;925;925;925;222435;0;401;0.664198;334893;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;35/1;1;26 37;496 486;919;919;919;221953;0;401;0.660985;335792;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;36/1;1;502 5;12 483;968;968;968;221967;0;401;0.664692;333940;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;37/1;1;31 9;501 458;919;919;919;220955;0;401;0.657372;336119;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;38/1;1;486 27;3 467;923;923;923;221688;0;401;0.700929;316277;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;39/1;1;491 58;9 507;931;931;931;222601;0;401;0.669943;332268;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;40/1;1;484 48;24 508;920;920;920;222367;0;401;0.669584;332097;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;41/1;1;474 495;34 11;924;924;924;221780;0;401;0.65955;336260;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;42/1;1;18 502;479 2;961;961;961;222149;0;401;0.668172;332473;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;43/1;1;485 501;0 21;965;965;965;222475;0;401;0.661771;336181;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;44/1;1;3 511;502 57;953;953;953;220767;0;401;0.659921;334536;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;45/1;1;8 493;489 38;936;936;936;221069;0;401;0.662735;333570;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;46/1;1;2 73;502 505;932;934;934;222571;0;401;0.701903;317096;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;47/1;1;497 478;9 16;950;950;950;222403;0;401;0.662351;335778;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;48/1;1;27 17;484 506;946;946;946;222219;0;401;0.661734;335813;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;49/1;1;493 504;3 13;981;981;981;222566;0;401;0.666008;334179;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;50/1;1;502 482;10 31;943;943;943;221931;0;401;0.659187;336674;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;51/1;1;480 3;0 456;933;933;933;221310;0;401;0.660902;334860;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;52/1;1;33 1;508 490;964;964;964;222407;0;401;0.663653;335125;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;53/1;1;457 4;10 510;953;953;953;222624;0;401;0.664962;334792;K0;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;54/1;1;502 509;9 15;987;987;987;222417;0;402;0.695675;319714;K0;? Unchecked;v1.6.0-41-gaecfa37
