domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;16 489;478 19;932;934;934;221550;0;200;0.293751;754210;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;1/1;1;17 479;474 11;925;925;925;221645;0;246;0.263409;841447;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;2/1;1;501 486;43 3;941;941;941;221750;0;250;0.247985;894208;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;3/1;1;10 487;449 4;922;922;922;220774;0;250;0.245564;899051;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;4/1;1;1 506;466 44;927;927;927;219211;0;250;0.243553;900056;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;5/1;1;3 1;465 509;970;970;970;221666;0;250;0.243047;912028;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;6/1;1;474 13;6 476;931;931;931;221917;0;250;0.247551;896448;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;7/1;1;495 507;19 1;982;982;982;222504;0;250;0.245706;905570;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;8/1;1;500 1;78 498;919;919;919;219005;0;250;0.243495;899422;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;9/1;1;499 29;41 501;930;930;930;221499;0;250;0.246635;898084;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;10/1;1;511 510;22 65;934;934;934;219398;0;250;0.241626;908005;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;11/1;1;3 439;493 7;922;922;922;222388;0;250;0.251626;883805;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;12/1;1;6 433;497 0;924;924;924;222591;0;250;0.26181;850200;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;13/1;1;504 507;1 56;954;954;954;221247;0;250;0.255862;864713;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;14/1;1;1 493;497 56;933;933;933;220542;0;250;0.244752;901082;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;15/1;1;21 493;474 8;938;938;938;221774;0;250;0.245892;901916;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;16/1;1;473 37;18 502;920;920;920;222364;0;250;0.247936;896859;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;17/1;1;5 505;434 10;924;924;924;219331;0;250;0.244431;897311;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;18/1;1;77 506;500 6;923;923;923;222546;0;250;0.246516;902765;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;19/1;1;24 481;477 15;919;919;919;221598;0;251;0.247123;896712;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;20/1;1;21 11;461 506;935;935;935;221353;0;251;0.245188;902787;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;21/1;1;15 511;448 7;937;937;937;220536;0;251;0.270071;816586;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;22/1;1;498 499;28 37;932;932;932;220865;0;251;0.244125;904720;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;23/1;1;62 21;511 504;932;932;932;222663;0;251;0.246633;902811;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;24/1;1;8 13;441 499;919;919;919;219774;0;251;0.241688;909331;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;25/1;1;47 483;507 1;942;942;942;222670;0;251;0.246172;904530;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;26/1;1;1 36;499 502;964;964;964;222480;0;251;0.247484;898966;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;27/1;1;14 507;476 16;953;953;953;221524;0;252;0.245441;902555;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;28/1;1;507 20;16 497;968;968;968;222283;0;252;0.247146;899398;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;29/1;1;504 463;12 35;920;920;920;221704;0;252;0.245744;902174;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;30/1;1;5 463;475 1;932;932;932;222045;0;252;0.249888;888577;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;31/1;1;64 8;490 509;927;927;927;222432;0;252;0.248355;895622;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;32/1;1;4 7;468 485;942;942;942;220624;0;252;0.24543;898929;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;33/1;1;8 471;503 19;947;947;947;222335;0;252;0.249239;892056;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;34/1;1;44 30;496 503;925;925;925;222437;0;252;0.247552;898546;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;35/1;1;26 37;496 486;919;919;919;221980;0;252;0.24723;897867;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;36/1;1;502 5;12 483;968;968;968;221967;0;252;0.246972;898753;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;37/1;1;31 9;501 458;919;919;919;220915;0;252;0.244414;903854;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
maps;unit;38/1;1;486 27;3 467;923;923;923;221710;0;252;0.248477;892275;mDijkstra;? Unchecked;v1.6.0-6-g188ab49
