domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;34 14;504 471;927;927;927;194406;1;232;0.215631;901570;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;1/1;1;23 488;509 28;946;946;946;194940;1;292;0.185872;1.04879e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;2/1;1;7 503;487 42;941;943;943;193613;1;297;0.176721;1.09558e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;3/1;1;482 29;1 506;958;958;958;195283;1;298;0.177296;1.10145e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;4/1;1;495 467;8 27;927;927;927;194821;1;298;0.174505;1.11642e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;5/1;1;28 461;508 13;928;940;940;195303;1;300;0.178;1.09721e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;6/1;1;59 503;508 31;921;921;921;194832;1;300;0.176929;1.10119e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;7/1;1;511 497;28 10;970;970;970;194730;1;300;0.17647;1.10347e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;8/1;1;495 457;12 21;919;921;921;194910;1;301;0.175993;1.10749e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;9/1;1;498 20;10 464;932;936;936;194203;1;301;0.187174;1.03755e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;10/1;1;502 501;5 45;953;955;955;194340;1;301;0.172897;1.12402e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;11/1;1;496 36;1 460;919;921;921;194247;1;301;0.175427;1.10728e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
maps;unit;12/1;1;0 7;443 502;938;938;938;192929;1;301;0.174252;1.10718e+06;BELA0;? Unchecked;v1.6.0-6-g188ab49
