domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;34 14;504 471;927;927;927;14088;1;17;0.0217516;647677;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;1/1;1;23 488;509 28;946;946;946;12862;1;17;0.0180434;712838;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;2/1;1;7 503;487 42;941;943;943;10873;1;17;0.0150164;724077;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;3/1;1;482 29;1 506;958;958;958;12436;1;17;0.0145103;857044;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;4/1;1;495 467;8 27;927;927;927;13973;1;17;0.0185837;751896;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;5/1;1;28 461;508 13;928;940;940;107188;1;81;0.167728;639057;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;6/1;1;59 503;508 31;921;921;921;12124;1;81;0.0147778;820418;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;7/1;1;511 497;28 10;970;970;970;14597;1;81;0.017134;851930;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;8/1;1;495 457;12 21;919;921;921;73653;1;115;0.0985344;747485;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;9/1;1;498 20;10 464;932;936;936;87771;1;122;0.121409;722939;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;10/1;1;502 501;5 45;953;955;955;10886;1;122;0.0140047;777310;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;11/1;1;496 36;1 460;919;921;921;17341;1;122;0.0193124;897922;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;12/1;1;0 7;443 502;938;938;938;7813;1;122;0.00898207;869844;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;13/1;1;498 483;25 5;951;953;953;9545;1;122;0.0140101;681297;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;14/1;1;509 480;2 24;963;963;963;15875;1;122;0.0182283;870896;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;15/1;1;43 469;497 1;922;922;922;13144;1;122;0.0157028;837046;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;16/1;1;498 508;69 5;932;934;934;5483;1;122;0.00723026;758341;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;17/1;1;508 478;5 44;937;937;937;17351;1;122;0.020686;838781;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;18/1;1;505 510;0 58;957;959;959;10589;1;122;0.0129685;816520;BELA*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;19/1;1;492 0;27 471;936;936;936;17357;1;122;0.0199475;870134;BELA*;? Unchecked;v1.6.0-6-g188ab49
