domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;489 508;14 0;983;989;989;24210;0;21;0.0190115;1.27344e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;1/1;1;508 497;20 28;957;961;961;6213;0;21;0.00325139;1.91088e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;2/1;1;511 23;57 488;919;919;919;4092;0;21;0.00217537;1.88106e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;3/1;1;482 15;2 497;962;968;968;24926;0;20;0.017787;1.40136e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;4/1;1;38 495;503 24;936;938;938;7007;0;20;0.00351379;1.99415e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;5/1;1;492 48;17 494;921;921;921;5521;0;20;0.00307297;1.79663e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;6/1;1;490 1;3 473;959;965;965;51432;0;40;0.0418594;1.22868e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;7/1;1;511 469;15 38;927;945;945;34175;0;45;0.0234323;1.45845e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;8/1;1;45 9;489 509;944;946;946;16599;0;46;0.00976789;1.69934e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;9/1;1;31 14;489 508;952;958;958;26441;0;46;0.0161849;1.63368e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;10/1;1;503 503;30 19;957;963;963;26174;0;46;0.017578;1.48902e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;11/1;1;12 503;468 19;940;946;946;4898;0;46;0.00252591;1.93911e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;12/1;1;3 504;506 15;992;994;994;22052;0;46;0.0132019;1.67036e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
maps;unit;13/1;1;467 508;19 15;941;951;951;68543;0;56;0.0536675;1.27718e+06;mA*;? Unchecked;v1.6.0-41-gaecfa37
