domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
maps;unit;0/1;1;14 477;509 34;938;1002;1002;66286;0;132;0.207423;319569;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;1/1;1;488 3;14 464;935;963;963;38917;0;126;0.177412;219359;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;2/1;1;9 438;503 6;926;972;972;34262;0;126;0.089341;383497;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;3/1;1;59 12;508 498;935;989;989;48971;0;126;0.132919;368428;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;4/1;1;495 508;4 0;999;1053;1053;42920;0;126;0.117279;365964;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;5/1;1;454 24;11 502;921;953;953;49302;0;126;0.127602;386374;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;6/1;1;2 27;476 485;932;1002;1002;63977;0;129;0.179664;356092;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;7/1;1;450 6;8 486;922;958;958;42090;0;129;0.106623;394755;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;8/1;1;496 29;22 481;926;986;986;62552;0;129;0.163492;382600;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;9/1;1;489 9;1 459;938;966;966;39199;0;129;0.0988644;396493;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;10/1;1;27 10;494 508;965;1019;1019;65822;0;133;0.176105;373766;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;11/1;1;479 9;52 503;921;955;955;46390;0;133;0.115226;402600;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;12/1;1;486 493;12 19;948;1004;1004;50134;0;133;0.136749;366613;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;13/1;1;492 503;28 34;933;991;991;43830;0;133;0.115919;378108;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;14/1;1;14 508;507 75;926;992;992;73726;0;141;0.186473;395370;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;15/1;1;7 486;483 12;950;980;980;22908;0;141;0.065301;350806;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;16/1;1;8 506;463 25;936;976;976;34408;0;141;0.0897523;383366;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;17/1;1;485 28;7 510;960;1004;1004;55028;0;141;0.148962;369409;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;18/1;1;478 494;14 11;947;995;995;44005;0;141;0.116944;376291;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;19/1;1;504 18;57 499;928;990;990;78847;0;148;0.198022;398173;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;20/1;1;480 488;31 3;934;992;992;55368;0;148;0.154008;359515;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;21/1;1;13 507;477 15;956;990;990;25379;0;148;0.0733055;346209;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;22/1;1;11 12;496 469;942;986;986;45611;0;148;0.119629;381270;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;23/1;1;32 507;466 14;927;1009;1009;37082;0;148;0.0961575;385638;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;24/1;1;500 1;50 509;958;998;998;48557;0;148;0.128413;378132;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;25/1;1;484 39;5 503;943;989;989;58208;0;148;0.154457;376855;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;26/1;1;24 2;508 490;972;1014;1014;43183;0;148;0.11508;375242;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;27/1;1;482 5;8 465;934;962;962;38422;0;148;0.0970165;396036;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;28/1;1;6 47;497 481;925;985;985;52711;0;148;0.147569;357195;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;29/1;1;489 13;49 506;933;967;967;47532;0;148;0.124635;381369;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;30/1;1;499 510;2 87;920;982;982;57735;0;148;0.157418;366762;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;31/1;1;63 490;494 0;921;963;963;40871;0;148;0.104948;389439;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;32/1;1;509 15;24 506;976;1048;1048;96353;0;178;0.262803;366636;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;33/1;1;2 29;510 459;938;1004;1004;50809;0;178;0.137658;369097;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;34/1;1;487 477;0 34;930;1006;1006;79945;0;178;0.202253;395271;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;35/1;1;496 5;21 452;922;952;952;42587;0;178;0.107743;395264;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;36/1;1;486 492;27 24;927;987;987;55369;0;178;0.15361;360453;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;37/1;1;41 501;484 19;925;959;959;47688;0;178;0.125433;380187;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;38/1;1;453 486;4 2;933;997;997;53026;0;178;0.151549;349894;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;39/1;1;37 3;511 462;933;1001;1001;71795;0;178;0.184669;388778;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;40/1;1;30 53;509 494;920;972;972;40940;0;178;0.10775;379953;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;41/1;1;497 11;12 475;949;993;993;55761;0;178;0.149654;372599;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;42/1;1;498 17;14 490;957;1005;1005;43490;0;178;0.111495;390062;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;43/1;1;463 2;20 497;938;992;992;66311;0;178;0.170039;389975;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;44/1;1;2 1;459 479;935;987;987;61662;0;178;0.172183;358118;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;45/1;1;497 1;11 511;996;1032;1032;52466;0;178;0.145292;361107;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;46/1;1;20 23;493 493;943;999;999;56926;0;178;0.157742;360880;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;47/1;1;505 13;44 497;945;983;983;35474;0;178;0.0916735;386960;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;48/1;1;20 1;478 472;929;975;975;54652;0;178;0.150952;362048;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;49/1;1;487 496;17 3;963;1029;1029;68086;0;178;0.180616;376965;K*;? Unchecked;v1.6.0-6-g188ab49
maps;unit;50/1;1;487 499;6 54;926;1012;1012;66400;0;178;0.189532;350336;K*;? Unchecked;v1.6.0-6-g188ab49
