domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
maps;unit;0/1;1; 14 477;509  34;938;1002;1002;67075;1;0;64;0.0881264;761122;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;1/1;1;488   3; 14 464;935;963;963;37635;1;0;66;0.0431922;871339;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;2/1;1;  9 438;503   6;926;972;972;30851;1;0;66;0.0356134;866275;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;3/1;1; 59  12;508 498;935;989;989;48353;1;0;67;0.05668;853088;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;4/1;1;495 508;  4   0;999;1053;1053;40640;1;0;67;0.0471757;861461;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;5/1;1;454  24; 11 502;921;953;953;46498;1;0;67;0.0516908;899542;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;6/1;1;  2  27;476 485;932;1002;1002;64046;1;0;76;0.0714803;895995;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;7/1;1;450   6;  8 486;922;958;958;45550;1;0;76;0.0526123;865767;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;8/1;1;496  29; 22 481;926;986;986;63828;1;0;77;0.0700148;911635;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;9/1;1;489   9;  1 459;938;966;966;37857;1;0;77;0.0414926;912379;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;10/1;1; 27  10;494 508;965;1019;1019;65503;1;0;80;0.0726704;901371;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;11/1;1;479   9; 52 503;921;955;955;44363;1;0;80;0.0503574;880963;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;12/1;1;486 493; 12  19;948;1004;1004;51591;1;0;80;0.0602679;856028;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;13/1;1;492 503; 28  34;933;991;991;45477;1;0;80;0.0529864;858277;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;14/1;1; 14 508;507  75;926;992;992;73556;1;0;92;0.0780534;942380;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;15/1;1;  7 486;483  12;950;980;980;21537;1;0;92;0.0264115;815442;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;16/1;1;  8 506;463  25;936;976;976;32046;1;0;92;0.0340988;939799;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;17/1;1;485  28;  7 510;960;1004;1004;58559;1;0;92;0.0637471;918614;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
maps;unit;18/1;1;478 494; 14  11;947;995;995;40215;1;0;92;0.0465101;864652;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
