domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
maps;unit;0/1;1; 14 477;509  34;938;1002;1002;161351;1;0;218;0.244299;660466;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;1/1;1;488   3; 14 464;935;963;963;160059;1;0;283;0.203511;786489;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;2/1;1;  9 438;503   6;926;972;972;161364;1;0;296;0.198499;812923;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;3/1;1; 59  12;508 498;935;989;989;161284;1;0;300;0.193181;834885;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;4/1;1;495 508;  4   0;999;1053;1053;161514;1;0;300;0.193688;833889;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;5/1;1;454  24; 11 502;921;953;953;161279;1;0;300;0.192393;838277;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;6/1;1;  2  27;476 485;932;1002;1002;160342;1;0;300;0.191841;835807;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;7/1;1;450   6;  8 486;922;958;958;161111;1;0;300;0.192664;836229;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;8/1;1;496  29; 22 481;926;986;986;160756;1;0;300;0.192514;835035;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;9/1;1;489   9;  1 459;938;966;966;160476;1;0;300;0.19312;830965;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;10/1;1; 27  10;494 508;965;1019;1019;161433;1;0;344;0.196921;819785;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;11/1;1;479   9; 52 503;921;955;955;160317;1;0;344;0.190179;842981;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;12/1;1;486 493; 12  19;948;1004;1004;161034;1;0;344;0.190572;845005;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;13/1;1;492 503; 28  34;933;991;991;159659;1;0;344;0.193427;825424;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;14/1;1; 14 508;507  75;926;992;992;160188;1;0;344;0.191433;836782;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;15/1;1;  7 486;483  12;950;980;980;160525;1;0;344;0.191007;840413;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;16/1;1;  8 506;463  25;936;976;976;158744;1;0;344;0.188118;843854;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;17/1;1;485  28;  7 510;960;1004;1004;161480;1;0;344;0.191661;842527;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;18/1;1;478 494; 14  11;947;995;995;161042;1;0;344;0.191202;842259;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;19/1;1;504  18; 57 499;928;990;990;160388;1;0;344;0.192903;831443;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;20/1;1;480 488; 31   3;934;992;992;161014;1;0;344;0.1918;839491;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;21/1;1; 13 507;477  15;956;990;990;160082;1;0;344;0.193605;826849;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;22/1;1; 11  12;496 469;942;986;986;159949;1;0;344;0.191181;836637;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
maps;unit;23/1;1; 32 507;466  14;927;1009;1009;159820;1;0;344;0.191936;832674;0;0;sBELA0;? Unchecked;v1.6.0-213-g5f31454
