domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;heavy-cost;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;11;45;3623919;0;24885;106.404;34058;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;22;13;42;3553896;0;24472;119.872;29647.5;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;17;12;31;2190924;0;24472;55.6104;39397.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;20;10;33;2981161;0;24472;77.7537;38341.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;22;10;35;2481912;0;24472;63.9325;38820.8;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;17;10;33;2163621;0;24472;55.1691;39218;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;21;11;37;3041755;0;24472;79.3781;38319.8;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;31;12;46;3616766;0;24848;100.497;35988.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;18;10;30;728186;0;24848;15.8303;45999.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;21;9;35;3036489;0;24848;79.6205;38137;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;24;11;37;3449215;0;24848;94.9834;36313.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;18;9;30;911853;0;24848;21.2746;42861.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;23;14;40;3341616;0;24848;92.0083;36318.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;3625982;0;24901;100.885;35941.8;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;23;10;40;3374627;0;24901;93.3768;36139.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;28;10;39;3377800;0;24901;92.8104;36394.6;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;21;9;36;2760837;0;24901;71.399;38667.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;27;9;35;2422548;0;24901;62.0268;39056.5;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;18;11;31;2283133;0;24901;57.8308;39479.5;K0;? Unchecked;v1.6.0-12-g7668b80
