domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;heavy-cost;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;619224;0;4643;13.1192;47199.7;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;22;12;42;245403;0;4555;5.41968;45280;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;17;11;31;33798;0;4555;0.450673;74994.5;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;20;10;33;27254;0;4555;0.346444;78667.9;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;22;10;35;45232;0;4555;0.669597;67551.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;17;9;33;39752;0;4555;0.575249;69104;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;21;11;37;52313;0;4555;0.766508;68248.4;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;31;13;46;356469;0;4557;6.54455;54468.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;18;9;30;12147;0;4557;0.140014;86755.7;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;21;9;35;50948;0;4557;0.740559;68796.6;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;24;11;37;67055;0;4557;0.972389;68959;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;18;9;30;8696;0;4557;0.089179;97511.8;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;23;14;40;110015;0;4557;1.78701;61563.9;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;576053;0;4558;11.6603;49403.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;23;12;40;136621;0;4558;2.30132;59366.3;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;28;10;39;25693;0;4558;0.326418;78712;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;21;9;36;68623;0;4558;1.04403;65729;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;27;9;35;10341;0;4558;0.104295;99151;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;18;11;31;21229;0;4558;0.267958;79225;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;19/1;1;0 6 8 3 1 4 5 2 9 7 ;0 1 2 3 4 5 6 7 8 9 ;29;10;42;69243;0;4558;1.01462;68245.5;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;20/1;1;4 2 1 8 9 0 7 5 3 6 ;0 1 2 3 4 5 6 7 8 9 ;20;11;37;99983;0;4558;1.62507;61525.2;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;21/1;1;7 3 0 2 6 1 9 8 4 5 ;0 1 2 3 4 5 6 7 8 9 ;16;11;29;13297;0;4558;0.149303;89060.2;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;22/1;1;2 6 4 9 8 1 7 3 5 0 ;0 1 2 3 4 5 6 7 8 9 ;18;13;37;122815;0;4558;2.01756;60873;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;23/1;1;4 6 8 7 1 3 0 5 9 2 ;0 1 2 3 4 5 6 7 8 9 ;21;12;36;61771;0;4558;0.911761;67749.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;24/1;1;2 5 9 4 6 3 1 8 0 7 ;0 1 2 3 4 5 6 7 8 9 ;27;11;44;391752;0;4558;7.35301;53277.8;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;25/1;1;4 3 1 8 5 7 9 0 2 6 ;0 1 2 3 4 5 6 7 8 9 ;27;10;39;43875;0;4558;0.634158;69186.3;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;26/1;1;8 7 5 2 1 3 9 6 4 0 ;0 1 2 3 4 5 6 7 8 9 ;21;9;32;12944;0;4558;0.143399;90265.8;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;27/1;1;5 3 0 2 7 8 6 4 9 1 ;0 1 2 3 4 5 6 7 8 9 ;21;9;35;44914;0;4558;0.662372;67807.9;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;28/1;1;3 6 2 5 4 1 7 9 0 8 ;0 1 2 3 4 5 6 7 8 9 ;24;11;40;101114;0;4558;1.63184;61963.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;29/1;1;7 0 2 6 9 1 4 8 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;12;39;145740;0;4558;2.37632;61330.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;30/1;1;6 2 4 8 3 7 1 9 5 0 ;0 1 2 3 4 5 6 7 8 9 ;21;11;40;273656;0;4558;4.97077;55053.1;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;31/1;1;8 9 2 5 1 6 4 3 0 7 ;0 1 2 3 4 5 6 7 8 9 ;17;11;30;13634;0;4558;0.157783;86409.9;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;32/1;1;3 6 9 7 1 2 0 4 8 5 ;0 1 2 3 4 5 6 7 8 9 ;31;12;43;79961;0;4558;1.22847;65089.6;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;33/1;1;9 1 4 2 8 3 0 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;20;9;33;31708;0;4558;0.41387;76613.4;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;34/1;1;2 7 6 0 8 1 9 5 3 4 ;0 1 2 3 4 5 6 7 8 9 ;16;9;35;68972;0;4558;1.01787;67760.9;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;35/1;1;0 3 9 8 1 7 4 6 2 5 ;0 1 2 3 4 5 6 7 8 9 ;22;11;38;123505;0;4558;2.05716;60036.6;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;36/1;1;4 0 2 7 6 9 5 3 1 8 ;0 1 2 3 4 5 6 7 8 9 ;26;12;38;33242;0;4558;0.435862;76267.2;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;37/1;1;7 0 8 4 2 6 5 3 9 1 ;0 1 2 3 4 5 6 7 8 9 ;16;10;34;95997;0;4558;1.56759;61238.5;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;38/1;1;3 6 5 7 1 9 0 8 4 2 ;0 1 2 3 4 5 6 7 8 9 ;18;14;39;191424;0;4558;3.34205;57277.4;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;39/1;1;6 3 5 1 7 2 8 0 9 4 ;0 1 2 3 4 5 6 7 8 9 ;20;11;40;263053;0;4558;4.78606;54962.3;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;40/1;1;0 6 9 3 1 5 8 7 4 2 ;0 1 2 3 4 5 6 7 8 9 ;24;11;39;92079;0;4558;1.5128;60866.5;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;41/1;1;1 3 8 4 0 9 2 7 6 5 ;0 1 2 3 4 5 6 7 8 9 ;17;10;35;44829;0;4558;0.650006;68967;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;42/1;1;2 8 0 1 6 9 3 4 7 5 ;0 1 2 3 4 5 6 7 8 9 ;26;8;41;139993;0;4558;2.3174;60409.6;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;43/1;1;2 9 8 1 4 5 7 3 0 6 ;0 1 2 3 4 5 6 7 8 9 ;18;9;32;25110;0;4558;0.362713;69228.3;K*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;44/1;1;2 9 3 4 6 0 7 8 1 5 ;0 1 2 3 4 5 6 7 8 9 ;16;8;35;68567;0;4558;1.01713;67412.5;K*;? Unchecked;v1.6.0-12-g7668b80
