domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;heavy-cost;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;596173;0;1006;2.56623;232314;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;22;12;42;252242;0;1006;0.902959;279350;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;17;11;31;31994;0;1006;0.0883401;362168;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;20;10;33;25470;0;1006;0.0674804;377443;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;22;10;35;41823;0;1006;0.119941;348697;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;17;9;33;38416;0;1006;0.112263;342195;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;21;11;37;53961;0;1006;0.15784;341871;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;31;13;46;367535;0;1016;1.3345;275411;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;18;9;30;11456;0;1016;0.0282545;405457;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;21;9;35;52390;0;1016;0.150464;348189;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;24;11;37;64529;0;1016;0.194899;331090;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;18;9;30;9043;0;1016;0.0206229;438494;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;23;14;40;111833;0;1017;0.364322;306962;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;589288;0;1017;2.37307;248323;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;23;12;40;139966;0;1017;0.472932;295954;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;28;10;39;26411;0;1017;0.0657923;401430;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;21;9;36;66614;0;1017;0.203297;327669;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;27;9;35;10487;0;1017;0.0237719;441150;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;18;11;31;17990;0;1017;0.0447521;401992;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;19/1;1;0 6 8 3 1 4 5 2 9 7 ;0 1 2 3 4 5 6 7 8 9 ;29;10;42;71573;0;1017;0.206487;346623;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;20/1;1;4 2 1 8 9 0 7 5 3 6 ;0 1 2 3 4 5 6 7 8 9 ;20;11;37;102968;0;1017;0.332832;309369;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;21/1;1;7 3 0 2 6 1 9 8 4 5 ;0 1 2 3 4 5 6 7 8 9 ;16;11;29;11768;0;1017;0.0291895;403159;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;22/1;1;2 6 4 9 8 1 7 3 5 0 ;0 1 2 3 4 5 6 7 8 9 ;18;13;37;123310;0;1017;0.42852;287758;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;23/1;1;4 6 8 7 1 3 0 5 9 2 ;0 1 2 3 4 5 6 7 8 9 ;21;12;36;62362;0;1017;0.187468;332654;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;24/1;1;2 5 9 4 6 3 1 8 0 7 ;0 1 2 3 4 5 6 7 8 9 ;27;11;44;333546;0;1017;1.14753;290663;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;25/1;1;4 3 1 8 5 7 9 0 2 6 ;0 1 2 3 4 5 6 7 8 9 ;27;10;39;43920;0;1017;0.122914;357323;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;26/1;1;8 7 5 2 1 3 9 6 4 0 ;0 1 2 3 4 5 6 7 8 9 ;21;9;32;12483;0;1017;0.0293894;424745;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;27/1;1;5 3 0 2 7 8 6 4 9 1 ;0 1 2 3 4 5 6 7 8 9 ;21;9;35;44539;0;1017;0.131828;337857;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;28/1;1;3 6 2 5 4 1 7 9 0 8 ;0 1 2 3 4 5 6 7 8 9 ;24;11;40;104077;0;1017;0.323452;321770;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;29/1;1;7 0 2 6 9 1 4 8 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;12;39;145381;0;1017;0.44038;330126;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;30/1;1;6 2 4 8 3 7 1 9 5 0 ;0 1 2 3 4 5 6 7 8 9 ;21;11;40;266263;0;1017;0.889221;299434;mA*;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;31/1;1;8 9 2 5 1 6 4 3 0 7 ;0 1 2 3 4 5 6 7 8 9 ;17;12;30;14037;0;1017;0.0348624;402640;mA*;? Unchecked;v1.6.0-12-g7668b80
