domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;heavy-cost;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;25;12;45;3623925;0;3085;44.3138;81778.8;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;22;12;42;3554359;0;3920;37.2753;95354.1;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;17;12;31;2190926;0;3929;14.8897;147144;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;20;10;33;2778659;0;4076;20.903;132931;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;22;10;35;2208680;0;4076;15.3656;143742;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;17;10;33;2090861;0;3992;14.0315;149011;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;21;9;37;3041678;0;3992;24.9122;122096;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;31;12;46;3616474;0;4368;41.0136;88177.5;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;18;10;30;687255;0;4368;3.88095;177084;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
n-pancake;heavy-cost;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;21;10;35;3041267;0;4443;24.745;122904;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
