domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;2743259;0;19093;69.0615;39722;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3227255;0;22520;98.5079;32761.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3102941;0;21758;82.9018;37429.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2872016;0;21758;68.469;41946.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;21758;65.3669;41930.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2439580;0;21758;57.6234;42336.6;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1505626;0;21758;32.4573;46388;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2948827;0;21758;70.2208;41993.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1431134;0;21758;30.9733;46205.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1348512;0;21758;28.9734;46543.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2882452;0;21758;68.5856;42027.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1431134;0;21758;30.9986;46167.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3515063;0;24251;89.5861;39236.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;10;11;11;3564052;0;24544;99.9556;35656.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3370877;0;24544;94.364;35722;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2039790;0;23782;56.7485;35944.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2212380;0;23782;51.997;42548.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1431134;0;23782;31.0018;46162.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2199203;0;23782;51.6824;42552.3;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;19/1;1;0 6 8 3 1 4 5 2 9 7 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3463350;0;23941;87.6699;39504.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;20/1;1;4 2 1 8 9 0 7 5 3 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2091371;0;23941;49.1476;42552.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;21/1;1;7 3 0 2 6 1 9 8 4 5 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1974898;0;23941;45.1967;43695.6;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;22/1;1;2 6 4 9 8 1 7 3 5 0 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;23941;65.4742;41862.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;23/1;1;4 6 8 7 1 3 0 5 9 2 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;23941;65.4565;41873.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;24/1;1;2 5 9 4 6 3 1 8 0 7 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3073094;0;23941;73.5614;41775.9;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;25/1;1;4 3 1 8 5 7 9 0 2 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1978368;0;23941;45.3089;43664;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;26/1;1;8 7 5 2 1 3 9 6 4 0 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2082904;0;23941;48.9388;42561.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;27/1;1;5 3 0 2 7 8 6 4 9 1 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2085599;0;23941;49.0346;42533.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;28/1;1;3 6 2 5 4 1 7 9 0 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1513150;0;23941;32.74;46217.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;29/1;1;7 0 2 6 9 1 4 8 5 3 ;0 1 2 3 4 5 6 7 8 9 ;10;11;11;3600741;0;24764;91.9152;39174.6;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;30/1;1;6 2 4 8 3 7 1 9 5 0 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3128580;0;24764;75.0736;41673.5;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;31/1;1;8 9 2 5 1 6 4 3 0 7 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2384401;0;24764;56.2237;42409.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;32/1;1;3 6 9 7 1 2 0 4 8 5 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2742335;0;24764;65.4571;41895.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;33/1;1;9 1 4 2 8 3 0 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;24764;65.5053;41842.2;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;34/1;1;2 7 6 0 8 1 9 5 3 4 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1431134;0;24764;31.0414;46104.1;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;35/1;1;0 3 9 8 1 7 4 6 2 5 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;24764;65.5219;41831.7;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;36/1;1;4 0 2 7 6 9 5 3 1 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2740890;0;24764;65.4253;41893.4;K0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;37/1;1;7 0 8 4 2 6 5 3 9 1 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1958887;0;24764;44.9309;43597.8;K0;? Unchecked;v1.6.0-12-g7668b80
