domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3513335;1;4580;33.2394;105698;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3320838;1;4792;27.2096;122047;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3081911;1;4796;23.5512;130860;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3261402;1;4744;26.237;124305;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1822206;1;4581;10.9895;165813;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1883678;1;4581;11.0636;170260;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2653415;1;4962;18.6266;142453;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3356428;1;5404;28.0842;119513;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1033727;1;5207;5.44274;189928;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;623394;1;5207;2.79767;222826;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3265346;1;5489;26.3956;123708;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;704015;1;4962;3.32599;211671;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2796349;1;5151;20.1999;138434;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;10;11;11;3626298;1;5106;39.3205;92224.1;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2952988;1;5106;22.3945;131862;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2095998;1;5106;12.8893;162616;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2128951;1;5106;13.28;160313;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1328993;1;5106;7.31239;181745;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1978566;1;5106;12.0588;164077;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;19/1;1;0 6 8 3 1 4 5 2 9 7 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2767249;1;5106;20.0284;138166;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;20/1;1;4 2 1 8 9 0 7 5 3 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1986618;1;5106;12.1647;163310;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;21/1;1;7 3 0 2 6 1 9 8 4 5 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2325641;1;5106;14.8393;156722;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;22/1;1;2 6 4 9 8 1 7 3 5 0 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1974524;1;5106;12.0206;164262;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;23/1;1;4 6 8 7 1 3 0 5 9 2 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2342323;1;5106;14.9803;156360;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;24/1;1;2 5 9 4 6 3 1 8 0 7 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3120868;1;5106;24.1142;129420;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;25/1;1;4 3 1 8 5 7 9 0 2 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2475881;1;5106;16.6994;148262;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;26/1;1;8 7 5 2 1 3 9 6 4 0 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2243085;1;4962;14.1132;158935;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;27/1;1;5 3 0 2 7 8 6 4 9 1 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2245362;1;4962;14.1806;158341;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;28/1;1;3 6 2 5 4 1 7 9 0 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2660954;1;4962;18.6867;142398;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;29/1;1;7 0 2 6 9 1 4 8 5 3 ;0 1 2 3 4 5 6 7 8 9 ;10;11;11;3608007;1;4965;36.2226;99606.5;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;30/1;1;6 2 4 8 3 7 1 9 5 0 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3194462;1;4965;25.372;125905;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;31/1;1;8 9 2 5 1 6 4 3 0 7 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1782835;1;4965;10.7885;165254;BELA0;? Unchecked;v1.6.0-12-g7668b80
n-pancake;unit;32/1;1;3 6 9 7 1 2 0 4 8 5 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3554898;1;4966;33.8033;105164;BELA0;? Unchecked;v1.6.0-12-g7668b80
