domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;26;1;0;9;0.000308;84415.6;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;1;0;10;0.000614;104235;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;12;1;0;10;0.000121;99173.6;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;29;1;0;10;0.000246;117886;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;9;1;0;10;9.3e-05;96774.2;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;46;1;0;10;0.000373;123324;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;26;1;0;10;0.000226;115044;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;1;0;10;0.000522;122605;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;94;1;0;10;0.000843;111507;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;36;1;0;10;0.000305;118033;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;10;1;0;10;0.000102;98039.2;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;11/1;1;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;55;1;0;10;0.000441;124717;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;12/1;1;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;9;9;17;1;0;10;0.000158;107595;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;13/1;1;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;9;9;20;1;0;10;0.00018;111111;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;14/1;1;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;10;1;0;10;0.000104;96153.8;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;15/1;1;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;12;1;0;10;0.000116;103448;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;16/1;1;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;15;1;0;10;0.000138;108696;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;17/1;1;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;1;0;10;0.000133;105263;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;18/1;1;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;200;1;0;10;0.001527;130976;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;19/1;1;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;17;1;0;10;5.5e-05;309091;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;20/1;1;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;141;1;0;10;0.000396;356061;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;21/1;1;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;9;9;24;1;0;10;7.3e-05;328767;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;22/1;1;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;9;9;13;1;0;10;4.4e-05;295455;BELA*;                        ? Unchecked;ijcai-2026-base-17-g133903f
