domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;20;0;0;9;0.000242;82644.6;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;18;0;0;9;0.000172;104651;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;34;0;0;9;0.000362;93922.7;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;28;0;0;9;0.000294;95238.1;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;15;0;0;9;0.000151;99337.7;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;20;0;0;9;0.00019;105263;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;26;0;0;9;0.00026;100000;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;56;0;0;10;0.000613;91354;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;37;0;0;10;0.000397;93199;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;28;0;0;10;0.000292;95890.4;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;0;0;10;0.000141;99290.8;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;11/1;1;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;60;0;0;10;0.00059;101695;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;12/1;1;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;9;9;23;0;0;10;0.000262;87786.3;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;13/1;1;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;9;9;15;0;0;10;0.000145;103448;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;14/1;1;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;19;0;0;10;0.000177;107345;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;15/1;1;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;12;0;0;10;0.000104;115385;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;16/1;1;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;16;0;0;10;0.000143;111888;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;17/1;1;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;10;0;0;10;0.0001;100000;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;18/1;1;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;54;0;0;10;0.000535;100935;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;19/1;1;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;15;0;0;10;0.00018;83333.3;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;20/1;1;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;156;0;0;11;0.001785;87395;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;21/1;1;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;9;9;23;0;0;11;0.000416;55288.5;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;22/1;1;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;9;9;10;0;0;11;9.1e-05;109890;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;23/1;1;5 1 3 8 7 10 6 4 2 9;1 2 3 4 5 6 7 8 9 10;9;9;9;26;0;0;11;0.00025;104000;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;24/1;1;8 1 9 5 3 7 6 4 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;13;0;0;11;0.000132;98484.8;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;25/1;1;4 7 6 8 2 10 1 9 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;10;0;0;11;8.8e-05;113636;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;26/1;1;7 4 6 2 8 3 9 1 10 5;1 2 3 4 5 6 7 8 9 10;10;10;10;16;0;0;11;0.000147;108844;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;27/1;1;1 7 10 4 2 6 9 8 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;11;0;0;11;9.4e-05;117021;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;28/1;1;9 4 6 8 7 10 2 5 1 3;1 2 3 4 5 6 7 8 9 10;9;10;10;43;0;0;11;0.000407;105651;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
n-pancake;unit;29/1;1;8 3 9 2 7 4 6 1 5 10;1 2 3 4 5 6 7 8 9 10;9;9;9;15;0;0;11;0.000165;90909.1;K*;                        ? Unchecked;ijcai-2026-base-17-g133903f
