domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;3513335;1;0;4581;32.2882;108812;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3320838;1;0;4669;26.7025;124364;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;3081911;1;0;4669;23.0687;133597;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;3261402;1;0;4748;25.5691;127553;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;1822206;1;0;4748;10.6571;170985;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3356428;1;0;4831;27.5562;121803;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3265346;1;0;4834;25.7892;126617;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;2796349;1;0;4834;20.0066;139771;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;3626298;1;0;4896;38.8172;93419.8;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;2952988;1;0;4896;21.899;134846;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;2095998;1;0;4752;12.7512;164377;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;11/1;1;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;2767249;1;0;4755;19.7576;140060;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;12/1;1;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;9;9;1974524;1;0;4755;11.9754;164881;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;13/1;1;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;9;9;2342323;1;0;4755;14.8492;157741;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;14/1;1;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;3120868;1;0;4755;23.9318;130407;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;15/1;1;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;2475881;1;0;4755;16.7161;148114;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;16/1;1;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;2245362;1;0;4755;14.0753;159525;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;17/1;1;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;2660954;1;0;4755;18.536;143556;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;18/1;1;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;3608007;1;0;4789;35.6182;101297;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;19/1;1;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;3194462;1;0;4789;25.0185;127684;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;20/1;1;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;3554898;1;0;4752;33.2982;106760;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;21/1;1;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;9;9;2422027;1;0;4752;16.1073;150368;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;22/1;1;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;9;9;2456162;1;0;4752;16.3745;149999;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;23/1;1;5 1 3 8 7 10 6 4 2 9;1 2 3 4 5 6 7 8 9 10;9;9;9;1974003;1;0;4752;11.9184;165626;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;24/1;1;8 1 9 5 3 7 6 4 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;2364374;1;0;4752;15.4906;152633;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;25/1;1;4 7 6 8 2 10 1 9 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;1774501;1;0;4752;10.4859;169228;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;26/1;1;7 4 6 2 8 3 9 1 10 5;1 2 3 4 5 6 7 8 9 10;10;10;10;3042013;1;0;4755;23.0166;132166;0;0;bBELA0<1>;? Unchecked;
n-pancake;unit;27/1;1;1 7 10 4 2 6 9 8 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;2523717;1;0;4755;16.9849;148586;0;0;bBELA0<1>;? Unchecked;
