domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;3513335;1;0;4789;34.4913;101861;0;0;sBELA0;? Unchecked;
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3320838;1;0;4947;28.9314;114783;0;0;sBELA0;? Unchecked;
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;3081911;1;0;4877;24.8189;124176;0;0;sBELA0;? Unchecked;
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;3261402;1;0;5028;27.8826;116969;0;0;sBELA0;? Unchecked;
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;1822206;1;0;5028;11.5959;157143;0;0;sBELA0;? Unchecked;
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3356428;1;0;5119;29.1817;115018;0;0;sBELA0;? Unchecked;
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;3265346;1;0;5120;27.615;118245;0;0;sBELA0;? Unchecked;
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;2796349;1;0;5120;21.622;129329;0;0;sBELA0;? Unchecked;
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;3626298;1;0;5157;40.9853;88478;0;0;sBELA0;? Unchecked;
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;2952988;1;0;5157;23.5804;125231;0;0;sBELA0;? Unchecked;
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;2095998;1;0;5157;13.8857;150946;0;0;sBELA0;? Unchecked;
