domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-pancake;unit;0/1;1;3 8 2 7 9 1 5 10 6 4;1 2 3 4 5 6 7 8 9 10;10;10;10;26;1;0;10;0.000218098;119212;0;0;sBELA*;? Unchecked;
n-pancake;unit;1/1;1;4 1 6 5 10 2 8 3 9 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;1;0;10;0.000432838;147861;0;0;sBELA*;? Unchecked;
n-pancake;unit;2/1;1;9 8 4 1 10 2 6 3 7 5;1 2 3 4 5 6 7 8 9 10;9;10;10;12;1;0;10;8.3895e-05;143036;0;0;sBELA*;? Unchecked;
n-pancake;unit;3/1;1;9 2 7 1 4 8 10 5 6 3;1 2 3 4 5 6 7 8 9 10;9;10;10;29;1;0;10;0.000213595;135771;0;0;sBELA*;? Unchecked;
n-pancake;unit;4/1;1;4 1 5 2 8 6 10 9 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;9;1;0;10;0.000154781;58146.7;0;0;sBELA*;? Unchecked;
n-pancake;unit;5/1;1;2 1 8 6 4 9 5 3 10 7;1 2 3 4 5 6 7 8 9 10;9;10;10;46;1;0;10;0.000350177;131362;0;0;sBELA*;? Unchecked;
n-pancake;unit;6/1;1;9 1 6 4 3 8 10 2 5 7;1 2 3 4 5 6 7 8 9 10;9;10;10;26;1;0;10;0.000214026;121481;0;0;sBELA*;? Unchecked;
n-pancake;unit;7/1;1;3 5 2 10 8 9 4 6 1 7;1 2 3 4 5 6 7 8 9 10;9;10;10;64;1;0;10;0.000475136;134698;0;0;sBELA*;? Unchecked;
n-pancake;unit;8/1;1;4 7 2 9 5 3 6 10 1 8;1 2 3 4 5 6 7 8 9 10;10;11;11;94;1;0;10;0.000688385;136551;0;0;sBELA*;? Unchecked;
n-pancake;unit;9/1;1;1 9 6 10 4 2 5 7 8 3;1 2 3 4 5 6 7 8 9 10;9;10;10;36;1;0;10;0.000272502;132109;0;0;sBELA*;? Unchecked;
n-pancake;unit;10/1;1;6 4 3 7 10 8 2 5 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;10;1;0;10;8.8629e-05;112830;0;0;sBELA*;? Unchecked;
n-pancake;unit;11/1;1;1 7 9 4 2 5 6 3 10 8;1 2 3 4 5 6 7 8 9 10;9;10;10;55;1;0;10;0.000375827;146344;0;0;sBELA*;? Unchecked;
n-pancake;unit;12/1;1;3 7 5 10 9 2 8 4 6 1;1 2 3 4 5 6 7 8 9 10;9;9;9;17;1;0;10;0.000150209;113176;0;0;sBELA*;? Unchecked;
n-pancake;unit;13/1;1;5 7 9 8 2 4 1 6 10 3;1 2 3 4 5 6 7 8 9 10;9;9;9;20;1;0;10;0.000170396;117374;0;0;sBELA*;? Unchecked;
n-pancake;unit;14/1;1;3 6 10 5 7 4 2 9 1 8;1 2 3 4 5 6 7 8 9 10;10;10;10;10;1;0;10;9.9648e-05;100353;0;0;sBELA*;? Unchecked;
n-pancake;unit;15/1;1;5 4 2 9 6 8 10 1 3 7;1 2 3 4 5 6 7 8 9 10;9;9;9;12;1;0;10;0.000103177;116305;0;0;sBELA*;? Unchecked;
n-pancake;unit;16/1;1;6 4 1 3 8 9 7 5 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;15;1;0;10;0.000122446;122503;0;0;sBELA*;? Unchecked;
n-pancake;unit;17/1;1;4 7 3 6 5 2 8 10 1 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;1;0;10;0.000116947;119712;0;0;sBELA*;? Unchecked;
n-pancake;unit;18/1;1;8 1 3 7 10 2 5 9 6 4;1 2 3 4 5 6 7 8 9 10;10;11;11;200;1;0;11;0.00152298;131321;0;0;sBELA*;? Unchecked;
n-pancake;unit;19/1;1;7 3 5 9 4 8 2 10 6 1;1 2 3 4 5 6 7 8 9 10;10;10;10;17;1;0;11;0.000139856;121554;0;0;sBELA*;? Unchecked;
n-pancake;unit;20/1;1;4 7 10 8 2 3 1 5 9 6;1 2 3 4 5 6 7 8 9 10;9;10;10;141;1;0;11;0.00105145;134101;0;0;sBELA*;? Unchecked;
n-pancake;unit;21/1;1;10 2 5 3 9 4 1 8 6 7;1 2 3 4 5 6 7 8 9 10;9;9;9;24;1;0;11;0.000169291;141768;0;0;sBELA*;? Unchecked;
n-pancake;unit;22/1;1;1 4 10 9 2 8 5 7 3 6;1 2 3 4 5 6 7 8 9 10;9;9;9;13;1;0;11;0.000102399;126954;0;0;sBELA*;? Unchecked;
n-pancake;unit;23/1;1;5 1 3 8 7 10 6 4 2 9;1 2 3 4 5 6 7 8 9 10;9;9;9;14;1;0;11;0.000108067;129549;0;0;sBELA*;? Unchecked;
n-pancake;unit;24/1;1;8 1 9 5 3 7 6 4 10 2;1 2 3 4 5 6 7 8 9 10;9;9;9;17;1;0;11;0.000150449;112995;0;0;sBELA*;? Unchecked;
n-pancake;unit;25/1;1;4 7 6 8 2 10 1 9 5 3;1 2 3 4 5 6 7 8 9 10;9;9;9;13;1;0;11;0.000124068;104781;0;0;sBELA*;? Unchecked;
n-pancake;unit;26/1;1;7 4 6 2 8 3 9 1 10 5;1 2 3 4 5 6 7 8 9 10;10;10;10;11;1;0;11;0.00010612;103656;0;0;sBELA*;? Unchecked;
