domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-pancake;unit;0/1;1;2 7 1 6 8 0 4 9 5 3 ;0 1 2 3 4 5 6 7 8 9 ;10;10;10;3513335;0;3507;24.4514;143687;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;1/1;1;3 0 5 4 9 1 7 2 8 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3320838;0;4358;20.1895;164483;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;2/1;1;8 7 3 0 9 1 5 2 6 4 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3081911;0;4332;17.491;176200;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;3/1;1;8 1 6 0 3 7 9 4 5 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3261402;0;4357;19.4752;167464;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;4/1;1;3 0 4 1 7 5 9 8 2 6 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;1822206;0;3733;7.67493;237423;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;5/1;1;2 5 6 9 1 3 8 7 0 4 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1883678;0;3809;7.89299;238652;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;6/1;1;6 5 7 1 3 4 9 2 0 8 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2653415;0;4122;13.4816;196818;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;7/1;1;1 0 7 5 3 8 4 2 9 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3356428;0;4358;20.6298;162698;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;8/1;1;1 6 5 8 4 0 2 7 3 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1033727;0;4122;3.74209;276243;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;9/1;1;8 3 7 2 4 9 6 5 1 0 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;623394;0;4122;1.95266;319253;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;10/1;1;8 0 5 3 2 7 9 1 4 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;3265346;0;4357;19.3536;168721;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;11/1;1;4 5 7 3 1 6 8 2 0 9 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;704015;0;4122;2.19214;321155;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;12/1;1;2 4 1 9 7 8 3 5 0 6 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2796349;0;4218;14.718;189995;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;13/1;1;3 6 1 8 4 2 5 9 0 7 ;0 1 2 3 4 5 6 7 8 9 ;10;11;11;3626298;0;4438;28.9586;125223;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;14/1;1;0 8 5 9 3 1 4 6 7 2 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2952988;0;4318;16.2834;181350;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;15/1;1;5 3 2 6 9 7 1 4 0 8 ;0 1 2 3 4 5 6 7 8 9 ;9;9;9;2095998;0;4318;9.12799;229623;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;16/1;1;3 7 4 0 5 8 9 1 2 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;2128951;0;4318;9.40594;226341;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;17/1;1;7 9 0 1 3 6 2 5 4 8 ;0 1 2 3 4 5 6 7 8 9 ;8;8;8;1328993;0;4318;5.05129;263099;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;18/1;1;8 0 9 3 2 4 1 7 5 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1978566;0;4318;8.501;232745;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;19/1;1;0 6 8 3 1 4 5 2 9 7 ;0 1 2 3 4 5 6 7 8 9 ;9;10;10;2767249;0;4318;14.359;192719;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
n-pancake;unit;20/1;1;4 2 1 8 9 0 7 5 3 6 ;0 1 2 3 4 5 6 7 8 9 ;8;9;9;1986618;0;4318;8.52331;233081;mDijkstra;? Unchecked;v1.6.0-41-gaecfa37
