domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-pancake;unit;0/1;1;13 8 16 7 12 1 5 10 14 18 15 17 3 6 2 20 9 19 4 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;20;20;20;184;1;0;11;0.00248387;74077.9;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;1/1;1;15 19 4 1 10 20 17 3 13 18 14 5 7 2 9 8 6 12 16 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;20;20;3601;1;0;30;0.0332476;108309;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;2/1;1;4 18 14 2 8 11 20 17 3 15 6 7 16 19 12 1 9 13 5 10;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;19;19;26;1;0;30;0.000167448;155272;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;3/1;1;11 1 14 6 17 20 5 3 19 12 2 18 10 15 8 4 16 7 13 9;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;20;21;21;4144;1;0;46;0.0313201;132311;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;4/1;1;1 19 10 20 14 5 13 16 18 12 7 2 6 15 4 17 8 3 11 9;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;20;20;20;87;1;0;46;0.000479395;181479;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;5/1;1;1 19 18 13 4 16 14 3 20 9 2 11 6 5 8 12 17 7 15 10;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;19;19;694;1;0;46;0.0061815;112270;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;6/1;1;15 12 6 14 9 11 7 10 3 1 2 5 20 8 19 13 16 18 4 17;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;20;20;475;1;0;46;0.00364858;130188;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;7/1;1;3 5 2 12 17 13 4 19 1 16 18 10 15 8 9 11 14 20 6 7;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;19;19;221;1;0;46;0.00196499;112469;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;8/1;1;15 18 6 12 4 2 14 16 8 20 13 10 5 11 1 7 3 9 17 19;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;20;21;21;1367;1;0;46;0.0112611;121392;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;9/1;1;4 14 19 16 6 9 10 2 3 20 7 1 17 8 12 15 5 13 18 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;19;19;1335;1;0;46;0.0103472;129021;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;10/1;1;20 18 14 17 3 5 19 11 6 16 8 7 13 10 4 12 15 1 2 9;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;19;19;641;1;0;46;0.00348112;184136;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;11/1;1;5 13 9 8 2 20 11 6 10 15 18 12 16 3 14 19 1 17 7 4;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;19;19;110;1;0;46;0.000911816;120638;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;12/1;1;9 18 16 8 4 13 5 19 2 11 1 12 6 3 10 20 17 7 14 15;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;20;20;390;1;0;46;0.0030899;126218;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;13/1;1;6 4 11 3 18 9 7 20 13 2 16 14 10 15 8 1 19 17 12 5;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;20;20;20;341;1;0;46;0.00307543;110879;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;14/1;1;6 12 4 5 1 14 9 17 18 15 8 3 13 20 2 19 16 10 7 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;19;19;1322;1;0;46;0.0120569;109647;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;15/1;1;19 6 5 3 4 14 2 20 10 16 18 9 17 7 13 1 12 15 8 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;18;18;18;100;1;0;46;0.000537489;186050;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;16/1;1;10 2 13 3 9 17 18 8 6 19 12 16 5 11 1 20 4 15 7 14;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;20;20;755;1;0;46;0.0073591;102594;0;0;bBELA*<1>;? Unchecked;
n-pancake;unit;17/1;1;1 4 15 12 16 8 5 7 3 6 17 19 18 14 20 2 10 13 9 11;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;19;19;19;19;1;0;46;0.000120008;158323;0;0;bBELA*<1>;? Unchecked;
