domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-puzzle;heavy-cost;00/1;1;0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;232;48;314;42337;0;70;0.0681728;621024;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;01/1;1;14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;302;45;340;29261;0;59;0.0345841;846082;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;02/1;1;4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;249;42;313;16725;0;59;0.0177406;942754;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;03/1;1;13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;255;41;325;148592;0;224;0.236802;627495;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;04/1;1;9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;271;44;325;110405;0;185;0.170666;646905;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;05/1;1;7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;298;46;368;1158922;0;1079;2.1759;532616;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;06/1;1;5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;335;53;383;88304;0;1079;0.116431;758424;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;07/1;1;6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;324;47;406;2771517;0;3159;5.13556;539672;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;08/1;1;13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;257;46;353;4834403;0;5292;9.60081;503541;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;09/1;1;3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;262;46;324;102940;0;5292;0.150712;683025;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;10/1;1;14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;369;56;463;15472595;0;15784;31.5528;490371;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;11/1;1;8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;284;49;348;408907;0;15784;0.659927;619625;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;12/1;1;12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;302;51;386;2331672;0;15784;4.05933;574399;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;13/1;1;6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;259;45;325;495492;0;15784;0.801448;618246;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;14/1;1;12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;304;50;400;15446033;0;18510;32.0856;481401;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;15/1;1;4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;226;48;316;353522;0;18510;0.600565;588649;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;16/1;1;6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;294;49;350;108179;0;18510;0.146731;737258;mA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;heavy-cost;17/1;1;13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;331;52;427;2987147;0;18510;5.36583;556699;mA*;? Unchecked;v1.6.0-15-gb5144bf
