domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;solver;doctor;version
n-puzzle;heavy-cost;0/1;1;5 6 0 8 4 7 1 3 2;0 1 2 3 4 5 6 7 8;84;24;114;432;1;0;10;0.001375;314182;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;1/1;1;0 8 6 4 7 1 5 3 2;0 1 2 3 4 5 6 7 8;86;24;114;488;1;0;10;0.00134;364179;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;2/1;1;5 2 8 0 7 4 1 3 6;0 1 2 3 4 5 6 7 8;65;21;91;293;1;0;10;0.000784;373724;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;3/1;1;7 2 6 0 8 1 5 4 3;0 1 2 3 4 5 6 7 8;93;27;113;513;1;0;10;0.001299;394919;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;4/1;1;5 1 8 6 0 7 2 4 3;0 1 2 3 4 5 6 7 8;72;24;92;283;1;0;10;0.000746;379357;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;5/1;1;8 0 3 6 4 5 7 2 1;0 1 2 3 4 5 6 7 8;63;23;103;1213;1;0;11;0.003239;374498;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;6/1;1;4 2 7 1 5 8 0 6 3;0 1 2 3 4 5 6 7 8;61;18;87;250;1;0;11;0.000304;822368;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;7/1;1;4 1 7 3 2 5 6 0 8;0 1 2 3 4 5 6 7 8;33;21;77;491;1;0;11;0.000587;836457;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;8/1;1;8 4 0 5 1 6 2 7 3;0 1 2 3 4 5 6 7 8;82;30;126;2857;1;0;13;0.003776;756621;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
n-puzzle;heavy-cost;9/1;1;1 3 0 7 6 2 5 8 4;0 1 2 3 4 5 6 7 8;66;24;94;452;1;0;13;0.000542;833948;BELA*;                        ? Unchecked;ijcai-2026-base-15-g257422b
