domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-puzzle;unit;00/1;1;0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;28;42;42;118684;1;137;0.192629;616127;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;01/1;1;14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;35;45;45;139019;1;197;0.196735;706629;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;02/1;1;4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;30;42;42;117963;1;174;0.164232;718271;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;03/1;1;13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;29;41;41;117633;1;228;0.167058;704145;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;04/1;1;9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;32;44;44;274333;1;425;0.422095;649932;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;05/1;1;7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;36;46;46;212529;1;425;0.293468;724198;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;06/1;1;5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;45;53;53;54879;1;425;0.0637157;861311;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;07/1;1;6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;35;47;47;584436;1;645;0.948187;616372;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;08/1;1;13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;34;46;46;336556;1;645;0.464394;724721;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;09/1;1;3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;32;46;46;296556;1;645;0.421719;703208;BELA*;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;10/1;1;14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5 ;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 ;46;56;56;492206;1;674;0.686939;716521;BELA*;? Unchecked;v1.6.0-15-gb5144bf
