domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
n-puzzle;unit;0/1;1;5 6 0 8 4 7 1 3 2 ;0 1 2 3 4 5 6 7 8 ;18;24;24;155712;0;428;0.878119;177324;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;1/1;1;0 8 6 4 7 1 5 3 2 ;0 1 2 3 4 5 6 7 8 ;18;24;24;155713;0;428;0.991658;157023;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;2/1;1;5 2 8 0 7 4 1 3 6 ;0 1 2 3 4 5 6 7 8 ;15;21;21;98758;0;428;0.478236;206505;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;3/1;1;7 2 6 0 8 1 5 4 3 ;0 1 2 3 4 5 6 7 8 ;19;25;25;170994;0;469;0.871707;196160;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;4/1;1;5 1 8 6 0 7 2 4 3 ;0 1 2 3 4 5 6 7 8 ;16;24;24;137118;0;469;0.666072;205861;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;5/1;1;8 0 3 6 4 5 7 2 1 ;0 1 2 3 4 5 6 7 8 ;15;23;23;142086;0;469;0.730467;194514;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;6/1;1;4 2 7 1 5 8 0 6 3 ;0 1 2 3 4 5 6 7 8 ;14;18;18;18867;0;469;0.0676052;279076;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;7/1;1;4 1 7 3 2 5 6 0 8 ;0 1 2 3 4 5 6 7 8 ;7;19;19;38611;0;469;0.153711;251193;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;8/1;1;8 4 0 5 1 6 2 7 3 ;0 1 2 3 4 5 6 7 8 ;18;28;28;177023;0;489;0.951789;185990;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;9/1;1;1 3 0 7 6 2 5 8 4 ;0 1 2 3 4 5 6 7 8 ;14;22;22;86957;0;489;0.398363;218286;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;10/1;1;7 0 4 6 8 5 3 1 2 ;0 1 2 3 4 5 6 7 8 ;13;27;27;176745;0;489;0.937189;188591;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;11/1;1;6 1 7 5 8 2 4 3 0 ;0 1 2 3 4 5 6 7 8 ;14;24;24;155712;0;489;0.764066;203794;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;12/1;1;7 5 2 1 6 3 8 0 4 ;0 1 2 3 4 5 6 7 8 ;15;25;25;170994;0;489;0.865544;197557;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;13/1;1;6 2 4 0 8 7 5 3 1 ;0 1 2 3 4 5 6 7 8 ;17;25;25;154975;0;489;0.749829;206680;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;14/1;1;0 1 6 2 5 7 4 8 3 ;0 1 2 3 4 5 6 7 8 ;16;26;26;176547;0;489;0.947488;186332;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;15/1;1;4 0 3 6 1 2 8 5 7 ;0 1 2 3 4 5 6 7 8 ;13;15;15;12649;0;489;0.0423697;298539;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;16/1;1;1 5 8 7 6 4 0 3 2 ;0 1 2 3 4 5 6 7 8 ;14;20;20;38926;0;489;0.160231;242936;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;17/1;1;2 7 0 8 4 6 3 5 1 ;0 1 2 3 4 5 6 7 8 ;16;24;24;155713;0;489;0.770005;202223;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;18/1;1;7 4 8 1 5 6 0 2 3 ;0 1 2 3 4 5 6 7 8 ;18;24;24;155713;0;489;0.764635;203644;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;19/1;1;2 3 0 1 4 7 5 6 8 ;0 1 2 3 4 5 6 7 8 ;12;24;24;122937;0;489;0.601577;204358;K0;? Unchecked;v1.6.0-15-gb5144bf
n-puzzle;unit;20/1;1;2 1 4 5 0 6 8 3 7 ;0 1 2 3 4 5 6 7 8 ;14;26;26;162279;0;489;0.820285;197833;K0;? Unchecked;v1.6.0-15-gb5144bf
