domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;solver;doctor;version
n-puzzle;unit;0/1;1;5 6 0 8 4 7 1 3 2;0 1 2 3 4 5 6 7 8;18;24;24;375;1;0;10;0.001184;316723;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;1/1;1;0 8 6 4 7 1 5 3 2;0 1 2 3 4 5 6 7 8;18;24;24;566;1;0;10;0.001742;324914;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;2/1;1;5 2 8 0 7 4 1 3 6;0 1 2 3 4 5 6 7 8;15;21;21;398;1;0;10;0.001103;360834;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;3/1;1;7 2 6 0 8 1 5 4 3;0 1 2 3 4 5 6 7 8;19;25;25;1346;1;0;11;0.003116;431964;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;4/1;1;5 1 8 6 0 7 2 4 3;0 1 2 3 4 5 6 7 8;16;24;24;678;1;0;11;0.000946;716702;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;5/1;1;8 0 3 6 4 5 7 2 1;0 1 2 3 4 5 6 7 8;15;23;23;711;1;0;11;0.001074;662011;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;6/1;1;4 2 7 1 5 8 0 6 3;0 1 2 3 4 5 6 7 8;14;18;18;71;1;0;11;0.000117;606838;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;7/1;1;4 1 7 3 2 5 6 0 8;0 1 2 3 4 5 6 7 8;7;19;19;439;1;0;11;0.00065;675385;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;8/1;1;8 4 0 5 1 6 2 7 3;0 1 2 3 4 5 6 7 8;18;28;28;1586;1;0;12;0.002298;690165;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;9/1;1;1 3 0 7 6 2 5 8 4;0 1 2 3 4 5 6 7 8;14;22;22;612;1;0;12;0.000873;701031;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;10/1;1;7 0 4 6 8 5 3 1 2;0 1 2 3 4 5 6 7 8;13;27;27;3770;1;0;13;0.005484;687454;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;11/1;1;6 1 7 5 8 2 4 3 0;0 1 2 3 4 5 6 7 8;14;24;24;1248;1;0;13;0.001388;899135;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;12/1;1;7 5 2 1 6 3 8 0 4;0 1 2 3 4 5 6 7 8;15;25;25;2097;1;0;14;0.002549;822676;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;13/1;1;6 2 4 0 8 7 5 3 1;0 1 2 3 4 5 6 7 8;17;25;25;1268;1;0;14;0.001435;883624;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;14/1;1;0 1 6 2 5 7 4 8 3;0 1 2 3 4 5 6 7 8;16;26;26;3090;1;0;13;0.003658;844724;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;15/1;1;4 0 3 6 1 2 8 5 7;0 1 2 3 4 5 6 7 8;13;15;15;48;1;0;13;0.000184;260870;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;16/1;1;1 5 8 7 6 4 0 3 2;0 1 2 3 4 5 6 7 8;14;20;20;455;1;0;13;0.000517;880077;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;17/1;1;2 7 0 8 4 6 3 5 1;0 1 2 3 4 5 6 7 8;16;24;24;837;1;0;13;0.000928;901940;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;18/1;1;7 4 8 1 5 6 0 2 3;0 1 2 3 4 5 6 7 8;18;24;24;655;1;0;13;0.000702;933048;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;19/1;1;2 3 0 1 4 7 5 6 8;0 1 2 3 4 5 6 7 8;12;24;24;1234;1;0;13;0.001537;802863;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;20/1;1;2 1 4 5 0 6 8 3 7;0 1 2 3 4 5 6 7 8;14;26;26;3360;1;0;13;0.004181;803635;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;21/1;1;8 7 6 2 5 4 1 0 3;0 1 2 3 4 5 6 7 8;21;27;27;880;1;0;13;0.000923;953413;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;22/1;1;2 7 3 1 6 5 4 0 8;0 1 2 3 4 5 6 7 8;13;19;19;141;1;0;13;0.000172;819767;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;23/1;1;3 0 4 6 2 1 8 5 7;0 1 2 3 4 5 6 7 8;13;17;17;141;1;0;13;0.000176;801136;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;24/1;1;5 3 2 4 8 6 0 1 7;0 1 2 3 4 5 6 7 8;14;24;24;992;1;0;13;0.001243;798069;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
n-puzzle;unit;25/1;1;1 3 5 2 4 6 8 7 0;0 1 2 3 4 5 6 7 8;12;28;28;6825;1;0;17;0.009398;726218;BELA*;                        ? Unchecked;ijcai-2026-base-14-g0df50d7
