domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-puzzle;unit;0/1;1;5 6 0 8 4 7 1 3 2;0 1 2 3 4 5 6 7 8;18;24;24;122911;1;0;148;0.307173;400137;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;1/1;1;0 8 6 4 7 1 5 3 2;0 1 2 3 4 5 6 7 8;18;24;24;119337;1;0;209;0.274205;435211;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;2/1;1;5 2 8 0 7 4 1 3 6;0 1 2 3 4 5 6 7 8;15;21;21;67522;1;0;212;0.135892;496879;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;3/1;1;7 2 6 0 8 1 5 4 3;0 1 2 3 4 5 6 7 8;19;25;25;150789;1;0;237;0.359573;419356;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;4/1;1;5 1 8 6 0 7 2 4 3;0 1 2 3 4 5 6 7 8;16;24;24;137873;1;0;275;0.317884;433721;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;5/1;1;8 0 3 6 4 5 7 2 1;0 1 2 3 4 5 6 7 8;15;23;23;101674;1;0;275;0.222462;457039;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;6/1;1;4 2 7 1 5 8 0 6 3;0 1 2 3 4 5 6 7 8;14;18;18;25458;1;0;275;0.0449836;565939;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;7/1;1;4 1 7 3 2 5 6 0 8;0 1 2 3 4 5 6 7 8;7;19;19;32690;1;0;275;0.058183;561848;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;8/1;1;8 4 0 5 1 6 2 7 3;0 1 2 3 4 5 6 7 8;18;28;28;179981;1;0;320;0.491174;366430;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;9/1;1;1 3 0 7 6 2 5 8 4;0 1 2 3 4 5 6 7 8;14;22;22;80819;1;0;320;0.167651;482067;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;10/1;1;7 0 4 6 8 5 3 1 2;0 1 2 3 4 5 6 7 8;13;27;27;173881;1;0;327;0.45921;378652;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;11/1;1;6 1 7 5 8 2 4 3 0;0 1 2 3 4 5 6 7 8;14;24;24;139798;1;0;327;0.326607;428031;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;12/1;1;7 5 2 1 6 3 8 0 4;0 1 2 3 4 5 6 7 8;15;25;25;158807;1;0;328;0.409414;387889;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;13/1;1;6 2 4 0 8 7 5 3 1;0 1 2 3 4 5 6 7 8;17;25;25;148177;1;0;332;0.346705;427387;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;14/1;1;0 1 6 2 5 7 4 8 3;0 1 2 3 4 5 6 7 8;16;26;26;167766;1;0;332;0.406273;412939;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;15/1;1;4 0 3 6 1 2 8 5 7;0 1 2 3 4 5 6 7 8;13;15;15;6549;1;0;332;0.0121623;538468;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;16/1;1;1 5 8 7 6 4 0 3 2;0 1 2 3 4 5 6 7 8;14;20;20;53720;1;0;332;0.104361;514752;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;17/1;1;2 7 0 8 4 6 3 5 1;0 1 2 3 4 5 6 7 8;16;24;24;137372;1;0;336;0.315027;436064;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;18/1;1;7 4 8 1 5 6 0 2 3;0 1 2 3 4 5 6 7 8;18;24;24;127724;1;0;336;0.28235;452361;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;19/1;1;2 3 0 1 4 7 5 6 8;0 1 2 3 4 5 6 7 8;12;24;24;131744;1;0;336;0.297207;443273;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;20/1;1;2 1 4 5 0 6 8 3 7;0 1 2 3 4 5 6 7 8;14;26;26;174043;1;0;337;0.458072;379947;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;21/1;1;8 7 6 2 5 4 1 0 3;0 1 2 3 4 5 6 7 8;21;27;27;175046;1;0;337;0.466086;375566;0;0;bBELA0<5>;? Unchecked;
n-puzzle;unit;22/1;1;2 7 3 1 6 5 4 0 8;0 1 2 3 4 5 6 7 8;13;19;19;36946;1;0;337;0.0679731;543539;0;0;bBELA0<5>;? Unchecked;
