domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
n-puzzle;unit;0/1;1;5 6 0 8 4 7 1 3 2;0 1 2 3 4 5 6 7 8;18;24;24;375;1;0;10;0.000703454;533084;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;1/1;1;0 8 6 4 7 1 5 3 2;0 1 2 3 4 5 6 7 8;18;24;24;566;1;0;11;0.0015348;368777;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;2/1;1;5 2 8 0 7 4 1 3 6;0 1 2 3 4 5 6 7 8;15;21;21;398;1;0;11;0.00092755;429087;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;3/1;1;7 2 6 0 8 1 5 4 3;0 1 2 3 4 5 6 7 8;19;25;25;1346;1;0;11;0.00361632;372201;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;4/1;1;5 1 8 6 0 7 2 4 3;0 1 2 3 4 5 6 7 8;16;24;24;678;1;0;11;0.00163113;415662;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;5/1;1;8 0 3 6 4 5 7 2 1;0 1 2 3 4 5 6 7 8;15;23;23;711;1;0;12;0.00144182;493126;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;6/1;1;4 2 7 1 5 8 0 6 3;0 1 2 3 4 5 6 7 8;14;18;18;71;1;0;12;0.000168476;421425;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;7/1;1;4 1 7 3 2 5 6 0 8;0 1 2 3 4 5 6 7 8;7;19;19;439;1;0;12;0.00104317;420834;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;8/1;1;8 4 0 5 1 6 2 7 3;0 1 2 3 4 5 6 7 8;18;28;28;1586;1;0;12;0.00388223;408528;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;9/1;1;1 3 0 7 6 2 5 8 4;0 1 2 3 4 5 6 7 8;14;22;22;612;1;0;12;0.00125927;485997;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;10/1;1;7 0 4 6 8 5 3 1 2;0 1 2 3 4 5 6 7 8;13;27;27;3770;1;0;14;0.00917685;410816;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;11/1;1;6 1 7 5 8 2 4 3 0;0 1 2 3 4 5 6 7 8;14;24;24;1248;1;0;14;0.00213715;583955;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;12/1;1;7 5 2 1 6 3 8 0 4;0 1 2 3 4 5 6 7 8;15;25;25;2097;1;0;14;0.00379766;552182;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;13/1;1;6 2 4 0 8 7 5 3 1;0 1 2 3 4 5 6 7 8;17;25;25;1268;1;0;14;0.00232386;545643;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;14/1;1;0 1 6 2 5 7 4 8 3;0 1 2 3 4 5 6 7 8;16;26;26;3090;1;0;14;0.00750317;411826;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;15/1;1;4 0 3 6 1 2 8 5 7;0 1 2 3 4 5 6 7 8;13;15;15;48;1;0;14;0.000104758;458199;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;16/1;1;1 5 8 7 6 4 0 3 2;0 1 2 3 4 5 6 7 8;14;20;20;455;1;0;14;0.000833252;546053;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;17/1;1;2 7 0 8 4 6 3 5 1;0 1 2 3 4 5 6 7 8;16;24;24;837;1;0;14;0.00147581;567148;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;18/1;1;7 4 8 1 5 6 0 2 3;0 1 2 3 4 5 6 7 8;18;24;24;655;1;0;14;0.00148641;440661;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;19/1;1;2 3 0 1 4 7 5 6 8;0 1 2 3 4 5 6 7 8;12;24;24;1234;1;0;14;0.0030024;411005;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;20/1;1;2 1 4 5 0 6 8 3 7;0 1 2 3 4 5 6 7 8;14;26;26;3360;1;0;15;0.00763827;439890;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;21/1;1;8 7 6 2 5 4 1 0 3;0 1 2 3 4 5 6 7 8;21;27;27;880;1;0;15;0.00149488;588674;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;22/1;1;2 7 3 1 6 5 4 0 8;0 1 2 3 4 5 6 7 8;13;19;19;141;1;0;15;0.000335825;419862;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;23/1;1;3 0 4 6 2 1 8 5 7;0 1 2 3 4 5 6 7 8;13;17;17;141;1;0;15;0.000344459;409338;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;24/1;1;5 3 2 4 8 6 0 1 7;0 1 2 3 4 5 6 7 8;14;24;24;992;1;0;15;0.00234508;423014;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;25/1;1;1 3 5 2 4 6 8 7 0;0 1 2 3 4 5 6 7 8;12;28;28;6825;1;0;18;0.0157492;433354;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;26/1;1;8 5 1 4 2 7 6 0 3;0 1 2 3 4 5 6 7 8;15;23;23;1066;1;0;18;0.00143396;743394;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;27/1;1;2 8 5 6 3 1 4 0 7;0 1 2 3 4 5 6 7 8;13;21;21;765;1;0;18;0.000967558;790650;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;28/1;1;5 0 7 4 2 3 1 6 8;0 1 2 3 4 5 6 7 8;15;19;19;112;1;0;18;0.000280827;398822;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;29/1;1;3 2 4 7 6 8 5 1 0;0 1 2 3 4 5 6 7 8;14;18;18;116;1;0;18;0.000428557;270676;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;30/1;1;1 3 2 0 8 6 4 7 5;0 1 2 3 4 5 6 7 8;11;21;21;614;1;0;18;0.00173442;354008;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;31/1;1;8 2 5 3 7 6 4 0 1;0 1 2 3 4 5 6 7 8;15;23;23;837;1;0;18;0.00235911;354795;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;32/1;1;2 4 0 7 5 1 8 6 3;0 1 2 3 4 5 6 7 8;14;22;22;321;1;0;18;0.000731514;438816;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;33/1;1;0 1 5 2 6 8 7 3 4;0 1 2 3 4 5 6 7 8;12;20;20;475;1;0;18;0.00106636;445441;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;34/1;1;7 1 5 2 8 6 3 4 0;0 1 2 3 4 5 6 7 8;14;18;18;78;1;0;18;0.000382969;203672;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;35/1;1;6 3 1 2 8 7 0 4 5;0 1 2 3 4 5 6 7 8;14;22;22;504;1;0;18;0.00119456;421913;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;36/1;1;0 3 5 4 8 6 7 2 1;0 1 2 3 4 5 6 7 8;16;22;22;539;1;0;18;0.00127326;423322;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;37/1;1;8 1 4 0 3 2 5 6 7;0 1 2 3 4 5 6 7 8;13;21;21;429;1;0;18;0.0010219;419807;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;38/1;1;7 4 1 6 2 8 3 5 0;0 1 2 3 4 5 6 7 8;12;22;22;965;1;0;18;0.00228519;422285;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;39/1;1;4 6 8 0 5 1 3 2 7;0 1 2 3 4 5 6 7 8;15;23;23;1126;1;0;18;0.00250328;449810;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;40/1;1;4 2 8 6 0 1 3 5 7;0 1 2 3 4 5 6 7 8;12;20;20;490;1;0;18;0.00133876;366010;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;41/1;1;3 7 8 4 5 2 6 1 0;0 1 2 3 4 5 6 7 8;10;20;20;267;1;0;18;0.000680931;392110;0;0;bBELA*<5>;? Unchecked;
n-puzzle;unit;42/1;1;7 5 6 1 0 3 2 8 4;0 1 2 3 4 5 6 7 8;20;24;24;560;1;0;18;0.00134389;416700;0;0;bBELA*<5>;? Unchecked;
