domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;      5618;    257052;0;498;6836;235250;1;0;626;0.715848;328631;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;       508;    258080;0;509;6974;235244;1;0;704;0.650383;361701;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;      7176;    254460;0;509;6982;235739;1;0;710;0.609556;386739;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;      1056;    254941;0;496;6736;234851;1;0;711;0.615163;381770;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    262122;      9252;0;495;6758;234546;1;0;711;0.616911;380194;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    260106;       974;0;508;6884;235048;1;0;713;0.602206;390312;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;      1012;    241708;0;480;6588;231898;1;0;713;0.621815;372937;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;       481;    238620;0;477;6538;232704;1;0;713;0.614029;378979;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    261140;     29672;0;475;6534;231789;1;0;713;0.595903;388971;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    250917;      8178;0;482;6636;235423;1;0;713;0.607035;387824;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     10748;    247340;0;478;6576;232800;1;0;713;0.620099;375424;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    236055;      8188;0;486;6640;235731;1;0;713;0.609876;386523;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    242685;       548;0;489;6714;235018;1;0;713;0.651703;360621;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;      2028;    249374;0;491;6730;234380;1;0;713;0.623054;376180;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;      8783;    260604;0;491;6626;235866;1;0;713;0.605901;389281;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;     13331;    250866;0;489;6702;235323;1;0;713;0.603298;390061;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    253428;     28677;0;495;6702;234550;1;0;713;0.617604;379774;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;    258602;      2546;0;502;6840;235768;1;0;713;0.635978;370717;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;     13785;    259100;0;484;6604;235514;1;0;713;0.626445;375953;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
