domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    250385;     10207;0;493;6686;221437;1;0;709;0.701002;315886;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    245266;      6107;0;483;6598;221443;1;0;814;0.631024;350926;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    249334;      1580;0;496;6740;221684;1;0;832;0.613055;361606;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    249355;      2498;0;488;6616;220693;1;0;834;0.602701;366173;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    259074;     22995;0;491;6654;218709;1;0;834;0.585519;373530;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;       516;    261074;0;512;6952;221668;1;0;834;0.594244;373025;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;      7131;    243719;0;490;6664;221834;1;0;835;0.611303;362887;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    260080;       532;0;521;7054;222540;1;0;835;0.610018;364809;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;      1013;    255055;0;500;6676;219553;1;0;835;0.605108;362833;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;     15348;    256554;0;491;6666;221453;1;0;835;0.607791;364357;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;    261632;     33303;0;495;6706;218976;1;0;835;0.60964;359189;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    224772;      4078;0;494;6652;222239;1;0;837;0.634002;350534;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    221703;       498;0;495;6666;222484;1;0;842;0.59988;370881;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    260089;     28674;0;509;6870;221426;1;0;842;0.613453;360950;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    252418;     29170;0;500;6732;220764;1;0;842;0.592175;372802;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    252438;      4571;0;498;6740;221827;1;0;842;0.593843;373545;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;     19418;    257043;0;484;6584;222339;1;0;842;0.608529;365371;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;    258566;      5555;0;498;6684;219588;1;0;842;0.593496;369991;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;    259150;      3573;0;502;6704;222552;1;0;842;0.60618;367139;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    246297;      8158;0;485;6586;221532;1;0;842;0.60131;368416;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;      5654;    259534;0;498;6728;221454;1;0;842;0.594716;372369;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;    261648;      4033;0;506;6784;220925;1;0;842;0.595347;371086;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    255987;     18973;0;491;6674;220611;1;0;842;0.604176;365144;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;     10815;    258560;0;494;6692;222641;1;0;842;0.596801;373057;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;      6665;    255930;0;491;6622;219762;1;0;842;0.598556;367154;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    247344;      1020;0;495;6738;222669;1;0;842;0.605366;367825;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;     18434;    257524;0;509;6910;222432;1;0;842;0.637361;348989;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    259599;      8669;0;501;6818;221415;1;0;842;0.597479;370582;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;     10748;    254481;0;511;6938;222295;1;0;842;0.611802;363345;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;    237561;     17933;0;494;6644;221829;1;0;842;0.60865;364461;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    237062;       988;0;491;6674;221787;1;0;842;0.607405;365138;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;      4161;    261099;0;503;6726;222503;1;0;842;0.599556;371113;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
