domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    250385;     10207;0;934;934;221549;1;0;437;0.375953;589300;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    245266;      6107;0;925;925;221645;1;0;521;0.32607;679747;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    249334;      1580;0;941;941;221752;1;0;530;0.319396;694285;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    249355;      2498;0;922;922;220774;1;0;531;0.305325;723079;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    259074;     22995;0;927;927;219211;1;0;531;0.30643;715371;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;       516;    261074;0;970;970;221638;1;0;531;0.304374;728176;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;      7131;    243719;0;931;931;221914;1;0;532;0.320046;693382;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    260080;       532;0;982;982;222497;1;0;533;0.346156;642766;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;      1013;    255055;0;919;919;219053;1;0;533;0.310342;705844;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;     15348;    256554;0;930;930;221531;1;0;533;0.324741;682178;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;    261632;     33303;0;934;934;219430;1;0;533;0.309921;708019;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    224772;      4078;0;922;922;222388;1;0;534;0.308422;721052;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    221703;       498;0;924;924;222591;1;0;534;0.308759;720921;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;    260089;     28674;0;954;954;221267;1;0;534;0.312938;707064;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;    252418;     29170;0;933;933;220542;1;0;534;0.305494;721918;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;    252438;      4571;0;938;938;221774;1;0;534;0.30626;724137;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;     19418;    257043;0;920;920;222357;1;0;534;0.317727;699837;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;    258566;      5555;0;924;924;219331;1;0;534;0.317554;690690;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;    259150;      3573;0;923;923;222546;1;0;534;0.317005;702026;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;    246297;      8158;0;919;919;221598;1;0;534;0.30576;724745;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;      5654;    259534;0;935;935;221353;1;0;534;0.304277;727472;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;    261648;      4033;0;937;937;220536;1;0;534;0.306835;718745;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    255987;     18973;0;932;932;220843;1;0;534;0.314845;701434;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;     10815;    258560;0;932;932;222659;1;0;534;0.307478;724145;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;      6665;    255930;0;919;919;219724;1;0;534;0.304002;722771;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    247344;      1020;0;942;942;222670;1;0;534;0.307568;723971;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;     18434;    257524;0;964;964;222477;1;0;534;0.304813;729881;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;    259599;      8669;0;953;953;221524;1;0;534;0.304842;726684;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;     10748;    254481;0;968;968;222284;1;0;534;0.319665;695364;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;    237561;     17933;0;920;920;221728;1;0;534;0.313714;706784;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    237062;       988;0;932;932;222045;1;0;534;0.306822;723693;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;      4161;    261099;0;927;927;222442;1;0;534;0.3066;725513;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;      3589;    248789;0;942;942;220601;1;0;534;0.312884;705057;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;    241161;     10232;0;947;947;222335;1;0;534;0.352854;630105;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;     15405;    258033;0;925;925;222438;1;0;534;0.305927;727095;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;     18971;    249329;0;919;919;221981;1;0;534;0.305568;726453;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;      3063;    247309;0;968;968;221971;1;0;534;0.315845;702784;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;      4640;    234998;0;919;919;220955;1;0;534;0.306164;721690;0;0;sBELA0;? Unchecked;v1.6.0-147-gfbf9e2e
