domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    252388;     20483;0;933;933;208550;1;0;334;0.340468;612539;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;     25106;    246269;0;922;922;208763;1;0;391;0.271493;768946;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    258113;      6647;0;930;930;209079;1;0;402;0.263095;794689;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;      2080;    233975;0;923;923;207619;1;0;404;0.260046;798392;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    260625;     26619;0;948;948;208004;1;0;404;0.258022;806148;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;    261599;      3595;0;979;979;209184;1;0;404;0.267919;780773;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;      4659;    242682;0;921;921;208441;1;0;404;0.259055;804620;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    241670;       978;0;931;931;208358;1;0;404;0.260347;800308;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;     38401;    251904;0;927;927;209103;1;0;404;0.258004;810465;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;     13831;    249853;0;964;964;209004;1;0;404;0.258828;807501;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;     11759;    259591;0;973;973;209231;1;0;404;0.269269;777032;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    236537;     10777;0;920;920;208450;1;0;404;0.27103;769102;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    249882;      5103;0;948;948;209001;1;0;404;0.258633;808098;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;      6146;    251872;0;957;957;208146;1;0;404;0.257857;807215;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;     22521;    260107;0;959;959;209194;1;0;404;0.280916;744684;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;      1533;    250409;0;959;959;207780;1;0;404;0.282098;736553;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    262075;      5139;0;925;925;208939;1;0;405;0.266865;782939;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;      5647;    255960;0;945;945;208168;1;0;405;0.25887;804140;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;      6119;    252429;0;956;956;208888;1;0;405;0.268199;778856;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;      8194;    232422;0;921;921;206410;1;0;405;0.255287;808540;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;    252392;     15368;0;942;942;208699;1;0;405;0.265987;784621;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;      4622;    230901;0;930;930;207134;1;0;405;0.257731;803682;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;    261058;       516;0;954;954;209269;1;0;405;0.271175;771713;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;    260633;     31732;0;923;923;207139;1;0;405;0.256409;807845;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;      5662;    254952;0;944;944;208642;1;0;405;0.2577;809633;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    234511;     10232;0;928;928;208982;1;0;405;0.265893;785962;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;26/1;1;    256495;     24598;0;925;925;207334;1;0;405;0.263965;785460;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;27/1;1;      5155;    239099;0;930;930;208284;1;0;405;0.258139;806869;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;28/1;1;    260138;      4070;0;947;947;208855;1;0;405;0.258851;806853;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;29/1;1;       497;    261718;0;922;922;206303;1;0;405;0.264969;778594;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;30/1;1;    250399;     10234;0;945;945;209019;1;0;405;0.258493;808605;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;31/1;1;      9245;    237563;0;923;923;208095;1;0;405;0.259404;802206;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;32/1;1;    260135;     13276;0;920;920;207726;1;0;405;0.258364;804004;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;33/1;1;    252429;     25085;0;941;941;208214;1;0;405;0.259125;803529;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;34/1;1;      3098;    231926;0;922;922;207291;1;0;405;0.259508;798783;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;35/1;1;     19421;    257032;0;934;934;209162;1;0;405;0.270044;774547;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;36/1;1;      1057;    248820;0;950;950;208659;1;0;405;0.25783;809289;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;37/1;1;    258041;     41474;0;927;927;206571;1;0;405;0.264661;780512;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;38/1;1;      8712;    259539;0;948;948;208244;1;0;405;0.257452;808865;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;39/1;1;    261646;      4574;0;967;967;208565;1;0;405;0.258192;807789;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;40/1;1;       520;    222196;0;928;928;206139;1;0;405;0.256461;803783;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;41/1;1;    242196;     17909;0;922;922;208466;1;0;405;0.261225;798032;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;42/1;1;    248265;         8;0;935;935;209264;1;0;437;0.274107;763438;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;43/1;1;    251395;     33785;0;928;928;207166;1;0;437;0.258034;802864;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;44/1;1;    254972;     13864;0;938;938;207500;1;0;437;0.290798;713554;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;45/1;1;      1998;    257065;0;920;920;208265;1;0;437;0.269018;774168;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;46/1;1;    256009;     28663;0;939;939;207567;1;0;437;0.259197;800808;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;47/1;1;     18946;    261099;0;961;961;209035;1;0;437;0.259207;806439;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;48/1;1;    253391;     13313;0;930;930;209011;1;0;437;0.267241;782108;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;49/1;1;    236014;     15363;0;921;921;208850;1;0;437;0.267772;779953;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;50/1;1;    256039;     16370;0;928;928;208471;1;0;437;0.259597;803056;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;51/1;1;      5165;    247296;0;939;939;208907;1;0;437;0.259349;805504;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;52/1;1;      9228;    248313;0;959;959;208779;1;0;437;0.258866;806514;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;53/1;1;    246784;     29193;0;927;927;207536;1;0;437;0.272721;760984;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;54/1;1;    246280;       497;0;970;970;209167;1;0;437;0.259261;806782;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;55/1;1;      1064;    237055;0;931;931;208234;1;0;437;0.258872;804390;0;0;bBELA0<1>;? Unchecked;v1.6.0-147-gfbf9e2e
