domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;244239;17918;1;189.168;0.0735529;SB*;v2.0-53-g98db238
roadmap;dimacs;1;1;2025;237583;1;189.434;0.0743118;SB*;v2.0-53-g98db238
roadmap;dimacs;2;1;224266;3576;1;189.434;0.0762493;SB*;v2.0-53-g98db238
roadmap;dimacs;3;1;6204;255485;1;189.434;0.0833613;SB*;v2.0-53-g98db238
roadmap;dimacs;4;1;260592;5;1;189.434;0.0740146;SB*;v2.0-53-g98db238
roadmap;dimacs;5;1;12743;257036;1;189.434;0.0808512;SB*;v2.0-53-g98db238
roadmap;dimacs;6;1;13827;248797;1;189.434;0.0757267;SB*;v2.0-53-g98db238
roadmap;dimacs;7;1;3523;248841;1;189.434;0.0749765;SB*;v2.0-53-g98db238
roadmap;dimacs;8;1;15345;246295;1;189.434;0.0761991;SB*;v2.0-53-g98db238
roadmap;dimacs;9;1;5098;235010;1;189.434;0.0805597;SB*;v2.0-53-g98db238
roadmap;dimacs;10;1;5148;260591;1;189.434;0.0891672;SB*;v2.0-53-g98db238
roadmap;dimacs;11;1;5088;257589;1;189.434;0.0785001;SB*;v2.0-53-g98db238
roadmap;dimacs;12;1;252903;9741;1;189.434;0.0741383;SB*;v2.0-53-g98db238
roadmap;dimacs;13;1;258029;17437;1;189.434;0.0741771;SB*;v2.0-53-g98db238
roadmap;dimacs;14;1;260111;38908;1;189.434;0.0758139;SB*;v2.0-53-g98db238
roadmap;dimacs;15;1;248840;6628;1;189.434;0.0775007;SB*;v2.0-53-g98db238
roadmap;dimacs;16;1;259081;13264;1;189.434;0.0752719;SB*;v2.0-53-g98db238
roadmap;dimacs;17;1;14822;261128;1;189.434;0.0772557;SB*;v2.0-53-g98db238
roadmap;dimacs;18;1;253407;5647;1;189.434;0.073935;SB*;v2.0-53-g98db238
roadmap;dimacs;19;1;9721;255546;1;189.434;0.0767337;SB*;v2.0-53-g98db238
roadmap;dimacs;20;1;250337;1568;1;189.434;0.0748097;SB*;v2.0-53-g98db238
roadmap;dimacs;21;1;259598;8158;1;189.434;0.0756179;SB*;v2.0-53-g98db238
roadmap;dimacs;22;1;6156;240625;1;189.434;0.0774622;SB*;v2.0-53-g98db238
roadmap;dimacs;23;1;259617;7635;1;189.434;0.0755057;SB*;v2.0-53-g98db238
roadmap;dimacs;24;1;1013;260659;1;189.434;0.0763535;SB*;v2.0-53-g98db238
roadmap;dimacs;25;1;20453;257542;1;189.434;0.075129;SB*;v2.0-53-g98db238
roadmap;dimacs;26;1;1049;251389;1;189.434;0.0776894;SB*;v2.0-53-g98db238
roadmap;dimacs;27;1;3043;238089;1;189.434;0.0752245;SB*;v2.0-53-g98db238
roadmap;dimacs;28;1;24071;246770;1;189.434;0.0777776;SB*;v2.0-53-g98db238
roadmap;dimacs;29;1;7146;259122;1;189.434;0.0751072;SB*;v2.0-53-g98db238
roadmap;dimacs;30;1;261620;44547;1;189.434;0.0772993;SB*;v2.0-53-g98db238
roadmap;dimacs;31;1;250944;495;1;189.434;0.0748919;SB*;v2.0-53-g98db238
roadmap;dimacs;32;1;8190;259097;1;189.434;0.0773081;SB*;v2.0-53-g98db238
roadmap;dimacs;33;1;14851;235519;1;189.434;0.0766891;SB*;v2.0-53-g98db238
roadmap;dimacs;34;1;244712;17409;1;189.434;0.0759108;SB*;v2.0-53-g98db238
roadmap;dimacs;35;1;3057;231446;1;189.434;0.0761353;SB*;v2.0-53-g98db238
roadmap;dimacs;36;1;252391;12316;1;189.434;0.0769917;SB*;v2.0-53-g98db238
roadmap;dimacs;37;1;256554;10213;1;189.434;0.0748068;SB*;v2.0-53-g98db238
roadmap;dimacs;38;1;249286;1029;1;189.434;0.0743822;SB*;v2.0-53-g98db238
