domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;    244239;     17918;73;1002;1002;161331;1;0;233;0.279771;576653;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;1/1;1;      2025;    237583;73;963;963;159846;1;0;279;0.248909;642186;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;2/1;1;    224266;      3576;72;972;972;161333;1;0;288;0.24524;657858;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;3/1;1;      6204;    255485;73;989;989;161281;1;0;292;0.241439;667998;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;4/1;1;    260592;         5;78;1053;1053;161500;1;0;292;0.243255;663912;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;5/1;1;     12743;    257036;72;953;953;161268;1;0;292;0.243858;661321;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;6/1;1;     13827;    248797;73;1002;1002;160146;1;0;292;0.240101;666994;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;7/1;1;      3523;    248841;72;958;958;161111;1;0;292;0.242311;664894;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;8/1;1;     15345;    246295;72;986;986;160693;1;0;292;0.243443;660084;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;9/1;1;      5098;    235010;73;966;966;160268;1;0;292;0.241101;664734;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;10/1;1;      5148;    260591;75;1019;1019;161417;1;0;323;0.245514;657464;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;11/1;1;      5088;    257589;72;955;955;160119;1;0;323;0.241466;663111;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;12/1;1;    252903;      9741;74;1004;1004;160944;1;0;323;0.242341;664122;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;13/1;1;    258029;     17437;73;991;991;159475;1;0;323;0.243827;654050;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;14/1;1;    260111;     38908;72;992;992;159945;1;0;323;0.240552;664908;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;15/1;1;    248840;      6628;74;980;980;160355;1;0;323;0.23801;673732;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;16/1;1;    259081;     13264;73;976;976;158458;1;0;323;0.236453;670145;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;17/1;1;     14822;    261128;75;1004;1004;161470;1;0;323;0.245567;657541;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;18/1;1;    253407;      5647;74;995;995;160957;1;0;323;0.241212;667286;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;19/1;1;      9721;    255546;72;990;990;160175;1;0;323;0.242523;660452;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;20/1;1;    250337;      1568;73;992;992;160917;1;0;323;0.242646;663177;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;21/1;1;    259598;      8158;74;990;990;159855;1;0;323;0.242965;657934;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;22/1;1;      6156;    240625;73;986;986;159521;1;0;323;0.240656;662858;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;23/1;1;    259617;      7635;72;1009;1009;159561;1;0;323;0.239933;665024;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;24/1;1;      1013;    260659;75;998;998;160506;1;0;323;0.27031;593786;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;25/1;1;     20453;    257542;73;989;989;161381;1;0;323;0.244191;660879;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;26/1;1;      1049;    251389;76;1014;1014;161145;1;0;323;0.241323;667758;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;27/1;1;      3043;    238089;73;962;962;160246;1;0;323;0.242385;661123;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;28/1;1;     24071;    246770;72;985;985;160616;1;0;323;0.242897;661252;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;29/1;1;      7146;    259122;73;967;967;160422;1;0;323;0.245298;653988;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;30/1;1;    261620;     44547;72;982;982;158559;1;0;323;0.241201;657372;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;31/1;1;    250944;       495;72;963;963;161198;1;0;323;0.243412;662243;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;32/1;1;      8190;    259097;76;1048;1048;161464;1;0;323;0.244179;661252;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;33/1;1;     14851;    235519;73;1004;1004;159876;1;0;323;0.239947;666296;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;34/1;1;    244712;     17409;72;1006;1006;161496;1;0;323;0.24596;656595;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;35/1;1;      3057;    231446;72;952;952;158381;1;0;323;0.245571;644949;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;36/1;1;    252391;     12316;72;987;987;160405;1;0;323;0.241226;664959;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;37/1;1;    256554;     10213;72;959;959;160576;1;0;323;0.241936;663713;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;38/1;1;    249286;      1029;73;997;997;161470;1;0;323;0.252327;639924;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;39/1;1;      1574;    237056;73;1001;1001;160454;1;0;323;0.240015;668518;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;40/1;1;     27167;    253438;72;972;972;161234;1;0;323;0.242684;664379;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;41/1;1;      6130;    243213;74;993;993;160890;1;0;323;0.242651;663051;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;42/1;1;      9203;    250895;75;1005;1005;161034;1;0;323;0.243761;660623;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
roadmap;dimacs;43/1;1;      1488;    254485;73;992;992;161268;1;0;323;0.243759;661588;0;0;bBELA*<1>;? Unchecked;v1.6.0-213-g5f31454
