domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;81762;146103;0;528;1542268;150261;0;522;0.480343;312820;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;106405;250956;0;741;2105356;299788;0;921;0.887135;337928;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;273968;266396;0;849;1720034;316883;0;754;0.842589;376083;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;131084;299861;0;370;1151554;124544;0;658;0.32941;378082;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;321017;269381;0;239;698299;73302;0;658;0.18624;393588;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;81268;114155;0;569;1754530;196169;0;658;0.497856;394027;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;273110;256843;0;659;1294899;274038;0;754;0.739152;370747;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;289000;313165;0;504;1676006;259092;0;754;0.700793;369713;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;206841;130270;0;833;1872606;286390;0;754;0.768209;372802;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;117373;92727;0;812;1976063;176529;0;754;0.474296;372192;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;192763;114126;0;1048;2428170;317795;0;1042;0.885874;358736;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;253773;62962;0;414;945215;170230;0;658;0.426367;399257;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;69635;112392;0;418;1212310;283602;0;850;0.770201;368218;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;279740;4869;0;390;765507;95398;0;658;0.240409;396816;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;188811;247049;0;426;1069431;158509;0;850;0.434851;364513;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;277191;268154;0;216;630804;61128;0;658;0.155842;392244;K0;? Unchecked;v1.6.0-12-g7668b80
