domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;81762;146103;0;528;1542268;150260;1;296;0.294899;509531;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;106405;250956;0;741;2105356;299786;1;403;0.545354;549709;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;273968;266396;0;849;1720034;316882;1;410;0.472235;671026;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;131084;299861;0;370;1151554;124541;1;410;0.198113;628635;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;321017;269381;0;239;698299;73301;1;410;0.114805;638484;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;81268;114155;0;569;1754530;196168;1;441;0.320266;612515;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;273110;256843;0;659;1294899;274010;1;441;0.433319;632351;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;289000;313165;0;504;1676006;259091;1;497;0.388988;666065;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;206841;130270;0;833;1872606;286388;1;499;0.433752;660257;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;117373;92727;0;812;1976063;176527;1;499;0.288292;612320;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;192763;114126;0;1048;2428170;317794;1;499;0.530268;599309;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;253773;62962;0;414;945215;170229;1;545;0.251382;677172;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;69635;112392;0;418;1212310;283598;1;545;0.439436;645369;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;279740;4869;0;390;765507;95397;1;545;0.14989;636447;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;188811;247049;0;426;1069431;158508;1;545;0.26861;590104;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;277191;268154;0;216;630804;61127;1;545;0.114602;533386;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;42193;274432;0;443;876648;196117;1;545;0.299767;654231;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;285743;146714;0;537;1537635;188247;1;545;0.315074;597470;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;195854;77647;0;787;1936294;315394;1;545;0.470488;670356;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;129037;163761;0;610;1503597;208746;1;545;0.328565;635326;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;85176;1954;0;766;1794095;210569;1;545;0.33529;628021;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;318603;138230;0;275;781350;43385;1;545;0.0733068;591827;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;103461;5065;0;287;606474;68284;1;545;0.105595;646661;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;299962;134129;0;405;1151066;177971;1;545;0.298415;596388;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;124461;94197;0;556;1415037;199151;1;545;0.319136;624033;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;135528;100606;0;372;1174321;128045;1;545;0.215152;595137;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;100494;30092;0;672;1387869;209550;1;545;0.332721;629808;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;143119;21648;0;667;1627652;219386;1;545;0.343132;639363;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;56815;308596;0;374;1038977;243026;1;545;0.384117;632688;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;305686;120431;0;663;1896668;282483;1;545;0.424635;665237;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;240362;295149;0;883;1552681;225509;1;545;0.372219;605851;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;312097;296209;0;534;1690096;282570;1;545;0.435808;648382;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;282381;258241;0;1093;1867795;301199;1;545;0.456794;659376;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;292606;56169;0;502;1003730;120613;1;545;0.191975;628273;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;237888;111447;0;887;2218756;310457;1;545;0.517045;600445;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;51839;224098;0;349;744612;139911;1;589;0.210745;663887;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;128418;4215;0;659;1463256;148952;1;589;0.244499;609214;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;268787;226268;0;590;1061957;224454;1;589;0.353416;635099;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;309312;168166;0;701;1391887;204254;1;589;0.334955;609796;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;280948;241995;0;714;1127668;237921;1;589;0.368891;644963;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;254985;109385;0;750;2002311;298255;1;589;0.446671;667728;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;196484;113193;0;883;1913369;310679;1;589;0.466687;665711;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;29905;299818;0;703;1164823;221380;1;589;0.36124;612833;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;316036;224755;0;999;2208024;320192;1;589;0.518812;617164;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2345;195155;0;632;820214;173181;1;589;0.272591;635314;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;231635;158604;0;794;2013939;290867;1;589;0.481055;604645;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;8380;114652;0;752;1635070;308763;1;589;0.463157;666649;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;144351;294832;0;438;1380165;186677;1;589;0.307415;607248;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;242792;61567;0;441;909309;156788;1;589;0.238276;658011;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;136080;278064;0;265;638552;70554;1;589;0.109702;643140;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;288270;204684;0;609;1331174;160294;1;589;0.262719;610134;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;178991;301411;0;591;1624811;305335;1;589;0.461894;661051;BELA0;? Unchecked;v1.6.0-12-g7668b80
