domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;81762;146103;118092;528;1542268;126642;1;256;0.293092;432090;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;106405;250956;160158;741;2105356;292479;1;403;0.60906;480214;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;273968;266396;136537;849;1720034;313568;1;407;0.553606;566410;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;131084;299861;97900;370;1151554;112548;1;407;0.223581;503387;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;321017;269381;64915;239;698299;64860;1;407;0.115821;560002;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;81268;114155;135619;569;1754530;165135;1;409;0.306569;538655;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;273110;256843;111274;659;1294899;251985;1;409;0.468881;537418;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;289000;313165;101714;504;1676006;220422;1;462;0.407332;541136;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;206841;130270;148055;833;1872606;283768;1;462;0.520983;544678;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;117373;92727;174458;812;1976063;162236;1;462;0.291736;556106;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;192763;114126;195431;1048;2428170;317500;1;462;0.620666;511547;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;253773;62962;68508;414;945215;166684;1;462;0.286187;582429;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;69635;112392;100616;418;1212310;255464;1;462;0.469902;543654;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;279740;4869;64145;390;765507;74865;1;510;0.140662;532234;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;188811;247049;87203;426;1069431;130664;1;510;0.301051;434026;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;277191;268154;57540;216;630804;47654;1;510;0.0921418;517181;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;42193;274432;67064;443;876648;175098;1;510;0.325592;537784;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;285743;146714;122402;537;1537635;169231;1;510;0.320503;528017;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;195854;77647;163155;787;1936294;313349;1;510;0.553621;565999;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;129037;163761;132552;610;1503597;192794;1;510;0.362347;532070;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;85176;1954;155298;766;1794095;199243;1;510;0.375939;529987;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;318603;138230;71031;275;781350;37634;1;510;0.0761476;494224;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;103461;5065;52899;287;606474;59390;1;510;0.112868;526192;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;299962;134129;91043;405;1151066;158808;1;510;0.301762;526269;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;124461;94197;111506;556;1415037;184167;1;510;0.348863;527906;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;135528;100606;89503;372;1174321;113337;1;510;0.229217;494454;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;100494;30092;121310;672;1387869;191463;1;510;0.364774;524881;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;143119;21648;124718;667;1627652;202559;1;510;0.376886;537454;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;56815;308596;88413;374;1038977;210000;1;510;0.40791;514820;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;305686;120431;144509;665;1897553;257743;1;510;0.457366;563538;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;240362;295149;139761;883;1552681;220712;1;510;0.412548;534997;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;312097;296209;143846;534;1690096;271316;1;510;0.497903;544917;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;282381;258241;166189;1093;1867795;284606;1;510;0.503276;565507;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;292606;56169;75636;498;1003732;115810;1;510;0.202256;572590;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;237888;111447;186453;887;2218756;307829;1;510;0.620113;496408;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;51839;224098;65516;349;744612;127216;1;510;0.219696;579055;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;128418;4215;127249;659;1463256;144381;1;510;0.280533;514666;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;268787;226268;87068;590;1061957;190374;1;510;0.367157;518508;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;309312;168166;120661;701;1391887;178106;1;510;0.358992;496128;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;280948;241995;84516;714;1127668;199038;1;510;0.383982;518352;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;254985;109385;162846;750;2002311;295711;1;510;0.530994;556901;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;196484;113193;168318;883;1913369;308973;1;510;0.548985;562808;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;29905;299818;94072;703;1164823;214084;1;550;0.412487;519008;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;316036;224755;182466;999;2208024;319336;1;550;0.610168;523358;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2345;195155;64541;632;820214;159941;1;550;0.283903;563364;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;231635;158604;167964;794;2013939;287414;1;554;0.559905;513326;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;8380;114652;139515;752;1635070;304349;1;554;0.54024;563358;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;144351;294832;100459;438;1380165;170740;1;554;0.315434;541285;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;242792;61567;68322;441;909309;150006;1;462;0.261315;574042;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;136080;278064;56110;265;638552;66544;1;462;0.132784;501146;BELA*;? Unchecked;v1.6.0-12-g7668b80
