domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;81762;146103;1;351.074;0.114014;PSB;
roadmap;dimacs;1;1;106405;250956;1;351.324;0.146742;PSB;
roadmap;dimacs;2;1;273968;266396;1;351.324;0.105534;PSB;
roadmap;dimacs;3;1;131084;299861;1;351.324;0.0987209;PSB;
roadmap;dimacs;4;1;321017;269381;1;351.324;0.0681675;PSB;
roadmap;dimacs;5;1;81268;114155;1;351.324;0.0876462;PSB;
roadmap;dimacs;6;1;273110;256843;1;351.324;0.103322;PSB;
roadmap;dimacs;7;1;289000;313165;1;351.324;0.0854238;PSB;
roadmap;dimacs;8;1;206841;130270;1;351.324;0.128496;PSB;
roadmap;dimacs;9;1;117373;92727;1;351.324;0.157504;PSB;
roadmap;dimacs;10;1;192763;114126;1;351.324;0.148934;PSB;
roadmap;dimacs;11;1;253773;62962;1;351.324;0.101331;PSB;
roadmap;dimacs;12;1;69635;112392;1;351.324;0.0522182;PSB;
roadmap;dimacs;13;1;279740;4869;1;351.324;0.0895324;PSB;
roadmap;dimacs;14;1;188811;247049;1;351.324;0.0903487;PSB;
roadmap;dimacs;15;1;277191;268154;1;351.324;0.0581044;PSB;
roadmap;dimacs;16;1;42193;274432;1;351.324;0.07163;PSB;
roadmap;dimacs;17;1;285743;146714;1;351.324;0.116906;PSB;
roadmap;dimacs;18;1;195854;77647;1;351.324;0.125717;PSB;
roadmap;dimacs;19;1;129037;163761;1;351.324;0.137962;PSB;
roadmap;dimacs;20;1;85176;1954;1;351.324;0.15757;PSB;
roadmap;dimacs;21;1;318603;138230;1;351.324;0.0411492;PSB;
roadmap;dimacs;22;1;103461;5065;1;351.324;0.0639698;PSB;
roadmap;dimacs;23;1;299962;134129;1;351.324;0.0677743;PSB;
roadmap;dimacs;24;1;124461;94197;1;351.324;0.127409;PSB;
roadmap;dimacs;25;1;135528;100606;1;351.324;0.0782594;PSB;
roadmap;dimacs;26;1;100494;30092;1;351.324;0.121165;PSB;
roadmap;dimacs;27;1;143119;21648;1;351.324;0.143839;PSB;
roadmap;dimacs;28;1;56815;308596;1;351.324;0.0457564;PSB;
roadmap;dimacs;29;1;305686;120431;1;351.324;0.155057;PSB;
roadmap;dimacs;30;1;240362;295149;1;351.324;0.132009;PSB;
roadmap;dimacs;31;1;312097;296209;1;351.324;0.154467;PSB;
roadmap;dimacs;32;1;282381;258241;1;351.324;0.119674;PSB;
roadmap;dimacs;33;1;292606;56169;1;351.324;0.105886;PSB;
roadmap;dimacs;34;1;237888;111447;1;351.324;0.142353;PSB;
roadmap;dimacs;35;1;51839;224098;1;351.324;0.0672486;PSB;
roadmap;dimacs;36;1;128418;4215;1;351.324;0.148557;PSB;
roadmap;dimacs;37;1;268787;226268;1;351.324;0.0924601;PSB;
roadmap;dimacs;38;1;309312;168166;1;351.324;0.130501;PSB;
roadmap;dimacs;39;1;280948;241995;1;351.324;0.0927314;PSB;
roadmap;dimacs;40;1;254985;109385;1;351.324;0.129434;PSB;
roadmap;dimacs;41;1;196484;113193;1;351.324;0.119608;PSB;
roadmap;dimacs;42;1;29905;299818;1;351.324;0.0911137;PSB;
roadmap;dimacs;43;1;316036;224755;1;351.324;0.128304;PSB;
roadmap;dimacs;44;1;2345;195155;1;351.324;0.087835;PSB;
roadmap;dimacs;45;1;231635;158604;1;351.324;0.141111;PSB;
roadmap;dimacs;46;1;8380;114652;1;351.324;0.0838253;PSB;
roadmap;dimacs;47;1;144351;294832;1;351.324;0.0912669;PSB;
roadmap;dimacs;48;1;242792;61567;1;351.324;0.101852;PSB;
