domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;81762;146103;1;351.07;0.116543;PSBv2;
roadmap;dimacs;1;1;106405;250956;1;351.32;0.147186;PSBv2;
roadmap;dimacs;2;1;273968;266396;1;351.32;0.105634;PSBv2;
roadmap;dimacs;3;1;131084;299861;1;351.32;0.0910983;PSBv2;
roadmap;dimacs;4;1;321017;269381;1;351.32;0.0681846;PSBv2;
roadmap;dimacs;5;1;81268;114155;1;351.32;0.0745515;PSBv2;
roadmap;dimacs;6;1;273110;256843;1;351.32;0.104798;PSBv2;
roadmap;dimacs;7;1;289000;313165;1;351.32;0.0869045;PSBv2;
roadmap;dimacs;8;1;206841;130270;1;351.32;0.129788;PSBv2;
roadmap;dimacs;9;1;117373;92727;1;351.32;0.160805;PSBv2;
roadmap;dimacs;10;1;192763;114126;1;351.32;0.153036;PSBv2;
roadmap;dimacs;11;1;253773;62962;1;351.32;0.10247;PSBv2;
roadmap;dimacs;12;1;69635;112392;1;351.32;0.0484007;PSBv2;
roadmap;dimacs;13;1;279740;4869;1;351.32;0.0942043;PSBv2;
roadmap;dimacs;14;1;188811;247049;1;351.32;0.0901255;PSBv2;
roadmap;dimacs;15;1;277191;268154;1;351.32;0.0593472;PSBv2;
roadmap;dimacs;16;1;42193;274432;1;351.32;0.0745622;PSBv2;
roadmap;dimacs;17;1;285743;146714;1;351.32;0.11819;PSBv2;
roadmap;dimacs;18;1;195854;77647;1;351.32;0.118912;PSBv2;
roadmap;dimacs;19;1;129037;163761;1;351.32;0.139267;PSBv2;
roadmap;dimacs;20;1;85176;1954;1;351.32;0.159923;PSBv2;
roadmap;dimacs;21;1;318603;138230;1;351.32;0.0414003;PSBv2;
roadmap;dimacs;22;1;103461;5065;1;351.32;0.0638888;PSBv2;
roadmap;dimacs;23;1;299962;134129;1;351.32;0.0680147;PSBv2;
roadmap;dimacs;24;1;124461;94197;1;351.32;0.134426;PSBv2;
roadmap;dimacs;25;1;135528;100606;1;351.32;0.0810498;PSBv2;
roadmap;dimacs;26;1;100494;30092;1;351.32;0.130213;PSBv2;
roadmap;dimacs;27;1;143119;21648;1;351.32;0.145074;PSBv2;
roadmap;dimacs;28;1;56815;308596;1;351.32;0.0462093;PSBv2;
roadmap;dimacs;29;1;305686;120431;1;351.32;0.15691;PSBv2;
roadmap;dimacs;30;1;240362;295149;1;351.32;0.133333;PSBv2;
roadmap;dimacs;31;1;312097;296209;1;351.32;0.164123;PSBv2;
roadmap;dimacs;32;1;282381;258241;1;351.32;0.137912;PSBv2;
roadmap;dimacs;33;1;292606;56169;1;351.32;0.107939;PSBv2;
roadmap;dimacs;34;1;237888;111447;1;351.32;0.143468;PSBv2;
roadmap;dimacs;35;1;51839;224098;1;351.32;0.069143;PSBv2;
roadmap;dimacs;36;1;128418;4215;1;351.32;0.151773;PSBv2;
roadmap;dimacs;37;1;268787;226268;1;351.32;0.093158;PSBv2;
roadmap;dimacs;38;1;309312;168166;1;351.32;0.132488;PSBv2;
roadmap;dimacs;39;1;280948;241995;1;351.32;0.0937828;PSBv2;
roadmap;dimacs;40;1;254985;109385;1;351.32;0.131295;PSBv2;
roadmap;dimacs;41;1;196484;113193;1;351.32;0.11954;PSBv2;
roadmap;dimacs;42;1;29905;299818;1;351.32;0.0919689;PSBv2;
roadmap;dimacs;43;1;316036;224755;1;351.32;0.130014;PSBv2;
roadmap;dimacs;44;1;2345;195155;1;351.32;0.0896474;PSBv2;
roadmap;dimacs;45;1;231635;158604;1;351.32;0.141517;PSBv2;
roadmap;dimacs;46;1;8380;114652;1;351.32;0.0837862;PSBv2;
roadmap;dimacs;47;1;144351;294832;1;351.32;0.0915199;PSBv2;
roadmap;dimacs;48;1;242792;61567;1;351.32;0.101381;PSBv2;
roadmap;dimacs;49;1;136080;278064;1;351.32;0.03174;PSBv2;
roadmap;dimacs;50;1;288270;204684;1;351.32;0.10615;PSBv2;
roadmap;dimacs;51;1;178991;301411;1;351.32;0.120553;PSBv2;
roadmap;dimacs;52;1;138893;192766;1;351.32;0.14143;PSBv2;
roadmap;dimacs;53;1;47239;80468;1;351.32;0.0415377;PSBv2;
roadmap;dimacs;54;1;151087;228575;1;351.32;0.141643;PSBv2;
roadmap;dimacs;55;1;222755;97707;1;351.32;0.0956575;PSBv2;
roadmap;dimacs;56;1;38872;119016;1;351.32;0.0967727;PSBv2;
roadmap;dimacs;57;1;267788;194528;1;351.32;0.102708;PSBv2;
roadmap;dimacs;58;1;22537;264517;1;351.32;0.0449524;PSBv2;
roadmap;dimacs;59;1;95259;242330;1;351.32;0.0836505;PSBv2;
roadmap;dimacs;60;1;268622;236338;1;351.32;0.0903496;PSBv2;
roadmap;dimacs;61;1;192347;277821;1;351.32;0.153938;PSBv2;
roadmap;dimacs;62;1;137823;298415;1;351.32;0.108919;PSBv2;
roadmap;dimacs;63;1;282571;194161;1;351.32;0.0915749;PSBv2;
roadmap;dimacs;64;1;44959;312326;1;351.32;0.112933;PSBv2;
roadmap;dimacs;65;1;312156;191513;1;351.32;0.116534;PSBv2;
roadmap;dimacs;66;1;182639;108846;1;351.32;0.0482686;PSBv2;
roadmap;dimacs;67;1;85822;72825;1;351.32;0.151094;PSBv2;
roadmap;dimacs;68;1;271676;266077;1;351.32;0.0944555;PSBv2;
roadmap;dimacs;69;1;295012;75092;1;351.32;0.138722;PSBv2;
roadmap;dimacs;70;1;220093;158529;1;351.32;0.126227;PSBv2;
roadmap;dimacs;71;1;235314;107150;1;351.32;0.133849;PSBv2;
roadmap;dimacs;72;1;31159;106749;1;351.32;0.0914178;PSBv2;
roadmap;dimacs;73;1;200665;278503;1;351.32;0.129449;PSBv2;
roadmap;dimacs;74;1;16528;237773;1;351.32;0.0493387;PSBv2;
roadmap;dimacs;75;1;15261;213734;1;351.32;0.0525961;PSBv2;
roadmap;dimacs;76;1;67401;117147;1;351.32;0.0844585;PSBv2;
roadmap;dimacs;77;1;133413;35340;1;351.32;0.139844;PSBv2;
roadmap;dimacs;78;1;156152;299995;1;351.32;0.104925;PSBv2;
roadmap;dimacs;79;1;44951;112793;1;351.32;0.0734658;PSBv2;
roadmap;dimacs;80;1;45387;222153;1;351.32;0.0817762;PSBv2;
roadmap;dimacs;81;1;294492;77363;1;351.32;0.146803;PSBv2;
roadmap;dimacs;82;1;201632;267199;1;351.32;0.105201;PSBv2;
roadmap;dimacs;83;1;247547;146039;1;351.32;0.161734;PSBv2;
roadmap;dimacs;84;1;281131;197100;1;351.32;0.0848215;PSBv2;
roadmap;dimacs;85;1;282616;88896;1;351.32;0.0764637;PSBv2;
roadmap;dimacs;86;1;241049;9112;1;351.32;0.0998365;PSBv2;
roadmap;dimacs;87;1;320588;74968;1;351.32;0.122528;PSBv2;
roadmap;dimacs;88;1;302257;263709;1;351.32;0.123159;PSBv2;
roadmap;dimacs;89;1;88219;210819;1;351.32;0.102403;PSBv2;
roadmap;dimacs;90;1;311608;2393;1;351.32;0.0726742;PSBv2;
roadmap;dimacs;91;1;217545;103931;1;351.32;0.160442;PSBv2;
roadmap;dimacs;92;1;233951;281302;1;351.32;0.125039;PSBv2;
roadmap;dimacs;93;1;74361;263726;1;351.32;0.0535823;PSBv2;
roadmap;dimacs;94;1;213766;129485;1;351.32;0.134768;PSBv2;
roadmap;dimacs;95;1;235147;72685;1;351.32;0.0774156;PSBv2;
roadmap;dimacs;96;1;217285;19115;1;351.32;0.109184;PSBv2;
roadmap;dimacs;97;1;209011;302603;1;351.32;0.0612231;PSBv2;
roadmap;dimacs;98;1;63225;173852;1;351.32;0.0369435;PSBv2;
roadmap;dimacs;99;1;230929;198254;1;351.32;0.0595495;PSBv2;
roadmap;dimacs;0;5;81762;146103;3;351.32;0.401249;PSBv2;
roadmap;dimacs;1;5;106405;250956;1;351.32;0.169352;PSBv2;
roadmap;dimacs;2;5;273968;266396;4;351.32;2.64313;PSBv2;
roadmap;dimacs;3;5;131084;299861;1;351.32;0.118143;PSBv2;
roadmap;dimacs;4;5;321017;269381;1;351.32;0.0897886;PSBv2;
roadmap;dimacs;5;5;81268;114155;1;351.32;0.0960081;PSBv2;
roadmap;dimacs;6;5;273110;256843;3;351.32;0.765382;PSBv2;
roadmap;dimacs;7;5;289000;313165;5;351.32;1.92204;PSBv2;
roadmap;dimacs;8;5;206841;130270;1;351.32;0.151933;PSBv2;
roadmap;dimacs;9;5;117373;92727;1;351.32;0.180099;PSBv2;
roadmap;dimacs;10;5;192763;114126;1;351.32;0.174284;PSBv2;
roadmap;dimacs;11;5;253773;62962;1;351.32;0.124275;PSBv2;
roadmap;dimacs;12;5;69635;112392;1;351.32;0.0673584;PSBv2;
roadmap;dimacs;13;5;279740;4869;1;351.32;0.111166;PSBv2;
roadmap;dimacs;14;5;188811;247049;1;351.32;0.112721;PSBv2;
roadmap;dimacs;15;5;277191;268154;1;351.32;0.0793682;PSBv2;
roadmap;dimacs;16;5;42193;274432;1;351.32;0.0937952;PSBv2;
roadmap;dimacs;17;5;285743;146714;1;351.32;0.136254;PSBv2;
roadmap;dimacs;18;5;195854;77647;1;351.32;0.13881;PSBv2;
roadmap;dimacs;19;5;129037;163761;1;351.32;0.162389;PSBv2;
roadmap;dimacs;20;5;85176;1954;1;351.32;0.181625;PSBv2;
roadmap;dimacs;21;5;318603;138230;3;351.32;0.592831;PSBv2;
roadmap;dimacs;22;5;103461;5065;1;351.32;0.0837248;PSBv2;
roadmap;dimacs;23;5;299962;134129;1;351.32;0.0903265;PSBv2;
roadmap;dimacs;24;5;124461;94197;1;351.32;0.150131;PSBv2;
roadmap;dimacs;25;5;135528;100606;1;351.32;0.0982593;PSBv2;
roadmap;dimacs;26;5;100494;30092;1;351.32;0.145144;PSBv2;
roadmap;dimacs;27;5;143119;21648;1;351.32;0.168461;PSBv2;
roadmap;dimacs;28;5;56815;308596;4;351.32;0.962646;PSBv2;
roadmap;dimacs;29;5;305686;120431;1;351.32;0.178711;PSBv2;
roadmap;dimacs;30;5;240362;295149;1;351.32;0.15421;PSBv2;
