domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version
roadmap;dimacs;0;1;81762;146103;1;350.988;0.113513;SB*;v2.0-53-g98db238
roadmap;dimacs;1;1;106405;250956;1;351.238;0.147574;SB*;v2.0-53-g98db238
roadmap;dimacs;2;1;273968;266396;1;351.238;0.106734;SB*;v2.0-53-g98db238
roadmap;dimacs;3;1;131084;299861;1;351.238;0.091981;SB*;v2.0-53-g98db238
roadmap;dimacs;4;1;321017;269381;1;351.238;0.0699798;SB*;v2.0-53-g98db238
roadmap;dimacs;5;1;81268;114155;1;351.238;0.075118;SB*;v2.0-53-g98db238
roadmap;dimacs;6;1;273110;256843;1;351.238;0.103268;SB*;v2.0-53-g98db238
roadmap;dimacs;7;1;289000;313165;1;351.238;0.0885904;SB*;v2.0-53-g98db238
roadmap;dimacs;8;1;206841;130270;1;351.238;0.129555;SB*;v2.0-53-g98db238
roadmap;dimacs;9;1;117373;92727;1;351.238;0.158256;SB*;v2.0-53-g98db238
roadmap;dimacs;10;1;192763;114126;1;351.238;0.152957;SB*;v2.0-53-g98db238
roadmap;dimacs;11;1;253773;62962;1;351.238;0.102478;SB*;v2.0-53-g98db238
roadmap;dimacs;12;1;69635;112392;1;351.238;0.04896;SB*;v2.0-53-g98db238
roadmap;dimacs;13;1;279740;4869;1;351.238;0.0891173;SB*;v2.0-53-g98db238
roadmap;dimacs;14;1;188811;247049;1;351.238;0.0908223;SB*;v2.0-53-g98db238
roadmap;dimacs;15;1;277191;268154;1;351.238;0.0607038;SB*;v2.0-53-g98db238
roadmap;dimacs;16;1;42193;274432;1;351.238;0.0733455;SB*;v2.0-53-g98db238
roadmap;dimacs;17;1;285743;146714;1;351.238;0.116625;SB*;v2.0-53-g98db238
roadmap;dimacs;18;1;195854;77647;1;351.238;0.117995;SB*;v2.0-53-g98db238
roadmap;dimacs;19;1;129037;163761;1;351.238;0.140967;SB*;v2.0-53-g98db238
roadmap;dimacs;20;1;85176;1954;1;351.238;0.160589;SB*;v2.0-53-g98db238
roadmap;dimacs;21;1;318603;138230;1;351.238;0.0413186;SB*;v2.0-53-g98db238
roadmap;dimacs;22;1;103461;5065;1;351.238;0.0661231;SB*;v2.0-53-g98db238
roadmap;dimacs;23;1;299962;134129;1;351.238;0.0687655;SB*;v2.0-53-g98db238
roadmap;dimacs;24;1;124461;94197;1;351.238;0.131282;SB*;v2.0-53-g98db238
roadmap;dimacs;25;1;135528;100606;1;351.238;0.0800794;SB*;v2.0-53-g98db238
roadmap;dimacs;26;1;100494;30092;1;351.238;0.12323;SB*;v2.0-53-g98db238
roadmap;dimacs;27;1;143119;21648;1;351.238;0.143943;SB*;v2.0-53-g98db238
roadmap;dimacs;28;1;56815;308596;1;351.238;0.047105;SB*;v2.0-53-g98db238
roadmap;dimacs;29;1;305686;120431;1;351.238;0.156966;SB*;v2.0-53-g98db238
roadmap;dimacs;30;1;240362;295149;1;351.238;0.132764;SB*;v2.0-53-g98db238
roadmap;dimacs;31;1;312097;296209;1;351.238;0.155197;SB*;v2.0-53-g98db238
roadmap;dimacs;32;1;282381;258241;1;351.238;0.121645;SB*;v2.0-53-g98db238
roadmap;dimacs;33;1;292606;56169;1;351.238;0.108791;SB*;v2.0-53-g98db238
roadmap;dimacs;34;1;237888;111447;1;351.238;0.143586;SB*;v2.0-53-g98db238
roadmap;dimacs;35;1;51839;224098;1;351.238;0.0688773;SB*;v2.0-53-g98db238
roadmap;dimacs;36;1;128418;4215;1;351.238;0.149249;SB*;v2.0-53-g98db238
roadmap;dimacs;37;1;268787;226268;1;351.238;0.093525;SB*;v2.0-53-g98db238
roadmap;dimacs;38;1;309312;168166;1;351.238;0.131576;SB*;v2.0-53-g98db238
roadmap;dimacs;39;1;280948;241995;1;351.238;0.0934321;SB*;v2.0-53-g98db238
roadmap;dimacs;40;1;254985;109385;1;351.238;0.138719;SB*;v2.0-53-g98db238
roadmap;dimacs;41;1;196484;113193;1;351.238;0.119037;SB*;v2.0-53-g98db238
roadmap;dimacs;42;1;29905;299818;1;351.238;0.0924044;SB*;v2.0-53-g98db238
roadmap;dimacs;43;1;316036;224755;1;351.238;0.129341;SB*;v2.0-53-g98db238
roadmap;dimacs;44;1;2345;195155;1;351.238;0.0901051;SB*;v2.0-53-g98db238
roadmap;dimacs;45;1;231635;158604;1;351.238;0.143742;SB*;v2.0-53-g98db238
roadmap;dimacs;46;1;8380;114652;1;351.238;0.0859677;SB*;v2.0-53-g98db238
roadmap;dimacs;47;1;144351;294832;1;351.238;0.0932831;SB*;v2.0-53-g98db238
roadmap;dimacs;48;1;242792;61567;1;351.238;0.103956;SB*;v2.0-53-g98db238
roadmap;dimacs;49;1;136080;278064;1;351.238;0.0333863;SB*;v2.0-53-g98db238
roadmap;dimacs;50;1;288270;204684;1;351.238;0.106652;SB*;v2.0-53-g98db238
roadmap;dimacs;51;1;178991;301411;1;351.238;0.12225;SB*;v2.0-53-g98db238
roadmap;dimacs;52;1;138893;192766;1;351.238;0.141513;SB*;v2.0-53-g98db238
roadmap;dimacs;53;1;47239;80468;1;351.238;0.043311;SB*;v2.0-53-g98db238
roadmap;dimacs;54;1;151087;228575;1;351.238;0.144187;SB*;v2.0-53-g98db238
roadmap;dimacs;55;1;222755;97707;1;351.238;0.0965112;SB*;v2.0-53-g98db238
roadmap;dimacs;56;1;38872;119016;1;351.238;0.0972255;SB*;v2.0-53-g98db238
roadmap;dimacs;57;1;267788;194528;1;351.238;0.10233;SB*;v2.0-53-g98db238
roadmap;dimacs;58;1;22537;264517;1;351.238;0.0461953;SB*;v2.0-53-g98db238
roadmap;dimacs;59;1;95259;242330;1;351.238;0.0853826;SB*;v2.0-53-g98db238
roadmap;dimacs;60;1;268622;236338;1;351.238;0.0916062;SB*;v2.0-53-g98db238
roadmap;dimacs;61;1;192347;277821;1;351.238;0.126433;SB*;v2.0-53-g98db238
roadmap;dimacs;62;1;137823;298415;1;351.238;0.108009;SB*;v2.0-53-g98db238
roadmap;dimacs;63;1;282571;194161;1;351.238;0.0933118;SB*;v2.0-53-g98db238
roadmap;dimacs;64;1;44959;312326;1;351.238;0.112498;SB*;v2.0-53-g98db238
roadmap;dimacs;65;1;312156;191513;1;351.238;0.115738;SB*;v2.0-53-g98db238
roadmap;dimacs;66;1;182639;108846;1;351.238;0.048706;SB*;v2.0-53-g98db238
roadmap;dimacs;67;1;85822;72825;1;351.238;0.149987;SB*;v2.0-53-g98db238
roadmap;dimacs;68;1;271676;266077;1;351.238;0.0952;SB*;v2.0-53-g98db238
roadmap;dimacs;69;1;295012;75092;1;351.238;0.139683;SB*;v2.0-53-g98db238
roadmap;dimacs;70;1;220093;158529;1;351.238;0.127751;SB*;v2.0-53-g98db238
roadmap;dimacs;71;1;235314;107150;1;351.238;0.135287;SB*;v2.0-53-g98db238
roadmap;dimacs;72;1;31159;106749;1;351.238;0.0902918;SB*;v2.0-53-g98db238
roadmap;dimacs;73;1;200665;278503;1;351.238;0.129067;SB*;v2.0-53-g98db238
roadmap;dimacs;74;1;16528;237773;1;351.238;0.0499017;SB*;v2.0-53-g98db238
roadmap;dimacs;75;1;15261;213734;1;351.238;0.0537487;SB*;v2.0-53-g98db238
roadmap;dimacs;76;1;67401;117147;1;351.238;0.0858223;SB*;v2.0-53-g98db238
roadmap;dimacs;77;1;133413;35340;1;351.238;0.140725;SB*;v2.0-53-g98db238
roadmap;dimacs;78;1;156152;299995;1;351.238;0.105477;SB*;v2.0-53-g98db238
roadmap;dimacs;79;1;44951;112793;1;351.238;0.0736761;SB*;v2.0-53-g98db238
roadmap;dimacs;80;1;45387;222153;1;351.238;0.0836665;SB*;v2.0-53-g98db238
roadmap;dimacs;81;1;294492;77363;1;351.238;0.169745;SB*;v2.0-53-g98db238
roadmap;dimacs;82;1;201632;267199;1;351.238;0.104799;SB*;v2.0-53-g98db238
roadmap;dimacs;83;1;247547;146039;1;351.238;0.153223;SB*;v2.0-53-g98db238
roadmap;dimacs;84;1;281131;197100;1;351.238;0.078212;SB*;v2.0-53-g98db238
roadmap;dimacs;85;1;282616;88896;1;351.238;0.0770085;SB*;v2.0-53-g98db238
roadmap;dimacs;86;1;241049;9112;1;351.238;0.0994717;SB*;v2.0-53-g98db238
roadmap;dimacs;87;1;320588;74968;1;351.238;0.122752;SB*;v2.0-53-g98db238
roadmap;dimacs;88;1;302257;263709;1;351.238;0.119424;SB*;v2.0-53-g98db238
roadmap;dimacs;89;1;88219;210819;1;351.238;0.0991621;SB*;v2.0-53-g98db238
roadmap;dimacs;90;1;311608;2393;1;351.238;0.0734476;SB*;v2.0-53-g98db238
roadmap;dimacs;91;1;217545;103931;1;351.238;0.158539;SB*;v2.0-53-g98db238
