domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;     81762;    146103;0;528;1542268;150260;1;0;296;0.290219;517748;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;    106405;    250956;0;741;2105356;299786;1;0;402;0.532446;563035;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    273968;    266396;0;849;1720034;316882;1;0;410;0.470311;673772;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    131084;    299861;0;370;1151554;124541;1;0;410;0.195719;636326;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    321017;    269381;0;239;698299;73301;1;0;410;0.113946;643296;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;     81268;    114155;0;569;1754530;196168;1;0;441;0.31787;617133;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;    273110;    256843;0;659;1294899;274010;1;0;441;0.424737;645128;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;    289000;    313165;0;504;1676006;259091;1;0;497;0.383247;676042;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    206841;    130270;0;833;1872606;286388;1;0;499;0.430663;664994;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    117373;     92727;0;812;1976063;176527;1;0;499;0.285174;619016;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;    192763;    114126;0;1048;2428170;317794;1;0;499;0.534178;594922;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    253773;     62962;0;414;945215;170229;1;0;545;0.247166;688723;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;     69635;    112392;0;418;1212310;283598;1;0;545;0.435494;651210;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
