domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;     81762;    146103;0;528;1542268;150260;1;298;0.314159;478293;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    106405;    250956;0;741;2105356;299786;1;475;0.563181;532309;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    273968;    266396;0;849;1720034;316882;1;479;0.531557;596140;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    131084;    299861;0;370;1151554;124541;1;479;0.223955;556099;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    321017;    269381;0;239;698299;73301;1;479;0.116185;630899;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;     81268;    114155;0;569;1754530;196168;1;479;0.338736;579118;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    273110;    256843;0;659;1294899;274010;1;480;0.445708;614775;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    289000;    313165;0;504;1676006;259091;1;480;0.403086;642768;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    206841;    130270;0;833;1872606;286388;1;534;0.481473;594817;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    117373;     92727;0;812;1976063;176527;1;534;0.304141;580413;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;    192763;    114126;0;1048;2428170;317794;1;581;0.573077;554540;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    253773;     62962;0;414;945215;170229;1;584;0.267126;637261;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;     69635;    112392;0;418;1212310;283598;1;584;0.456005;621918;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    279740;      4869;0;390;765507;95397;1;584;0.158459;602028;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    188811;    247049;0;426;1069431;158508;1;476;0.275269;575829;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    277191;    268154;0;216;630804;61127;1;524;0.109683;557304;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;     42193;    274432;0;443;876648;196117;1;578;0.317265;618148;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;    285743;    146714;0;537;1537635;188247;1;476;0.324705;579747;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
