domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;     81762;    146103;117974;528;1542268;126657;1;292;0.312087;405839;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;    106405;    250956;160227;741;2105356;292486;1;451;0.793826;368451;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    273968;    266396;136537;849;1720034;313566;1;480;0.602838;520150;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    131084;    299861;97942;370;1151554;112547;1;480;0.234073;480821;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    321017;    269381;64989;239;698299;64852;1;480;0.151058;429317;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;     81268;    114155;135512;569;1754530;165115;1;500;0.344612;479134;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;    273110;    256843;111274;659;1294899;251983;1;500;0.488079;516275;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;    289000;    313165;101758;504;1676006;220416;1;524;0.424251;519542;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    206841;    130270;147984;833;1872606;283778;1;524;0.552774;513370;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    117373;     92727;174375;812;1976063;162244;1;524;0.323541;501463;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;    192763;    114126;195544;1048;2428170;317499;1;529;0.661256;480145;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    253773;     62962;68507;414;945215;166681;1;580;0.308907;539583;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;     69635;    112392;100622;418;1212310;255461;1;583;0.499909;511015;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;    279740;      4869;64383;390;765507;74868;1;583;0.149929;499356;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;    188811;    247049;87203;426;1069431;130657;1;584;0.271812;480688;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;    277191;    268154;57540;216;630804;47654;1;584;0.100915;472220;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;     42193;    274432;67057;443;876648;175102;1;584;0.344936;507636;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;    285743;    146714;122395;537;1537635;169227;1;584;0.334314;506192;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;    195854;     77647;163155;787;1936294;313351;1;584;0.586079;534656;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;    129037;    163761;132448;610;1503597;192830;1;584;0.383865;502338;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;     85176;      1954;155298;766;1794095;199242;1;584;0.396237;502835;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;    318603;    138230;71528;275;781350;37641;1;584;0.0830703;453122;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;    103461;      5065;52932;287;606474;59385;1;584;0.118312;501934;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;    299962;    134129;91209;405;1151066;158792;1;584;0.323123;491430;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;    124461;     94197;111561;556;1415037;184167;1;584;0.415852;442867;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    135528;    100606;89424;372;1174321;113343;1;584;0.235981;480305;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    100494;     30092;121070;672;1387869;191494;1;584;0.385633;496571;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;    143119;     21648;124749;667;1627652;202552;1;584;0.397681;509333;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;     56815;    308596;88413;374;1038977;209996;1;584;0.429636;488777;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;    305686;    120431;144546;663;1896668;257362;1;584;0.482648;533229;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    240362;    295149;139954;883;1552681;220722;1;584;0.429377;514052;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;    312097;    296209;144011;534;1690096;271302;1;584;0.52135;520384;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;    282381;    258241;166189;1093;1867795;284614;1;584;0.538479;528552;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    292606;     56169;75636;502;1003730;115812;1;584;0.21083;549315;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;    237888;    111447;186398;887;2218756;307829;1;584;0.651069;472805;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;     51839;    224098;65519;349;744612;127219;1;584;0.231778;548882;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;    128418;      4215;127051;659;1463256;144382;1;584;0.30802;468742;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    268787;    226268;87110;590;1061957;190370;1;584;0.390277;487782;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;    309312;    168166;120675;701;1391887;178111;1;584;0.381869;466420;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;    280948;    241995;84458;714;1127668;198971;1;584;0.403529;493077;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;    254985;    109385;162851;750;2002311;295708;1;584;0.548537;539085;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    196484;    113193;168188;883;1913369;308981;1;476;0.642924;480587;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;     29905;    299818;94072;703;1164823;214081;1;632;0.445316;480740;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;    316036;    224755;182461;999;2208024;319338;1;632;0.656732;486253;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;      2345;    195155;64371;632;820214;159941;1;572;0.308904;517768;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;    231635;    158604;167890;794;2013939;287416;1;662;0.613491;468492;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;      8380;    114652;139754;752;1635070;304347;1;662;0.577424;527077;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;    144351;    294832;100303;438;1380165;170749;1;662;0.33632;507698;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    242792;     61567;68194;441;909309;150015;1;671;0.273039;549428;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    136080;    278064;55840;265;638552;66546;1;671;0.133025;500252;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;    288270;    204684;120157;609;1331174;150484;1;674;0.305499;492585;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    178991;    301411;142293;591;1624811;299232;1;674;0.57071;524315;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
