domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;81762;146103;118092;528;1542268;126642;0;224;0.256927;492910;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;106405;250956;160158;741;2105356;292479;0;335;0.528794;553106;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;273968;266396;136537;849;1720034;313568;0;338;0.501751;624947;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;131084;299861;97900;370;1151554;112548;0;338;0.202691;555270;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;321017;269381;64915;239;698299;64860;0;338;0.105798;613056;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;81268;114155;135619;569;1754530;165135;0;338;0.283512;582461;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;273110;256843;111274;659;1294899;251985;0;338;0.413418;609516;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;289000;313165;101714;504;1676006;220422;0;338;0.365216;603539;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;206841;130270;148055;833;1872606;283768;0;386;0.473981;598691;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;117373;92727;174458;812;1976063;162236;0;386;0.269616;601731;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;192763;114126;195431;1048;2428170;317500;0;386;0.549583;577711;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;253773;62962;68508;414;945215;166684;0;388;0.26699;624309;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;69635;112392;100616;418;1212310;255464;0;388;0.426253;599324;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;279740;4869;64145;390;765507;74865;0;388;0.126444;592078;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;188811;247049;87203;426;1069431;130664;0;388;0.23361;559326;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;277191;268154;57540;216;630804;47654;0;388;0.0896814;531370;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;42193;274432;67064;443;876648;175098;0;388;0.313499;558528;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;285743;146714;122402;537;1537635;169231;0;388;0.287969;587672;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;195854;77647;163155;787;1936294;313349;0;388;0.508211;616573;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;129037;163761;132552;610;1503597;192794;0;388;0.328066;587669;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;85176;1954;155298;766;1794095;199243;0;388;0.344473;578399;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;318603;138230;71031;275;781350;37634;0;388;0.0712071;528515;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;103461;5065;52899;287;606474;59390;0;388;0.104105;570483;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;299962;134129;91043;405;1151066;158808;0;388;0.270607;586859;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;124461;94197;111506;556;1415037;184167;0;388;0.317437;580169;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;135528;100606;89503;372;1174321;113337;0;388;0.202931;558500;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;100494;30092;121310;672;1387869;191463;0;388;0.333897;573419;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;143119;21648;124718;667;1627652;202559;0;388;0.344548;587898;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;56815;308596;88413;374;1038977;210000;0;417;0.373648;562027;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;305686;120431;144509;665;1897553;257743;0;417;0.416707;618524;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;240362;295149;139761;883;1552681;220712;0;418;0.369682;597031;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;312097;296209;143846;536;1690096;271316;0;418;0.453164;598714;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;282381;258241;166189;1093;1867795;284606;0;418;0.458413;620850;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;292606;56169;75636;498;1003732;115810;0;418;0.186639;620503;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;237888;111447;186453;887;2218756;307829;0;340;0.540837;569172;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;51839;224098;65516;349;744612;127216;0;412;0.212765;597918;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;128418;4215;127249;659;1463256;144381;0;412;0.249403;578906;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;268787;226268;87068;590;1061957;190374;0;340;0.364804;521852;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;309312;168166;120661;701;1391887;178106;0;412;0.328985;541380;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;280948;241995;84516;714;1127668;199038;0;340;0.364354;546276;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;254985;109385;162846;750;2002311;295711;0;340;0.491727;601372;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;196484;113193;168318;883;1913369;308973;0;340;0.512353;603047;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;29905;299818;94072;703;1164823;214084;0;340;0.390734;547903;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;316036;224755;182466;999;2208024;319336;0;412;0.554128;576286;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;2345;195155;64541;632;820214;159941;0;342;0.267255;598458;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;231635;158604;167964;794;2013939;287414;0;342;0.484081;593731;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;8380;114652;139515;752;1635070;304349;0;342;0.504266;603548;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;144351;294832;100459;438;1380165;170740;0;426;0.291408;585914;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;242792;61567;68322;441;909309;150006;0;342;0.241014;622394;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;136080;278064;56110;265;638552;66544;0;426;0.121439;547964;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;288270;204684;120297;609;1331174;150483;0;426;0.262913;572367;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;178991;301411;142293;593;1624811;299231;0;342;0.49239;607712;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;138893;192766;156666;828;2055859;307545;0;426;0.497576;618086;mA*;? Unchecked;v1.6.0-12-g7668b80
