domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;81762;146103;0;528;1542268;150260;0;253;0.250907;598866;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;106405;250956;0;741;2105356;299786;0;335;0.450224;665859;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;273968;266396;0;849;1720034;316882;0;340;0.414742;764045;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;131084;299861;0;370;1151554;124541;0;340;0.175574;709336;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;321017;269381;0;239;698299;73301;0;340;0.0976783;750433;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;81268;114155;0;569;1754530;196168;0;340;0.285061;688161;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;273110;256843;0;659;1294899;274010;0;340;0.370493;739582;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;289000;313165;0;504;1676006;259091;0;340;0.34311;755126;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;206841;130270;0;833;1872606;286388;0;388;0.389509;735254;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;117373;92727;0;812;1976063;176527;0;388;0.252766;698380;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;192763;114126;0;1048;2428170;317794;0;388;0.460773;689697;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;253773;62962;0;414;945215;170229;0;388;0.248969;683735;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;69635;112392;0;418;1212310;283598;0;388;0.386402;733945;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;279740;4869;0;390;765507;95397;0;388;0.134686;708294;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;188811;247049;0;426;1069431;158508;0;388;0.231156;685719;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;277191;268154;0;216;630804;61127;0;388;0.0824175;741675;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;42193;274432;0;443;876648;196117;0;416;0.284755;688723;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;285743;146714;0;537;1537635;188247;0;416;0.273121;689245;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;195854;77647;0;787;1936294;315394;0;420;0.417936;754647;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;129037;163761;0;610;1503597;208746;0;420;0.286317;729074;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;85176;1954;0;766;1794095;210569;0;420;0.296354;710531;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;318603;138230;0;275;781350;43385;0;420;0.0648676;668824;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;103461;5065;0;287;606474;68284;0;420;0.104595;652840;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
