domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;0;2231;9081368;1219308;0;3919;4.38636;277977;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;0;1525;4088324;768672;0;2383;2.24597;342246;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;0;521;3005778;144817;0;2383;0.433968;333704;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;0;787;2234632;539743;0;2383;1.60493;336304;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;0;255;1392805;102511;0;2383;0.301026;340539;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;0;1048;5258991;1421176;0;3302;4.21061;337522;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;0;583;1387831;484565;0;2534;1.46166;331518;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;0;926;2205696;492348;0;2534;1.5619;315223;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;0;1269;4704476;913751;0;2918;2.79249;327217;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;0;1630;9115684;1814790;0;4773;5.79336;313253;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;0;1735;7767635;1449046;0;3424;4.3533;332862;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;0;688;3446379;864585;0;2656;2.42515;356508;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;0;1502;7973933;1216666;0;3424;3.69116;329616;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;0;1614;8709043;1468046;0;4192;4.67394;314092;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;0;966;5426129;1467749;0;3424;4.36697;336102;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;0;2202;8152763;1618856;0;3683;4.78403;338388;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;0;1630;5188898;642248;0;3683;2.02798;316694;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;0;402;1054975;226927;0;2915;0.634021;357917;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;0;1538;5259126;998638;0;3683;3.09083;323097;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;0;693;2578130;695161;0;2915;1.97084;352723;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;0;1570;4883635;1146306;0;3683;3.62972;315811;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;0;453;1175543;413791;0;2915;1.1368;363997;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;0;1385;6179727;1332858;0;3683;3.90028;341734;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;0;1624;6568821;1273311;0;3683;3.79006;335960;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;0;921;1804784;295197;0;2915;0.84087;351062;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;0;392;1500427;416945;0;2915;1.14265;364894;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;0;1289;6122291;1631315;0;3683;4.85066;336308;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;0;1483;5065120;976215;0;3683;2.94879;331056;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;0;399;955254;349157;0;2915;0.994801;350982;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;0;570;3003174;732323;0;3107;2.1266;344364;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;0;475;789683;244563;0;2915;0.714848;342119;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;0;1237;6157044;1026003;0;3683;3.08473;332607;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;0;1507;3830708;741332;0;3107;2.21075;335330;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;0;939;2932043;654666;0;3107;1.92198;340620;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;0;632;3418184;164328;0;3107;0.471327;348650;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;0;1770;8091336;1823162;0;3910;5.56378;327684;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;0;1903;9241741;1880585;0;4771;5.80861;323758;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;0;3399;12098029;1873213;0;5008;5.90528;317210;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;0;1142;6020818;1343872;0;4240;3.9071;343956;K0;? Unchecked;v1.6.0-12-g7668b80
