domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;836775;2231;9082350;1199321;0;3894;4.88469;245527;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;348503;1525;4088324;739505;0;2358;2.50285;295465;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;242164;521;3005778;132119;0;2358;0.448575;294531;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;185308;787;2235210;467062;0;2358;1.54973;301383;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;106026;255;1392805;94751;0;2358;0.3058;309846;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;385731;1048;5258991;1352641;0;3218;4.58065;295294;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;129240;583;1387831;448799;0;2450;1.48919;301370;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;187803;926;2205696;439629;0;2450;1.56528;280863;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;342296;1269;4704476;882008;0;2834;2.92972;301055;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;741350;1630;9115805;1794215;0;4668;6.18919;289895;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;665223;1738;7767729;1387184;0;3321;4.62982;299619;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;311364;691;3446473;831167;0;2553;2.71126;306561;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;662684;1502;7973933;1139967;0;3321;3.97637;286685;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;736387;1614;8709043;1286989;0;4089;4.64359;277154;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;321773;966;5426129;1340174;0;3321;4.53283;295659;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;743578;2202;8152763;1592950;0;3652;5.40242;294859;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;462395;1630;5188898;617725;0;3652;2.2021;280516;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;79490;402;1054975;213107;0;2884;0.661564;322126;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;459219;1538;5259150;969018;0;3652;3.39827;285151;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;212958;693;2578130;614251;0;3076;2.07117;296573;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;443947;1570;4883659;1076443;0;3652;3.97509;270797;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;108589;453;1175543;371048;0;2884;1.20138;308850;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;580558;1385;6179727;1303439;0;3652;4.38368;297339;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;599867;1624;6568821;1245168;0;3652;4.26463;291975;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;151631;921;1804784;261185;0;2884;0.878961;297152;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;126658;392;1500427;375002;0;2884;1.19767;313109;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;463355;1289;6122730;1485496;0;3652;5.21885;284641;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;407861;1483;5065120;905021;0;3652;3.01031;300640;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;73778;399;955254;329045;0;2884;1.05385;312232;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;234954;570;3003174;684911;0;3076;2.23216;306838;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;63314;475;789683;220696;0;2884;0.765256;288395;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;571373;1237;6157044;1000461;0;3652;3.399;294340;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;324947;1507;3830804;654393;0;3076;2.23224;293156;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;272836;939;2932043;457777;0;3076;1.60405;285389;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;224445;632;3418184;143019;0;3076;0.479467;298288;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;695077;1770;8091429;1745776;0;3774;5.81976;299974;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;838593;1903;9241741;1858917;0;4744;6.54436;284049;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;1067349;3399;12098029;1867469;0;5001;6.63723;281363;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;568383;1142;6020818;1309925;0;4233;4.38096;299004;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;1208113;169244;85981;252;994507;56310;0;3465;0.180856;311353;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;1226440;1391278;762224;2164;8142667;1479204;0;4233;5.10765;289605;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;122277;1128394;211069;719;2944465;500577;0;3465;1.75208;285704;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;66946;1214669;559170;1053;5963502;972180;0;4233;3.35102;290114;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;299055;1685578;867092;2344;9966137;1809891;0;5001;6.38026;283670;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1617239;1448010;431682;1333;4746002;1054264;0;4233;3.77806;279049;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;88434;220092;162398;810;1922160;395409;0;3465;1.25742;314460;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;765554;1136443;219632;716;2443481;448545;0;3465;1.51514;296043;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;1662423;665304;617257;2025;6865214;1498677;0;4233;5.11125;293211;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;522581;744644;559639;1294;6138023;1076407;0;4233;3.82486;281424;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;880871;913237;417818;1190;4898374;981348;0;4233;3.57258;274689;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;184031;1879161;467172;1179;5260689;1210925;0;4233;4.26437;283963;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;638122;1463354;114395;444;1316963;179316;0;3465;0.550902;325495;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;1314005;356552;391568;1161;4462498;947620;0;4233;3.29247;287815;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;21748;1031477;909846;2538;10681341;1535018;0;5001;5.40238;284137;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;149376;488085;111238;234;1225605;26265;0;3465;0.0967858;271373;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;1471925;1271058;63533;445;722671;229608;0;3465;0.736888;311591;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;531829;538074;663587;1937;7230261;1319688;0;4233;4.49041;293890;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;65785;1728556;255073;1017;3029245;623650;0;3465;2.07787;300139;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;1182648;947461;461621;1106;5480002;1336734;0;4233;4.55162;293683;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;834369;1832866;503388;1358;6184439;1425452;0;4233;4.77535;298502;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;1579344;795855;1121213;3397;13143888;1884523;0;5021;6.64607;283555;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;830015;1296962;605485;1349;6488746;1055190;0;4253;3.74072;282082;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;390249;22433;179578;795;2515915;355316;0;3677;1.21944;291376;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;1361440;776903;455588;1688;6006098;1472090;0;4253;5.22574;281700;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;1526444;433636;84535;456;1089978;259389;0;3485;0.858218;302241;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;653723;1649198;619628;1796;6702822;1071765;0;4253;3.80257;281852;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;1848324;1867145;205840;309;2480055;104200;0;3485;0.358204;290896;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;556081;1705850;131653;545;1729213;327602;0;3485;1.02257;320372;K*;? Unchecked;v1.6.0-12-g7668b80
