domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;0;2231;9081368;1219307;1;1711;2.54918;478314;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;0;1525;4088324;768671;1;1711;1.2781;601418;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;0;521;3005778;144816;1;1711;0.257876;561572;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;0;787;2234632;539742;1;1711;0.87394;617596;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;0;255;1392805;102503;1;1711;0.187522;546618;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;0;1048;5258991;1421175;1;1711;2.34095;607094;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;0;583;1387831;484564;1;1711;0.733973;660193;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;0;926;2205696;492347;1;1711;0.812587;605901;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;0;1269;4704476;913750;1;1749;1.59785;571864;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;0;1630;9115684;1814789;1;2268;3.27193;554654;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;0;1735;7767635;1449045;1;2367;2.39936;603930;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;0;688;3446379;864584;1;2268;1.36712;632413;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;0;1502;7973933;1216660;1;2268;1.95643;621879;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;0;1614;8709043;1468043;1;2353;2.72896;537950;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;0;966;5426129;1467748;1;2353;2.54583;576530;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;0;2202;8152763;1618855;1;2462;2.62596;616481;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;0;1630;5188898;642247;1;2462;1.07698;596343;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;0;402;1054975;226926;1;2462;0.359099;631932;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;0;1538;5259126;998637;1;2462;1.71057;583803;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;0;693;2578130;695160;1;2462;1.07829;644690;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;0;1570;4883635;1146305;1;2462;1.9239;595825;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;0;453;1175543;413771;1;2462;0.646699;639820;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;0;1385;6179727;1332857;1;2462;2.10291;633814;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;0;1624;6568821;1273310;1;2462;2.01621;631535;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;0;921;1804784;295195;1;2462;0.457514;645215;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;0;392;1500427;416940;1;2462;0.651415;640053;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;0;1289;6122291;1631298;1;2506;2.75805;591469;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;0;1483;5065120;976212;1;2506;1.61042;606185;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;0;399;955254;349156;1;2506;0.522412;668354;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;0;570;3003174;732321;1;2506;1.21283;603812;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;0;475;789683;244562;1;2506;0.381206;641549;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;0;1237;6157044;1026002;1;2506;1.67898;611085;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;0;1507;3830708;741327;1;2506;1.22579;604773;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;0;939;2932043;654659;1;2506;1.05155;622566;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;0;632;3418184;164327;1;2506;0.278348;590364;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;0;1770;8091336;1823159;1;2672;2.98729;610306;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;0;1903;9241741;1880584;1;2672;3.22968;582282;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;0;3399;12098029;1873212;1;2672;3.14542;595536;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;0;1142;6020818;1343871;1;2672;2.13992;628000;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;1208113;169244;0;252;994507;64811;1;2672;0.127669;507650;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;1226440;1391278;0;2164;8142667;1513571;1;2672;2.55284;592897;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;122277;1128394;0;719;2944465;578703;1;2672;0.956102;605274;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;66946;1214669;0;1053;5959978;993077;1;2672;1.65383;600473;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;299055;1685578;0;2344;9966137;1826270;1;2672;3.12228;584916;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1617239;1448010;0;1333;4746002;1193317;1;2672;2.00982;593744;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;88434;220092;0;810;1922160;437465;1;2672;0.673202;649828;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;765554;1136443;0;716;2443481;505643;1;2672;0.828291;610466;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;1662423;665304;0;2025;6865214;1533362;1;2672;2.66151;576124;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;522581;744644;0;1294;6138023;1094893;1;2672;1.86399;587393;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;880871;913237;0;1190;4898374;1074217;1;2672;1.84021;583746;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;184031;1879161;0;1176;5260595;1304809;1;2672;2.23936;582670;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;638122;1463354;0;444;1316963;191958;1;2672;0.300859;638032;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;1314005;356552;0;1161;4462498;1035672;1;2672;1.73122;598234;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;21748;1031477;0;2535;10681247;1575868;1;2672;2.77563;567750;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;149376;488085;0;234;1225605;37915;1;2672;0.0767964;493708;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;1471925;1271058;0;445;722671;261324;1;2672;0.397776;656962;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;531829;538074;0;1937;7230261;1351998;1;2672;2.24225;602966;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;65785;1728556;0;1017;3029245;684411;1;2672;1.11071;616190;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;1182648;947461;0;1103;5479908;1412872;1;2672;2.31407;610557;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;834369;1832866;0;1358;6184324;1562115;1;2672;2.69611;579395;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;1579344;795855;0;3397;13143888;1884813;1;2672;3.18809;591204;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;830015;1296962;0;1349;6488746;1091749;1;2672;1.85058;589950;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;390249;22433;0;795;2515915;389728;1;2672;0.695136;560650;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;1361440;776903;0;1688;6005520;1683531;1;2672;2.91308;577922;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;1526444;433636;0;456;1089978;297846;1;2672;0.459017;648879;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;653723;1649198;0;1796;6702822;1091806;1;2672;1.83773;594107;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;1848324;1867145;0;309;2480055;139080;1;2672;0.271566;512141;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;556081;1705850;0;545;1729213;371085;1;2672;0.601494;616939;BELA0;? Unchecked;v1.6.0-12-g7668b80
