domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;836775;2231;9082350;1199320;1;1694;2.91799;411009;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;348503;1525;4088324;739503;1;1694;1.49199;495649;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;242164;521;3005778;132118;1;1694;0.276925;477089;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;185308;796;2235210;467061;1;1694;0.887016;526553;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;106026;255;1392805;94741;1;1694;0.200926;471521;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;385731;1048;5258991;1352638;1;1862;2.69792;501363;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;129240;583;1387831;448798;1;1862;0.831879;539499;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;187803;926;2205696;439628;1;1862;0.891811;492961;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;342296;1269;4704476;882007;1;1862;1.82276;483886;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;741350;1629;9115805;1794214;1;2249;3.76467;476593;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;665223;1738;7767729;1387183;1;2249;2.59817;533909;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;311364;691;3446473;831166;1;2249;1.58662;523859;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;662684;1502;7973933;1139962;1;2249;2.18942;520667;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;736387;1614;8709043;1286986;1;2249;2.69889;476857;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;321773;966;5426129;1340173;1;2249;2.67799;500441;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;743578;2202;8152763;1592949;1;2249;3.10814;512509;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;462395;1630;5188898;617723;1;2249;1.2637;488820;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;79490;402;1054975;213106;1;2249;0.418931;508690;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;459219;1538;5259150;969017;1;2249;1.93267;501388;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;212958;693;2578130;614249;1;2249;1.21286;506445;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;443947;1570;4883659;1076442;1;2249;2.17945;493906;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;108589;453;1175543;371031;1;2249;0.710408;522279;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;580558;1385;6179727;1303438;1;2249;2.54477;512202;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;599867;1624;6568821;1245167;1;2249;2.46063;506036;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;151631;921;1804784;261181;1;2249;0.48324;540479;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;126658;392;1500427;374999;1;2249;0.716912;523076;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;463355;1290;6122730;1485484;1;2249;3.17695;467581;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;407861;1483;5065120;905019;1;2249;1.86332;485702;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;73778;399;955254;329044;1;2249;0.601508;547031;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;234954;570;3003174;684910;1;2249;1.30553;524623;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;63314;475;789683;220695;1;2249;0.416645;529696;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;571373;1237;6157044;1000460;1;2249;2.04367;489540;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;324947;1507;3830804;654391;1;2249;1.27636;512702;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;272836;939;2932043;457775;1;2249;0.932075;491135;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;224445;632;3418184;143018;1;2249;0.310336;460849;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;695077;1770;8091429;1745775;1;2250;3.46241;504207;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;838593;1904;9241741;1858916;1;2313;3.89826;476858;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;1067349;3399;12098029;1867468;1;2316;3.78841;492943;BELA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;568383;1142;6020818;1309924;1;2316;2.57928;507864;BELA*;? Unchecked;v1.6.0-12-g7668b80
