domain;variant;id;k;start;goal;nbtrees;mem;runtime;solver;version

roadmap;dimacs;0/1;1;1158641;1272769;1;2036.74;0.937379;SB*;v2.0-53-g98db238
roadmap;dimacs;1/1;1;54758;1370062;1;2036.93;0.404878;SB*;v2.0-53-g98db238
roadmap;dimacs;2/1;1;935047;1190851;1;2036.93;0.447762;SB*;v2.0-53-g98db238
roadmap;dimacs;3/1;1;548674;1730064;1;2036.93;0.138483;SB*;v2.0-53-g98db238
roadmap;dimacs;4/1;1;713105;1135162;1;2036.93;0.0858922;SB*;v2.0-53-g98db238
roadmap;dimacs;5/1;1;1213983;1847687;1;2036.93;0.681286;SB*;v2.0-53-g98db238
roadmap;dimacs;6/1;1;1416819;1454455;1;2036.93;0.113188;SB*;v2.0-53-g98db238
roadmap;dimacs;7/1;1;1202525;1287863;1;2036.93;0.374575;SB*;v2.0-53-g98db238
roadmap;dimacs;8/1;1;416104;1824062;1;2036.93;0.657846;SB*;v2.0-53-g98db238
roadmap;dimacs;9/1;1;350612;1840987;1;2036.93;0.970586;SB*;v2.0-53-g98db238
roadmap;dimacs;10/1;1;581610;1031954;1;2036.93;0.936918;SB*;v2.0-53-g98db238
roadmap;dimacs;11/1;1;329503;1179401;1;2036.93;0.229634;SB*;v2.0-53-g98db238
roadmap;dimacs;12/1;1;480267;159302;1;2036.93;0.943113;SB*;v2.0-53-g98db238
roadmap;dimacs;13/1;1;1890527;1576171;1;2036.93;0.851036;SB*;v2.0-53-g98db238
roadmap;dimacs;14/1;1;1743677;933040;1;2036.93;0.558573;SB*;v2.0-53-g98db238
roadmap;dimacs;15/1;1;1460731;1705524;1;2036.93;0.815012;SB*;v2.0-53-g98db238
roadmap;dimacs;16/1;1;801770;765171;1;2036.93;0.555489;SB*;v2.0-53-g98db238
roadmap;dimacs;17/1;1;1076837;1604094;1;2036.93;0.102986;SB*;v2.0-53-g98db238
roadmap;dimacs;18/1;1;1431544;194846;1;2036.93;0.819252;SB*;v2.0-53-g98db238
roadmap;dimacs;19/1;1;1536202;632533;1;2036.93;0.326972;SB*;v2.0-53-g98db238
roadmap;dimacs;20/1;1;356711;288578;1;2036.93;0.568106;SB*;v2.0-53-g98db238
roadmap;dimacs;21/1;1;1416275;1578430;1;2036.93;0.0983638;SB*;v2.0-53-g98db238
roadmap;dimacs;22/1;1;1267172;1104888;1;2036.93;0.655026;SB*;v2.0-53-g98db238
roadmap;dimacs;23/1;1;1466216;1076837;1;2036.93;0.798265;SB*;v2.0-53-g98db238
roadmap;dimacs;24/1;1;1228417;41268;1;2036.93;0.212431;SB*;v2.0-53-g98db238
roadmap;dimacs;25/1;1;321340;192757;1;2036.93;0.107689;SB*;v2.0-53-g98db238
roadmap;dimacs;26/1;1;965921;1375640;1;2036.93;0.61751;SB*;v2.0-53-g98db238
roadmap;dimacs;27/1;1;1657428;779364;1;2036.93;0.35009;SB*;v2.0-53-g98db238
roadmap;dimacs;28/1;1;454410;618767;1;2036.93;0.10249;SB*;v2.0-53-g98db238
roadmap;dimacs;29/1;1;1453433;1181632;1;2036.93;0.175216;SB*;v2.0-53-g98db238
roadmap;dimacs;30/1;1;261444;1761841;1;2036.93;0.0864406;SB*;v2.0-53-g98db238
roadmap;dimacs;31/1;1;1710330;1308565;1;2036.93;0.803724;SB*;v2.0-53-g98db238
roadmap;dimacs;32/1;1;1622269;239225;1;2036.93;0.465717;SB*;v2.0-53-g98db238
roadmap;dimacs;33/1;1;858782;835734;1;2036.93;0.385023;SB*;v2.0-53-g98db238
roadmap;dimacs;34/1;1;1164733;1686951;1;2036.93;0.115836;SB*;v2.0-53-g98db238
roadmap;dimacs;35/1;1;1008319;677177;1;2036.93;0.712159;SB*;v2.0-53-g98db238
roadmap;dimacs;36/1;1;1646034;1063654;1;2036.93;0.583552;SB*;v2.0-53-g98db238
roadmap;dimacs;37/1;1;682994;1688601;1;2036.93;0.941802;SB*;v2.0-53-g98db238
roadmap;dimacs;38/1;1;257300;548822;1;2036.93;0.639529;SB*;v2.0-53-g98db238
roadmap;dimacs;39/1;1;1208113;169244;1;2036.93;0.0460329;SB*;v2.0-53-g98db238
roadmap;dimacs;40/1;1;1226440;1391278;1;2036.93;0.862435;SB*;v2.0-53-g98db238
roadmap;dimacs;41/1;1;122277;1128394;1;2036.93;0.343147;SB*;v2.0-53-g98db238
roadmap;dimacs;42/1;1;66946;1214669;1;2036.93;0.868965;SB*;v2.0-53-g98db238
roadmap;dimacs;43/1;1;299055;1685578;1;2036.93;0.796312;SB*;v2.0-53-g98db238
roadmap;dimacs;44/1;1;1617239;1448010;1;2036.93;0.506175;SB*;v2.0-53-g98db238
roadmap;dimacs;45/1;1;88434;220092;1;2036.93;0.15346;SB*;v2.0-53-g98db238
