domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;nbpaths;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1158641;   1272769;0;2231;9081368;1219307;1;0;1711;2.51335;485133;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;1/1;1;     54758;   1370062;0;1525;4088324;768671;1;0;1711;1.25287;613526;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;2/1;1;    935047;   1190851;0;521;3005778;144816;1;0;1711;0.264531;547444;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;3/1;1;    548674;   1730064;0;787;2234632;539742;1;0;1711;0.871687;619192;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;4/1;1;    713105;   1135162;0;255;1392805;102503;1;0;1711;0.184474;555649;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;5/1;1;   1213983;   1847687;0;1048;5258991;1421175;1;0;1958;2.3561;603189;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;6/1;1;   1416819;   1454455;0;583;1387831;484564;1;0;1958;0.732874;661184;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;7/1;1;   1202525;   1287863;0;926;2205696;492347;1;0;1711;0.807347;609833;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;8/1;1;    416104;   1824062;0;1269;4704476;913750;1;0;1711;1.57144;581471;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;9/1;1;    350612;   1840987;0;1630;9115684;1814789;1;0;2268;3.27766;553684;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;10/1;1;    581610;   1031954;0;1735;7767635;1449045;1;0;2268;2.41542;599913;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;11/1;1;    329503;   1179401;0;688;3446379;864584;1;0;2268;1.35725;637012;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;12/1;1;    480267;    159302;0;1502;7973933;1216660;1;0;2268;1.99431;610066;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;13/1;1;   1890527;   1576171;0;1614;8709043;1468043;1;0;2268;2.75077;533685;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;14/1;1;   1743677;    933040;0;966;5426129;1467748;1;0;2268;2.49451;588391;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;15/1;1;   1460731;   1705524;0;2202;8152763;1618855;1;0;2268;2.64103;612963;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;16/1;1;    801770;    765171;0;1630;5188898;642247;1;0;2268;1.12043;573216;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;17/1;1;   1076837;   1604094;0;402;1054975;226926;1;0;2268;0.352121;644454;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;18/1;1;   1431544;    194846;0;1538;5259126;998637;1;0;2268;1.66692;599091;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;19/1;1;   1536202;    632533;0;693;2578130;695160;1;0;2268;1.08564;640324;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;20/1;1;    356711;    288578;0;1570;4883635;1146305;1;0;2268;1.9513;587456;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;21/1;1;   1416275;   1578430;0;453;1175543;413771;1;0;2268;0.649097;637457;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;22/1;1;   1267172;   1104888;0;1385;6179727;1332857;1;0;2268;2.12117;628359;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;23/1;1;   1466216;   1076837;0;1624;6568821;1273310;1;0;2268;2.04027;624089;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;24/1;1;   1228417;     41268;0;921;1804784;295195;1;0;2268;0.453265;651263;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
roadmap;dimacs;25/1;1;    321340;    192757;0;392;1500427;416940;1;0;2268;0.650583;640871;0;0;bBELA0<0>;? Unchecked;v1.6.0-147-gfbf9e2e
