domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1158641;   1272769;0;2231;9081368;1219307;1;1972;2.70346;451018;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;     54758;   1370062;0;1525;4088324;768671;1;1972;1.29967;591434;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    935047;   1190851;0;521;3005778;144816;1;1972;0.278943;519160;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    548674;   1730064;0;787;2234632;539742;1;1972;0.916328;589027;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    713105;   1135162;0;255;1392805;102503;1;1972;0.196028;522901;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1213983;   1847687;0;1048;5258991;1421175;1;2256;2.45499;578892;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   1416819;   1454455;0;583;1387831;484564;1;1972;0.760898;636832;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   1202525;   1287863;0;926;2205696;492347;1;1972;0.847038;581257;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    416104;   1824062;0;1269;4704476;913750;1;1972;1.64867;554233;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    350612;   1840987;0;1630;9115684;1814789;1;2659;3.46176;524239;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;    581610;   1031954;0;1735;7767635;1449045;1;2704;2.49932;579777;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    329503;   1179401;0;688;3446379;864584;1;2704;1.42595;606320;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    480267;    159302;0;1502;7973933;1216660;1;2704;2.04922;593720;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   1890527;   1576171;0;1614;8709043;1468043;1;2704;2.85712;513819;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1743677;    933040;0;966;5426129;1467748;1;2704;2.63693;556613;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   1460731;   1705524;0;2202;8152763;1618855;1;2704;2.76477;585529;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    801770;    765171;0;1630;5188898;642247;1;2704;1.16925;549281;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   1076837;   1604094;0;402;1054975;226926;1;2704;0.370316;612790;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   1431544;    194846;0;1538;5259126;998637;1;2704;1.74697;571640;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   1536202;    632533;0;693;2578130;695160;1;2704;1.14813;605474;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    356711;    288578;0;1570;4883635;1146305;1;2704;2.03459;563408;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   1416275;   1578430;0;453;1175543;413771;1;2704;0.677478;610752;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   1267172;   1104888;0;1385;6179727;1332857;1;2704;2.23414;596586;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   1466216;   1076837;0;1624;6568821;1273310;1;2704;2.14963;592339;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1228417;     41268;0;921;1804784;295195;1;2704;0.478594;616797;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    321340;    192757;0;392;1500427;416940;1;2704;0.67382;618771;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    965921;   1375640;0;1289;6122291;1631298;1;2704;2.93627;555568;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   1657428;    779364;0;1483;5065120;976212;1;2704;1.71882;567956;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;    454410;    618767;0;399;955254;349156;1;2704;0.543256;642710;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;   1453433;   1181632;0;570;3003174;732321;1;2704;1.25318;584372;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    261444;   1761841;0;475;789683;244562;1;2704;0.394983;619170;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;   1710330;   1308565;0;1237;6157044;1026002;1;2704;1.79522;571519;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   1622269;    239225;0;1507;3830708;741327;1;2704;1.28609;576417;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    858782;    835734;0;939;2932043;654659;1;2704;1.10748;591124;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   1164733;   1686951;0;632;3418184;164327;1;2704;0.299298;549042;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;   1008319;    677177;0;1770;8091336;1823159;1;2733;3.18648;572155;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   1646034;   1063654;0;1903;9241741;1880584;1;2739;3.41542;550616;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    682994;   1688601;0;3399;12098029;1873212;1;2739;3.3264;563135;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;    257300;    548822;0;1142;6020818;1343871;1;2739;2.28498;588133;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;   1208113;    169244;0;252;994507;64811;1;2739;0.120729;536831;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;   1226440;   1391278;0;2164;8142667;1513571;1;2739;2.71068;558373;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    122277;   1128394;0;719;2944465;578703;1;2739;1.00457;576070;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;     66946;   1214669;0;1053;5959978;993077;1;2739;1.76694;562031;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;    299055;   1685578;0;2344;9966137;1826270;1;2739;3.29213;554739;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;   1617239;   1448010;0;1333;4746002;1193317;1;2739;2.12485;561602;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;     88434;    220092;0;810;1922160;437465;1;2739;0.700698;624327;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;    765554;   1136443;0;716;2443481;505643;1;2739;0.87765;576133;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;   1662423;    665304;0;2025;6865214;1533362;1;2739;2.76341;554880;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    522581;    744644;0;1294;6138023;1094893;1;2739;1.97758;553654;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    880871;    913237;0;1190;4898374;1074217;1;2739;1.9535;549895;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;    184031;   1879161;0;1176;5260595;1304809;1;2739;2.34635;556102;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    638122;   1463354;0;444;1316963;191958;1;2739;0.315377;608663;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;   1314005;    356552;0;1161;4462498;1035672;1;2739;1.83017;565889;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;53/1;1;     21748;   1031477;0;2535;10681247;1575868;1;2739;2.98661;527645;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;54/1;1;    149376;    488085;0;234;1225605;37915;1;2739;0.0853573;444192;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;55/1;1;   1471925;   1271058;0;445;722671;261324;1;2739;0.4144;630607;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;56/1;1;    531829;    538074;0;1937;7230261;1351998;1;2739;2.35042;575215;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;57/1;1;     65785;   1728556;0;1017;3029245;684411;1;2739;1.17668;581646;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;58/1;1;   1182648;    947461;0;1103;5479908;1412872;1;2739;2.47671;570464;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;59/1;1;    834369;   1832866;0;1358;6184324;1562115;1;2739;2.81056;555801;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;60/1;1;   1579344;    795855;0;3397;13143888;1884813;1;2739;3.36171;560671;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;61/1;1;    830015;   1296962;0;1349;6488746;1091749;1;2739;1.98034;551293;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;62/1;1;    390249;     22433;0;795;2515915;389728;1;2739;0.72163;540066;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;63/1;1;   1361440;    776903;0;1688;6005520;1683531;1;2739;3.07267;547904;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;64/1;1;   1526444;    433636;0;456;1089978;297846;1;2739;0.480428;619960;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;65/1;1;    653723;   1649198;0;1796;6702822;1091806;1;2739;1.96186;556517;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;66/1;1;   1848324;   1867145;0;309;2480055;139080;1;2739;0.308575;450717;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;67/1;1;    556081;   1705850;0;545;1729213;371085;1;2739;0.617998;600463;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;68/1;1;   1041215;   1753708;0;1133;7037992;454302;1;2739;0.918311;494715;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;69/1;1;   1673024;   1341690;0;732;3011388;248320;1;2739;0.46639;532430;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;70/1;1;   1305038;   1494283;0;1208;5867865;1307000;1;2739;2.26023;578259;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;71/1;1;    989350;    282657;0;1040;5936533;834480;1;2739;1.59473;523274;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;72/1;1;    277177;    414997;0;1573;6899112;1544364;1;2739;2.72158;567451;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;73/1;1;    189385;    632745;0;1373;3513073;886786;1;2739;1.52064;583166;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;74/1;1;   1642632;    169223;0;620;2265831;209719;1;2739;0.43486;482268;0;0;sBELA0;? Unchecked;v1.6.0-140-g9a10cc1
