domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;nbinconsistencies;air;solver;doctor;version
roadmap;dimacs;0/1;1;   1158641;   1272769;836775;2231;9081368;1199302;1;1953;3.23207;371063;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;1/1;1;     54758;   1370062;348512;1525;4088324;739503;1;1953;1.56819;471564;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;2/1;1;    935047;   1190851;242246;521;3005778;132123;1;1953;0.292529;451658;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;3/1;1;    548674;   1730064;185823;787;2234632;466786;1;1953;0.98338;474675;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;4/1;1;    713105;   1135162;105821;255;1392805;94741;1;1953;0.224399;422199;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;5/1;1;   1213983;   1847687;385742;1048;5258991;1352637;1;2166;2.80157;482814;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;6/1;1;   1416819;   1454455;129232;583;1387831;448792;1;2166;0.873023;514067;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;7/1;1;   1202525;   1287863;187757;926;2205696;439634;1;2166;0.930493;472474;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;8/1;1;    416104;   1824062;341905;1269;4704476;882036;1;2166;1.85799;474727;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;9/1;1;    350612;   1840987;740325;1630;9115684;1794204;1;2640;3.99063;449605;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;10/1;1;    581610;   1031954;665220;1735;7767635;1387153;1;2640;2.71441;511033;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;11/1;1;    329503;   1179401;311471;688;3446379;831130;1;2640;1.70358;487872;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;12/1;1;    480267;    159302;662588;1502;7973933;1139962;1;2640;2.29888;495877;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;13/1;1;   1890527;   1576171;736387;1614;8709043;1286981;1;2640;2.89857;444006;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;14/1;1;   1743677;    933040;323236;966;5426129;1340165;1;2640;2.76292;485053;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;15/1;1;   1460731;   1705524;743782;2202;8152763;1592956;1;2640;3.26372;488079;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;16/1;1;    801770;    765171;462423;1630;5188898;617735;1;2640;1.30597;473007;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;17/1;1;   1076837;   1604094;79473;402;1054975;213098;1;2640;0.431375;493997;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;18/1;1;   1431544;    194846;459353;1538;5259126;969018;1;2640;2.01345;481273;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;19/1;1;   1536202;    632533;212958;693;2578130;614248;1;2640;1.22373;501949;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;20/1;1;    356711;    288578;443907;1570;4883635;1076455;1;2640;2.25935;476444;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;21/1;1;   1416275;   1578430;108621;453;1175543;371029;1;2640;0.741724;500225;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;22/1;1;   1267172;   1104888;580507;1385;6179727;1303448;1;2640;2.64522;492756;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;23/1;1;   1466216;   1076837;599781;1624;6568821;1245203;1;2640;2.54776;488744;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;24/1;1;   1228417;     41268;151577;921;1804784;261185;1;2640;0.502801;519460;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;25/1;1;    321340;    192757;126579;392;1500427;374999;1;2640;0.745464;503041;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;26/1;1;    965921;   1375640;462180;1289;6122291;1485401;1;2751;3.29457;450863;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;27/1;1;   1657428;    779364;407496;1483;5065120;905042;1;2751;1.88977;478917;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;28/1;1;    454410;    618767;73790;399;955254;329035;1;2751;0.63865;515204;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;29/1;1;   1453433;   1181632;234980;570;3003174;684909;1;2751;1.31838;519509;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;30/1;1;    261444;   1761841;63227;475;789683;220702;1;2751;0.438233;503617;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;31/1;1;   1710330;   1308565;571484;1237;6157044;1000474;1;2751;2.0607;485501;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;32/1;1;   1622269;    239225;324818;1507;3830708;654390;1;2751;1.30394;501855;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;33/1;1;    858782;    835734;273081;939;2932043;457779;1;2751;0.936486;488826;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;34/1;1;   1164733;   1686951;224372;632;3418184;143014;1;2751;0.31616;452347;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;35/1;1;   1008319;    677177;694520;1770;8091336;1745826;1;3033;3.64069;479531;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;36/1;1;   1646034;   1063654;838593;1903;9241741;1858917;1;3033;3.94024;471777;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;37/1;1;    682994;   1688601;1067651;3399;12098029;1867470;1;3033;3.88305;480929;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;38/1;1;    257300;    548822;568383;1142;6020818;1309939;1;3033;2.61843;500277;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;39/1;1;   1208113;    169244;86039;252;994507;56290;1;3033;0.138498;406433;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;40/1;1;   1226440;   1391278;762181;2164;8142667;1479213;1;3033;3.10064;477068;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;41/1;1;    122277;   1128394;211069;719;2944465;500567;1;3033;1.02786;486997;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;42/1;1;     66946;   1214669;559170;1053;5959978;971969;1;3033;2.00378;485069;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;43/1;1;    299055;   1685578;867092;2344;9966137;1809902;1;3033;3.83648;471761;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;44/1;1;   1617239;   1448010;431664;1333;4746002;1054267;1;3033;2.22956;472859;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;45/1;1;     88434;    220092;162378;810;1922160;395366;1;3033;0.766885;515548;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;46/1;1;    765554;   1136443;219632;716;2443481;448546;1;3033;0.902807;496835;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;47/1;1;   1662423;    665304;617218;2025;6865214;1498684;1;3033;3.12439;479673;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;48/1;1;    522581;    744644;559543;1294;6138023;1076415;1;3033;2.26843;474519;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;49/1;1;    880871;    913237;417900;1190;4898374;981339;1;3033;2.02798;483899;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;50/1;1;    184031;   1879161;467172;1176;5260595;1210877;1;3033;2.54551;475691;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;51/1;1;    638122;   1463354;114492;444;1316963;179312;1;3033;0.353568;507150;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;52/1;1;   1314005;    356552;391568;1161;4462498;947624;1;3033;1.99162;475807;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;53/1;1;     21748;   1031477;909846;2535;10681247;1534998;1;3033;3.39544;452077;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;54/1;1;    149376;    488085;110158;234;1225605;26297;1;3033;0.0753552;348974;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;55/1;1;   1471925;   1271058;63505;445;722671;229687;1;3033;0.448587;512023;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;56/1;1;    531829;    538074;663794;1937;7230261;1319688;1;3033;2.6857;491376;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;57/1;1;     65785;   1728556;255073;1017;3029245;623653;1;3033;1.24219;502058;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;58/1;1;   1182648;    947461;461621;1103;5479908;1336677;1;3033;2.74415;487100;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;59/1;1;    834369;   1832866;502291;1358;6184324;1425426;1;3033;2.88726;493695;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;60/1;1;   1579344;    795855;1121257;3397;13143888;1884522;1;3033;3.92716;479869;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;61/1;1;    830015;   1296962;605605;1349;6488746;1055189;1;3033;2.23854;471373;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;62/1;1;    390249;     22433;179570;795;2515915;355312;1;3033;0.797009;445807;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;63/1;1;   1361440;    776903;455922;1688;6005520;1471755;1;3033;3.30445;445385;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;64/1;1;   1526444;    433636;84680;456;1089978;259318;1;3033;0.504853;513651;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;65/1;1;    653723;   1649198;619628;1796;6702822;1071768;1;3033;2.26612;472953;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;66/1;1;   1848324;   1867145;207351;309;2480055;103932;1;3033;0.264282;393261;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;67/1;1;    556081;   1705850;131686;545;1729213;327595;1;3033;0.6569;498699;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;68/1;1;   1041215;   1753708;535527;1133;7037992;387434;1;3033;0.914871;423485;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;69/1;1;   1673024;   1341690;235145;732;3011388;213792;1;3033;0.459917;464849;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;70/1;1;   1305038;   1494283;532061;1208;5867865;1269591;1;3033;2.62272;484074;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;71/1;1;    989350;    282657;490147;1040;5936533;695076;1;3033;1.50681;461291;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
roadmap;dimacs;72/1;1;    277177;    414997;617912;1573;6899112;1519468;1;3033;3.21251;472984;0;0;sBELA*;? Unchecked;v1.6.0-140-g9a10cc1
