domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;836775;2231;9082350;1199320;0;1441;2.5925;462612;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;348503;1525;4088324;739503;0;1443;1.40169;527581;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;242164;521;3005778;132118;0;1443;0.249653;529207;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;185308;796;2235210;467061;0;1443;0.827506;564420;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;106026;255;1392805;94741;0;1443;0.195957;483480;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;385731;1048;5258991;1352638;0;1601;2.43606;555257;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;129240;583;1387831;448798;0;1601;0.773721;580052;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;187803;926;2205696;439628;0;1441;0.824153;533430;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;342296;1269;4704476;882007;0;1441;1.64734;535413;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;741350;1630;9115805;1794214;0;1865;3.45571;519202;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;665223;1739;7767729;1387183;0;1865;2.42746;571455;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;311364;692;3446473;831166;0;1865;1.47952;561779;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;662684;1502;7973933;1139962;0;1865;2.02379;563281;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;736387;1614;8709043;1286986;0;1865;2.44331;526739;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;321773;966;5426129;1340173;0;1865;2.36507;566654;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;743578;2204;8152763;1592949;0;1995;2.83789;561314;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;462395;1630;5188898;617723;0;1995;1.13053;546402;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;79490;402;1054975;213106;0;1995;0.385545;552739;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;459219;1538;5259150;969017;0;1995;1.76188;549990;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;212958;693;2578130;614249;0;1995;1.08259;567388;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;443947;1571;4883659;1076442;0;1995;1.9662;547475;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;108589;453;1175543;371031;0;1995;0.660279;561931;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;580558;1385;6179727;1303438;0;1995;2.31717;562512;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;599867;1627;6568821;1245167;0;1995;2.18085;570954;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;151631;921;1804784;261181;0;1995;0.450747;579441;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;126658;392;1500427;374999;0;1995;0.671706;558278;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;463355;1290;6122730;1485484;0;1995;2.81318;528045;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;407861;1483;5065120;905019;0;1995;1.66838;542455;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;73778;400;955254;329044;0;1995;0.55935;588261;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;234954;570;3003174;684910;0;1995;1.19823;571602;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;63314;475;789683;220695;0;1995;0.38864;567865;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;571373;1239;6157044;1000460;0;1995;1.81733;550510;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;324947;1507;3830804;654391;0;1995;1.16194;563189;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;272836;939;2932043;457775;0;1995;0.833252;549384;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;224445;633;3418184;143018;0;1995;0.26621;537237;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;695077;1770;8091429;1745775;0;1995;3.1703;550665;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;838593;1900;9241741;1858916;0;1995;3.4395;540460;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;1067349;3403;12098029;1867468;0;1995;3.39888;549437;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;568383;1142;6020818;1309924;0;1995;2.34521;558553;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;1208113;169244;85981;252;994507;56303;0;1995;0.110648;508849;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;1226440;1391278;762224;2163;8142667;1479203;0;1995;2.81857;524807;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;122277;1128394;211069;719;2944465;500570;0;1995;0.909698;550260;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;66946;1214669;559170;1030;5963502;972179;0;1995;1.80857;537542;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;299055;1685578;867092;2346;9966137;1809890;0;1995;3.40418;531667;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;1617239;1448010;431682;1333;4746002;1054263;0;1995;1.96673;536048;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;88434;220092;162398;810;1922160;395408;0;1995;0.694176;569608;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;765554;1136443;219632;713;2443481;448544;0;1995;0.826748;542540;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;1662423;665304;617257;2025;6865214;1498676;0;1995;2.83379;528859;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;522581;744644;559639;1297;6138023;1076406;0;1995;1.99919;538422;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;880871;913237;417818;1190;4898374;981346;0;1995;1.81921;539435;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;184031;1879161;467172;1181;5260689;1210924;0;1995;2.26567;534467;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;638122;1463354;114395;444;1316963;179315;0;1995;0.313864;571314;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;1314005;356552;391568;1162;4462498;947619;0;1995;1.76526;536817;mA*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;21748;1031477;909846;2540;10681341;1535017;0;1995;2.96654;517444;mA*;? Unchecked;v1.6.0-12-g7668b80
