domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;1158641;1272769;0;2231;9081368;1219307;0;1455;2.20227;553658;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;54758;1370062;0;1525;4088324;768671;0;1468;1.12663;682273;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;935047;1190851;0;521;3005778;144816;0;1468;0.229372;631359;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;548674;1730064;0;787;2234632;539742;0;1468;0.782374;689877;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;713105;1135162;0;255;1392805;102503;0;1468;0.164836;621847;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;1213983;1847687;0;1048;5258991;1421175;0;1604;2.09706;677699;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;1416819;1454455;0;583;1387831;484564;0;1604;0.667838;725571;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;1202525;1287863;0;926;2205696;492347;0;1604;0.768555;640614;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;416104;1824062;0;1269;4704476;913750;0;1604;1.38215;661108;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;350612;1840987;0;1631;9115684;1814789;0;1880;2.82143;643216;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;581610;1031954;0;1736;7767635;1449045;0;1925;2.15645;671959;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;329503;1179401;0;689;3446379;864584;0;1925;1.24094;696719;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;480267;159302;0;1502;7973933;1216660;0;1925;1.75841;691909;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;1890527;1576171;0;1614;8709043;1468043;0;1926;2.36839;619848;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;1743677;933040;0;966;5426129;1467748;0;1926;2.32688;630780;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;1460731;1705524;0;2204;8152763;1618855;0;1926;2.39642;675530;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;801770;765171;0;1630;5188898;642247;0;1926;1.01116;635156;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;1076837;1604094;0;402;1054975;226926;0;1926;0.324854;698548;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;1431544;194846;0;1538;5259126;998637;0;1926;1.51926;657320;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;1536202;632533;0;693;2578130;695160;0;1926;0.988965;702917;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;356711;288578;0;1571;4883635;1146305;0;1926;1.72755;663544;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;1416275;1578430;0;453;1175543;413771;0;1926;0.586694;705258;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;1267172;1104888;0;1385;6179727;1332857;0;1926;1.92966;690722;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;1466216;1076837;0;1627;6568821;1273310;0;1926;1.89998;670170;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;1228417;41268;0;921;1804784;295195;0;1926;0.415859;709844;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;321340;192757;0;392;1500427;416940;0;1926;0.593761;702202;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;965921;1375640;0;1289;6122291;1631298;0;1926;2.512;649402;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;1657428;779364;0;1483;5065120;976212;0;1926;1.46445;666607;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;454410;618767;0;400;955254;349156;0;1926;0.474061;736520;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;1453433;1181632;0;570;3003174;732321;0;1926;1.09397;669415;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;261444;1761841;0;475;789683;244562;0;1926;0.34169;715742;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;1710330;1308565;0;1239;6157044;1026002;0;1926;1.52594;672373;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;1622269;239225;0;1507;3830708;741327;0;1926;1.1152;664747;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;858782;835734;0;939;2932043;654659;0;1926;0.950826;688516;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;1164733;1686951;0;633;3418184;164327;0;1926;0.272771;602437;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;1008319;677177;0;1770;8091336;1823159;0;1926;2.72322;669487;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;1646034;1063654;0;1901;9241741;1880584;0;1926;2.87329;654505;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;682994;1688601;0;3403;12098029;1873212;0;1926;2.79731;669648;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;257300;548822;0;1142;6020818;1343871;0;1926;1.95204;688444;mDijkstra;? Unchecked;v1.6.0-12-g7668b80
