domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;0;1116;4213913;306427;0;1357;1.12679;271947;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;0;1263;4116051;307931;0;987;0.886766;347252;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;0;417;3637123;242807;0;987;0.765301;317270;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;0;755;3645074;292932;0;987;0.868552;337265;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;0;1212;5848233;417068;0;1509;1.29382;322354;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;0;1208;5259206;416300;0;1509;1.25221;332453;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;0;720;2988208;213556;0;1125;0.680438;313851;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;0;451;1630652;125137;0;837;0.357471;350062;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;0;869;3482878;280996;0;1125;0.853882;329081;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;0;203;826896;18751;0;741;0.0505814;370710;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;0;553;1057341;146434;0;837;0.406796;359969;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;0;1018;3953934;249420;0;1125;0.728992;342144;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;0;412;1411330;102871;0;837;0.285951;359750;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;0;475;1398938;190782;0;837;0.502908;379358;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;0;899;3361700;128073;0;1125;0.398913;321055;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;0;1137;5080372;215421;0;1509;0.727266;296207;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;172626;340963;0;503;1825204;70077;0;837;0.200282;349891;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;17/1;1;71257;309332;0;808;3137785;361405;0;1125;1.01457;356215;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;18/1;1;197543;272443;0;1206;3728256;358835;0;1125;1.06734;336196;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;19/1;1;115849;293642;0;1230;4552429;408252;0;1509;1.23111;331612;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;20/1;1;96029;288190;0;1381;5471958;411474;0;1513;1.26991;324017;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;21/1;1;123302;388474;0;610;2889335;317125;0;1129;0.891771;355612;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;22/1;1;395621;154547;0;1150;4759286;199617;0;1513;0.71031;281028;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;23/1;1;223763;127629;0;552;1965611;249705;0;937;0.704458;354464;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;24/1;1;327745;375938;0;1194;5462085;405017;0;1513;1.25216;323453;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;25/1;1;175197;5809;0;865;2919985;170949;0;1129;0.529012;323148;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;26/1;1;188424;158412;0;800;2521863;259608;0;1129;0.798934;324943;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;27/1;1;268346;359471;0;1014;3161795;296219;0;1129;0.874839;338598;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;28/1;1;174382;236731;0;1139;4391949;392447;0;1513;1.22277;320949;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;29/1;1;204045;159790;0;916;2894799;241257;0;1129;0.729671;330638;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;30/1;1;390757;318002;0;345;1671346;37246;0;937;0.160557;231980;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;31/1;1;91059;57980;0;823;3685668;214649;0;1129;0.626212;342774;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;32/1;1;72990;320575;0;1202;5651921;372591;0;1513;1.19917;310708;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;33/1;1;65526;339114;0;1130;4409623;402345;0;1513;1.23048;326981;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;34/1;1;349165;12701;0;574;1338128;142474;0;985;0.411683;346077;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;35/1;1;187769;228911;0;354;1371751;61541;0;985;0.18245;337303;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;36/1;1;190262;14733;0;1116;3834232;296404;0;1177;0.876919;338006;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;37/1;1;143799;328188;0;478;1975250;249321;0;985;0.706566;352863;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;38/1;1;96331;415538;0;1003;4067266;321494;0;1177;0.958798;335309;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;39/1;1;65115;387688;0;884;3373824;324281;0;1177;0.92347;351155;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;40/1;1;332193;387507;0;1007;3944387;334916;0;1177;0.955812;350400;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;41/1;1;127669;162338;0;664;2783093;282124;0;1177;0.849271;332196;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;42/1;1;263041;142943;0;919;2504792;246451;0;1177;0.772407;319069;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;43/1;1;390723;1064;0;936;3692625;339983;0;1177;0.965324;352196;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;44/1;1;304490;279242;0;1364;5596709;415903;0;1561;1.31514;316242;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;45/1;1;26846;394583;0;1152;4840316;419734;0;1566;1.25562;334284;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;46/1;1;233353;185925;0;806;3815420;329932;0;1182;0.956467;344949;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;47/1;1;323833;176822;0;611;2620163;72236;0;1182;0.269396;268141;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;48/1;1;346446;63237;0;537;1770296;195856;0;990;0.531045;368812;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;49/1;1;113928;360799;0;522;1735097;213896;0;990;0.564553;378877;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;50/1;1;199421;266182;0;1125;3654667;311407;0;1182;0.917615;339366;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;51/1;1;293869;25608;0;1118;4306049;230452;0;1566;0.820613;280829;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;52/1;1;174170;272593;0;782;3426484;274603;0;1182;0.826071;332420;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;53/1;1;221325;434952;0;880;4090462;398552;0;1182;1.09383;364363;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;54/1;1;117635;105076;0;224;583496;61887;0;846;0.167874;368651;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;55/1;1;193103;276461;0;850;3632861;349904;0;1182;0.994427;351865;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;56/1;1;4570;94284;0;1061;3585594;357319;0;1182;1.02163;349755;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;57/1;1;131126;21354;0;543;1578344;123281;0;990;0.392933;313746;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;58/1;1;235750;208824;0;542;2586492;197471;0;1182;0.605529;326113;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;59/1;1;489;261832;0;410;1641597;163235;0;990;0.458178;356270;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;60/1;1;318387;328863;0;1369;5153173;399274;0;1566;1.23473;323371;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;61/1;1;274877;23528;0;774;2980996;151790;0;1182;0.475759;319048;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;62/1;1;220394;272522;0;700;1662946;220777;0;990;0.616803;357938;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;63/1;1;228259;177627;0;1115;4599311;415077;0;1566;1.24812;332561;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;64/1;1;319517;205274;0;773;3597633;283937;0;1182;0.840268;337912;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;65/1;1;312838;292039;0;243;1791033;31710;0;990;0.110827;286122;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;66/1;1;231105;325711;0;1095;3901411;379740;0;1182;1.06764;355682;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;67/1;1;24598;413512;0;440;1004382;154078;0;846;0.393303;391754;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;68/1;1;23559;272815;0;775;1349061;198452;0;990;0.547506;362465;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;69/1;1;77506;341012;0;438;2259888;75996;0;1182;0.286493;265263;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;70/1;1;292092;386735;0;554;2945433;88200;0;1182;0.304984;289196;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;71/1;1;376744;379588;0;597;3662315;263946;0;1182;0.803305;328575;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;72/1;1;379408;158562;0;476;2611558;130708;0;1182;0.435507;300128;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;73/1;1;165998;242916;0;855;3772061;392324;0;1182;1.08848;360433;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;74/1;1;273849;233106;0;746;3818331;329181;0;1182;0.955448;344530;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;75/1;1;128253;35195;0;633;2085064;152795;0;1086;0.477416;320046;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;76/1;1;183220;8889;0;537;1483465;128177;0;990;0.381304;336154;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;77/1;1;272704;414613;0;280;1248288;48528;0;990;0.149046;325590;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;78/1;1;370469;78546;0;498;2390925;243190;0;1182;0.783133;310535;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;79/1;1;89775;214561;0;755;2352351;206546;0;1182;0.619643;333330;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;80/1;1;189664;402552;0;510;2165050;95849;0;1182;0.325923;294085;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;81/1;1;152121;246814;0;1153;4830855;426905;0;1566;1.27948;333654;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;82/1;1;322470;286921;0;1463;7188931;421933;0;1590;1.29283;326364;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;83/1;1;299997;278967;0;1317;5172383;386072;0;1607;1.21634;317404;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;84/1;1;250235;356746;0;1033;4989852;380497;0;1607;1.18418;321316;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;85/1;1;163254;319164;0;954;3691991;363942;0;1223;1.04202;349267;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;86/1;1;140318;8074;0;503;1352334;138965;0;1031;0.399559;347796;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;87/1;1;185965;196301;0;826;3531211;349304;0;1223;0.973334;358874;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;88/1;1;359803;81858;0;248;1279672;59304;0;1031;0.223339;265533;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;89/1;1;349089;308312;0;683;3372796;365990;0;1223;1.02428;357315;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;90/1;1;347477;427675;0;448;1014872;119463;0;935;0.344886;346384;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;91/1;1;368929;215278;0;689;1737781;157427;0;1031;0.446843;352309;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;92/1;1;92275;285142;0;1507;5738317;411927;0;1607;1.26906;324593;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;93/1;1;118818;384490;0;737;2890990;317076;0;1223;0.895933;353906;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;94/1;1;413378;431648;0;449;2462921;243556;0;1223;0.761421;319870;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;95/1;1;22320;400212;0;352;1094840;169945;0;1031;0.4499;377740;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;96/1;1;110951;317115;0;1301;5277074;429814;0;1607;1.31604;326597;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;97/1;1;153175;122456;0;263;814360;55588;0;887;0.144204;385481;K0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;98/1;1;72512;386851;0;1244;5208039;356137;0;1607;1.1795;301938;K0;? Unchecked;v1.6.0-12-g7668b80
