domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;311130;1116;4213913;285408;0;1331;1.21212;235461;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;306040;1263;4116051;297803;0;974;1.011;294563;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;325332;417;3637123;230121;0;974;0.799408;287864;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;298333;755;3645074;286187;0;974;0.978109;292592;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;472602;1212;5848233;407221;0;1497;1.46139;278654;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;435342;1208;5259206;399371;0;1497;1.40624;284000;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;266258;720;2988208;187116;0;1113;0.683343;273825;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;138354;451;1630652;109199;0;921;0.362206;301483;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;260241;869;3482878;259361;0;1113;0.908869;285367;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;70402;203;826896;16490;0;729;0.0537347;306878;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;95940;553;1057341;141047;0;921;0.475421;296678;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;315811;1018;3953934;184819;0;1113;0.651985;283471;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;109711;412;1411330;87112;0;921;0.307249;283522;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;130280;475;1398938;182476;0;921;0.573441;318212;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;267174;899;3361700;119410;0;1113;0.443346;269338;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;408561;1137;5080372;193344;0;1497;0.784627;246415;K*;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;16/1;1;172626;340963;140276;503;1825204;61423;0;921;0.212705;288770;K*;? Unchecked;v1.6.0-12-g7668b80
