domain;variant;id;k;start;goal;h0;length;cost;expansions;nbcentroids;mem;runtime;expansions/sec;solver;doctor;version
roadmap;dimacs;0/1;1;294756;116704;0;1116;4213913;306424;1;425;0.741633;413175;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;1/1;1;325364;11913;0;1263;4116051;307929;1;425;0.602425;511149;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;2/1;1;285177;334042;0;417;3637123;242801;1;425;0.44546;545057;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;3/1;1;236480;66871;0;755;3645074;292931;1;431;0.518292;565185;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;4/1;1;249937;358183;0;1212;5848233;417067;1;522;0.838108;497629;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;5/1;1;278932;202424;0;1208;5259206;416299;1;609;0.804432;517507;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;6/1;1;430744;255885;0;720;2988208;213555;1;609;0.401151;532356;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;7/1;1;167653;110820;0;451;1630652;125136;1;609;0.209622;596961;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;8/1;1;389224;209129;0;869;3482878;280995;1;609;0.476598;589585;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;9/1;1;361295;369960;0;203;826896;18750;1;609;0.0385305;486628;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;10/1;1;63073;122016;0;553;1057341;146433;1;609;0.248447;589394;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;11/1;1;377280;89101;0;1018;3953934;249419;1;609;0.43807;569358;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;12/1;1;184086;9250;0;412;1411330;102866;1;609;0.182783;562778;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;13/1;1;11558;157695;0;475;1398938;190773;1;609;0.307774;619848;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;14/1;1;290606;380934;0;899;3361700;128072;1;609;0.272353;470242;BELA0;? Unchecked;v1.6.0-12-g7668b80
roadmap;dimacs;15/1;1;312872;335255;0;1137;5080372;215420;1;609;0.498599;432051;BELA0;? Unchecked;v1.6.0-12-g7668b80
